count,lon,lat,area
18,-98.1,32.5,"POLYGON((-98.1 32.5,-98.1 32.6,-98.0 32.6,-98.0 32.5,-98.1 32.5))"
179,-98.0,32.5,"POLYGON((-98.0 32.5,-98.0 32.6,-97.9 32.6,-97.9 32.5,-98.0 32.5))"
1024,-97.9,32.5,"POLYGON((-97.9 32.5,-97.9 32.6,-97.8 32.6,-97.8 32.5,-97.9 32.5))"
600,-97.8,32.5,"POLYGON((-97.8 32.5,-97.8 32.6,-97.7 32.6,-97.7 32.5,-97.8 32.5))"
458,-97.7,32.5,"POLYGON((-97.7 32.5,-97.7 32.6,-97.6 32.6,-97.6 32.5,-97.7 32.5))"
389,-97.6,32.5,"POLYGON((-97.6 32.5,-97.6 32.6,-97.5 32.6,-97.5 32.5,-97.6 32.5))"
304,-98.1,32.6,"POLYGON((-98.1 32.6,-98.1 32.7,-98.0 32.7,-98.0 32.6,-98.1 32.6))"
1995,-98.0,32.6,"POLYGON((-98.0 32.6,-98.0 32.7,-97.9 32.7,-97.9 32.6,-98.0 32.6))"
1613,-97.9,32.6,"POLYGON((-97.9 32.6,-97.9 32.7,-97.8 32.7,-97.8 32.6,-97.9 32.6))"
1026,-97.8,32.6,"POLYGON((-97.8 32.6,-97.8 32.7,-97.7 32.7,-97.7 32.6,-97.8 32.6))"
2895,-97.7,32.6,"POLYGON((-97.7 32.6,-97.7 32.7,-97.6 32.7,-97.6 32.6,-97.7 32.6))"
1022,-97.6,32.6,"POLYGON((-97.6 32.6,-97.6 32.7,-97.5 32.7,-97.5 32.6,-97.6 32.6))"
667,-98.1,32.7,"POLYGON((-98.1 32.7,-98.1 32.8,-98.0 32.8,-98.0 32.7,-98.1 32.7))"
1095,-98.0,32.7,"POLYGON((-98.0 32.7,-98.0 32.8,-97.9 32.8,-97.9 32.7,-98.0 32.7))"
6974,-97.9,32.7,"POLYGON((-97.9 32.7,-97.9 32.8,-97.8 32.8,-97.8 32.7,-97.9 32.7))"
10650,-97.8,32.7,"POLYGON((-97.8 32.7,-97.8 32.8,-97.7 32.8,-97.7 32.7,-97.8 32.7))"
6959,-97.7,32.7,"POLYGON((-97.7 32.7,-97.7 32.8,-97.6 32.8,-97.6 32.7,-97.7 32.7))"
1691,-97.6,32.7,"POLYGON((-97.6 32.7,-97.6 32.8,-97.5 32.8,-97.5 32.7,-97.6 32.7))"
269,-98.1,32.8,"POLYGON((-98.1 32.8,-98.1 32.9,-98.0 32.9,-98.0 32.8,-98.1 32.8))"
808,-98.0,32.8,"POLYGON((-98.0 32.8,-98.0 32.9,-97.9 32.9,-97.9 32.8,-98.0 32.8))"
1938,-97.9,32.8,"POLYGON((-97.9 32.8,-97.9 32.9,-97.8 32.9,-97.8 32.8,-97.9 32.8))"
1683,-97.8,32.8,"POLYGON((-97.8 32.8,-97.8 32.9,-97.7 32.9,-97.7 32.8,-97.8 32.8))"
2185,-97.7,32.8,"POLYGON((-97.7 32.8,-97.7 32.9,-97.6 32.9,-97.6 32.8,-97.7 32.8))"
2962,-97.6,32.8,"POLYGON((-97.6 32.8,-97.6 32.9,-97.5 32.9,-97.5 32.8,-97.6 32.8))"
329,-98.1,32.9,"POLYGON((-98.1 32.9,-98.1 33.0,-98.0 33.0,-98.0 32.9,-98.1 32.9))"
542,-98.0,32.9,"POLYGON((-98.0 32.9,-98.0 33.0,-97.9 33.0,-97.9 32.9,-98.0 32.9))"
1067,-97.9,32.9,"POLYGON((-97.9 32.9,-97.9 33.0,-97.8 33.0,-97.8 32.9,-97.9 32.9))"
2666,-97.8,32.9,"POLYGON((-97.8 32.9,-97.8 33.0,-97.7 33.0,-97.7 32.9,-97.8 32.9))"
6192,-97.7,32.9,"POLYGON((-97.7 32.9,-97.7 33.0,-97.6 33.0,-97.6 32.9,-97.7 32.9))"
2731,-97.6,32.9,"POLYGON((-97.6 32.9,-97.6 33.0,-97.5 33.0,-97.5 32.9,-97.6 32.9))"
4,-98.1,33.0,"POLYGON((-98.1 33.0,-98.1 33.1,-98.0 33.1,-98.0 33.0,-98.1 33.0))"
7,-98.0,33.0,"POLYGON((-98.0 33.0,-98.0 33.1,-97.9 33.1,-97.9 33.0,-98.0 33.0))"
1,-97.9,33.0,"POLYGON((-97.9 33.0,-97.9 33.1,-97.8 33.1,-97.8 33.0,-97.9 33.0))"
