count,lon,lat,area
78,-99.7,32.5,"POLYGON((-99.7 32.5,-99.7 32.6,-99.6 32.6,-99.6 32.5,-99.7 32.5))"
109,-99.6,32.5,"POLYGON((-99.6 32.5,-99.6 32.6,-99.5 32.6,-99.5 32.5,-99.6 32.5))"
9,-99.4,32.5,"POLYGON((-99.4 32.5,-99.4 32.6,-99.3 32.6,-99.3 32.5,-99.4 32.5))"
35,-99.3,32.5,"POLYGON((-99.3 32.5,-99.3 32.6,-99.2 32.6,-99.2 32.5,-99.3 32.5))"
341,-99.2,32.5,"POLYGON((-99.2 32.5,-99.2 32.6,-99.1 32.6,-99.1 32.5,-99.2 32.5))"
2,-99.1,32.5,"POLYGON((-99.1 32.5,-99.1 32.6,-99.0 32.6,-99.0 32.5,-99.1 32.5))"
8,-99.6,32.6,"POLYGON((-99.6 32.6,-99.6 32.7,-99.5 32.7,-99.5 32.6,-99.6 32.6))"
9,-99.5,32.6,"POLYGON((-99.5 32.6,-99.5 32.7,-99.4 32.7,-99.4 32.6,-99.5 32.6))"
28,-99.4,32.6,"POLYGON((-99.4 32.6,-99.4 32.7,-99.3 32.7,-99.3 32.6,-99.4 32.6))"
55,-99.3,32.6,"POLYGON((-99.3 32.6,-99.3 32.7,-99.2 32.7,-99.2 32.6,-99.3 32.6))"
38,-99.2,32.6,"POLYGON((-99.2 32.6,-99.2 32.7,-99.1 32.7,-99.1 32.6,-99.2 32.6))"
14,-99.7,32.7,"POLYGON((-99.7 32.7,-99.7 32.8,-99.6 32.8,-99.6 32.7,-99.7 32.7))"
15,-99.6,32.7,"POLYGON((-99.6 32.7,-99.6 32.8,-99.5 32.8,-99.5 32.7,-99.6 32.7))"
8,-99.5,32.7,"POLYGON((-99.5 32.7,-99.5 32.8,-99.4 32.8,-99.4 32.7,-99.5 32.7))"
359,-99.4,32.7,"POLYGON((-99.4 32.7,-99.4 32.8,-99.3 32.8,-99.3 32.7,-99.4 32.7))"
1154,-99.3,32.7,"POLYGON((-99.3 32.7,-99.3 32.8,-99.2 32.8,-99.2 32.7,-99.3 32.7))"
57,-99.2,32.7,"POLYGON((-99.2 32.7,-99.2 32.8,-99.1 32.8,-99.1 32.7,-99.2 32.7))"
2,-99.1,32.7,"POLYGON((-99.1 32.7,-99.1 32.8,-99.0 32.8,-99.0 32.7,-99.1 32.7))"
12,-99.7,32.8,"POLYGON((-99.7 32.8,-99.7 32.9,-99.6 32.9,-99.6 32.8,-99.7 32.8))"
26,-99.6,32.8,"POLYGON((-99.6 32.8,-99.6 32.9,-99.5 32.9,-99.5 32.8,-99.6 32.8))"
3,-99.5,32.8,"POLYGON((-99.5 32.8,-99.5 32.9,-99.4 32.9,-99.4 32.8,-99.5 32.8))"
17,-99.4,32.8,"POLYGON((-99.4 32.8,-99.4 32.9,-99.3 32.9,-99.3 32.8,-99.4 32.8))"
23,-99.3,32.8,"POLYGON((-99.3 32.8,-99.3 32.9,-99.2 32.9,-99.2 32.8,-99.3 32.8))"
7,-99.2,32.8,"POLYGON((-99.2 32.8,-99.2 32.9,-99.1 32.9,-99.1 32.8,-99.2 32.8))"
17,-99.6,32.9,"POLYGON((-99.6 32.9,-99.6 33.0,-99.5 33.0,-99.5 32.9,-99.6 32.9))"
2,-99.5,32.9,"POLYGON((-99.5 32.9,-99.5 33.0,-99.4 33.0,-99.4 32.9,-99.5 32.9))"
22,-99.3,32.9,"POLYGON((-99.3 32.9,-99.3 33.0,-99.2 33.0,-99.2 32.9,-99.3 32.9))"
5,-99.2,32.9,"POLYGON((-99.2 32.9,-99.2 33.0,-99.1 33.0,-99.1 32.9,-99.2 32.9))"
