count,lon,lat,area
18,-94.1,31.5,"POLYGON((-94.1 31.5,-94.1 31.6,-94.0 31.6,-94.0 31.5,-94.1 31.5))"
27,-94.0,31.5,"POLYGON((-94.0 31.5,-94.0 31.6,-93.9 31.6,-93.9 31.5,-94.0 31.5))"
8,-93.9,31.5,"POLYGON((-93.9 31.5,-93.9 31.6,-93.8 31.6,-93.8 31.5,-93.9 31.5))"
274,-94.4,31.6,"POLYGON((-94.4 31.6,-94.4 31.7,-94.3 31.7,-94.3 31.6,-94.4 31.6))"
161,-94.3,31.6,"POLYGON((-94.3 31.6,-94.3 31.7,-94.2 31.7,-94.2 31.6,-94.3 31.6))"
275,-94.2,31.6,"POLYGON((-94.2 31.6,-94.2 31.7,-94.1 31.7,-94.1 31.6,-94.2 31.6))"
422,-94.1,31.6,"POLYGON((-94.1 31.6,-94.1 31.7,-94.0 31.7,-94.0 31.6,-94.1 31.6))"
297,-94.0,31.6,"POLYGON((-94.0 31.6,-94.0 31.7,-93.9 31.7,-93.9 31.6,-94.0 31.6))"
164,-93.9,31.6,"POLYGON((-93.9 31.6,-93.9 31.7,-93.8 31.7,-93.8 31.6,-93.9 31.6))"
73,-94.5,31.7,"POLYGON((-94.5 31.7,-94.5 31.8,-94.4 31.8,-94.4 31.7,-94.5 31.7))"
315,-94.4,31.7,"POLYGON((-94.4 31.7,-94.4 31.8,-94.3 31.8,-94.3 31.7,-94.4 31.7))"
629,-94.3,31.7,"POLYGON((-94.3 31.7,-94.3 31.8,-94.2 31.8,-94.2 31.7,-94.3 31.7))"
2305,-94.2,31.7,"POLYGON((-94.2 31.7,-94.2 31.8,-94.1 31.8,-94.1 31.7,-94.2 31.7))"
554,-94.1,31.7,"POLYGON((-94.1 31.7,-94.1 31.8,-94.0 31.8,-94.0 31.7,-94.1 31.7))"
260,-94.0,31.7,"POLYGON((-94.0 31.7,-94.0 31.8,-93.9 31.8,-93.9 31.7,-94.0 31.7))"
579,-93.9,31.7,"POLYGON((-93.9 31.7,-93.9 31.8,-93.8 31.8,-93.8 31.7,-93.9 31.7))"
451,-94.5,31.8,"POLYGON((-94.5 31.8,-94.5 31.9,-94.4 31.9,-94.4 31.8,-94.5 31.8))"
463,-94.4,31.8,"POLYGON((-94.4 31.8,-94.4 31.9,-94.3 31.9,-94.3 31.8,-94.4 31.8))"
934,-94.3,31.8,"POLYGON((-94.3 31.8,-94.3 31.9,-94.2 31.9,-94.2 31.8,-94.3 31.8))"
1374,-94.2,31.8,"POLYGON((-94.2 31.8,-94.2 31.9,-94.1 31.9,-94.1 31.8,-94.2 31.8))"
446,-94.1,31.8,"POLYGON((-94.1 31.8,-94.1 31.9,-94.0 31.9,-94.0 31.8,-94.1 31.8))"
329,-94.0,31.8,"POLYGON((-94.0 31.8,-94.0 31.9,-93.9 31.9,-93.9 31.8,-94.0 31.8))"
120,-93.9,31.8,"POLYGON((-93.9 31.8,-93.9 31.9,-93.8 31.9,-93.8 31.8,-93.9 31.8))"
8,-94.6,31.9,"POLYGON((-94.6 31.9,-94.6 32.0,-94.5 32.0,-94.5 31.9,-94.6 31.9))"
548,-94.5,31.9,"POLYGON((-94.5 31.9,-94.5 32.0,-94.4 32.0,-94.4 31.9,-94.5 31.9))"
655,-94.4,31.9,"POLYGON((-94.4 31.9,-94.4 32.0,-94.3 32.0,-94.3 31.9,-94.4 31.9))"
815,-94.3,31.9,"POLYGON((-94.3 31.9,-94.3 32.0,-94.2 32.0,-94.2 31.9,-94.3 31.9))"
467,-94.2,31.9,"POLYGON((-94.2 31.9,-94.2 32.0,-94.1 32.0,-94.1 31.9,-94.2 31.9))"
1201,-94.1,31.9,"POLYGON((-94.1 31.9,-94.1 32.0,-94.0 32.0,-94.0 31.9,-94.1 31.9))"
108,-94.0,31.9,"POLYGON((-94.0 31.9,-94.0 32.0,-93.9 32.0,-93.9 31.9,-94.0 31.9))"
