count,lon,lat,area
15,-100.5,32.9,"POLYGON((-100.5 32.9,-100.5 33.0,-100.4 33.0,-100.4 32.9,-100.5 32.9))"
3,-100.4,32.9,"POLYGON((-100.4 32.9,-100.4 33.0,-100.3 33.0,-100.3 32.9,-100.4 32.9))"
3,-100.3,32.9,"POLYGON((-100.3 32.9,-100.3 33.0,-100.2 33.0,-100.2 32.9,-100.3 32.9))"
7,-100.2,32.9,"POLYGON((-100.2 32.9,-100.2 33.0,-100.1 33.0,-100.1 32.9,-100.2 32.9))"
5,-100.1,32.9,"POLYGON((-100.1 32.9,-100.1 33.0,-100.0 33.0,-100.0 32.9,-100.1 32.9))"
21,-100.5,33.0,"POLYGON((-100.5 33.0,-100.5 33.1,-100.4 33.1,-100.4 33.0,-100.5 33.0))"
29,-100.4,33.0,"POLYGON((-100.4 33.0,-100.4 33.1,-100.3 33.1,-100.3 33.0,-100.4 33.0))"
11,-100.3,33.0,"POLYGON((-100.3 33.0,-100.3 33.1,-100.2 33.1,-100.2 33.0,-100.3 33.0))"
18,-100.2,33.0,"POLYGON((-100.2 33.0,-100.2 33.1,-100.1 33.1,-100.1 33.0,-100.2 33.0))"
13,-100.1,33.0,"POLYGON((-100.1 33.0,-100.1 33.1,-100.0 33.1,-100.0 33.0,-100.1 33.0))"
1,-100.0,33.0,"POLYGON((-100.0 33.0,-100.0 33.1,-99.9 33.1,-99.9 33.0,-100.0 33.0))"
1,-100.6,33.1,"POLYGON((-100.6 33.1,-100.6 33.2,-100.5 33.2,-100.5 33.1,-100.6 33.1))"
45,-100.5,33.1,"POLYGON((-100.5 33.1,-100.5 33.2,-100.4 33.2,-100.4 33.1,-100.5 33.1))"
58,-100.4,33.1,"POLYGON((-100.4 33.1,-100.4 33.2,-100.3 33.2,-100.3 33.1,-100.4 33.1))"
671,-100.3,33.1,"POLYGON((-100.3 33.1,-100.3 33.2,-100.2 33.2,-100.2 33.1,-100.3 33.1))"
30,-100.2,33.1,"POLYGON((-100.2 33.1,-100.2 33.2,-100.1 33.2,-100.1 33.1,-100.2 33.1))"
88,-100.1,33.1,"POLYGON((-100.1 33.1,-100.1 33.2,-100.0 33.2,-100.0 33.1,-100.1 33.1))"
10,-100.0,33.1,"POLYGON((-100.0 33.1,-100.0 33.2,-99.9 33.2,-99.9 33.1,-100.0 33.1))"
1,-100.6,33.2,"POLYGON((-100.6 33.2,-100.6 33.3,-100.5 33.3,-100.5 33.2,-100.6 33.2))"
24,-100.5,33.2,"POLYGON((-100.5 33.2,-100.5 33.3,-100.4 33.3,-100.4 33.2,-100.5 33.2))"
47,-100.4,33.2,"POLYGON((-100.4 33.2,-100.4 33.3,-100.3 33.3,-100.3 33.2,-100.4 33.2))"
35,-100.3,33.2,"POLYGON((-100.3 33.2,-100.3 33.3,-100.2 33.3,-100.2 33.2,-100.3 33.2))"
15,-100.2,33.2,"POLYGON((-100.2 33.2,-100.2 33.3,-100.1 33.3,-100.1 33.2,-100.2 33.2))"
25,-100.1,33.2,"POLYGON((-100.1 33.2,-100.1 33.3,-100.0 33.3,-100.0 33.2,-100.1 33.2))"
5,-100.0,33.2,"POLYGON((-100.0 33.2,-100.0 33.3,-99.9 33.3,-99.9 33.2,-100.0 33.2))"
8,-100.5,33.3,"POLYGON((-100.5 33.3,-100.5 33.4,-100.4 33.4,-100.4 33.3,-100.5 33.3))"
14,-100.4,33.3,"POLYGON((-100.4 33.3,-100.4 33.4,-100.3 33.4,-100.3 33.3,-100.4 33.3))"
26,-100.3,33.3,"POLYGON((-100.3 33.3,-100.3 33.4,-100.2 33.4,-100.2 33.3,-100.3 33.3))"
4,-100.2,33.3,"POLYGON((-100.2 33.3,-100.2 33.4,-100.1 33.4,-100.1 33.3,-100.2 33.3))"
12,-100.1,33.3,"POLYGON((-100.1 33.3,-100.1 33.4,-100.0 33.4,-100.0 33.3,-100.1 33.3))"
1,-100.0,33.3,"POLYGON((-100.0 33.3,-100.0 33.4,-99.9 33.4,-99.9 33.3,-100.0 33.3))"
