count,lon,lat,area
12,-102.9,31.2,"POLYGON((-102.9 31.2,-102.9 31.3,-102.8 31.3,-102.8 31.2,-102.9 31.2))"
2,-102.8,31.2,"POLYGON((-102.8 31.2,-102.8 31.3,-102.7 31.3,-102.7 31.2,-102.8 31.2))"
1,-103.3,31.3,"POLYGON((-103.3 31.3,-103.3 31.4,-103.2 31.4,-103.2 31.3,-103.3 31.3))"
1,-103.2,31.3,"POLYGON((-103.2 31.3,-103.2 31.4,-103.1 31.4,-103.1 31.3,-103.2 31.3))"
15,-103.1,31.3,"POLYGON((-103.1 31.3,-103.1 31.4,-103.0 31.4,-103.0 31.3,-103.1 31.3))"
13,-103.0,31.3,"POLYGON((-103.0 31.3,-103.0 31.4,-102.9 31.4,-102.9 31.3,-103.0 31.3))"
440,-102.9,31.3,"POLYGON((-102.9 31.3,-102.9 31.4,-102.8 31.4,-102.8 31.3,-102.9 31.3))"
6,-102.8,31.3,"POLYGON((-102.8 31.3,-102.8 31.4,-102.7 31.4,-102.7 31.3,-102.8 31.3))"
90,-103.5,31.4,"POLYGON((-103.5 31.4,-103.5 31.5,-103.4 31.5,-103.4 31.4,-103.5 31.4))"
229,-103.4,31.4,"POLYGON((-103.4 31.4,-103.4 31.5,-103.3 31.5,-103.3 31.4,-103.4 31.4))"
6,-103.3,31.4,"POLYGON((-103.3 31.4,-103.3 31.5,-103.2 31.5,-103.2 31.4,-103.3 31.4))"
19,-103.2,31.4,"POLYGON((-103.2 31.4,-103.2 31.5,-103.1 31.5,-103.1 31.4,-103.2 31.4))"
15,-103.1,31.4,"POLYGON((-103.1 31.4,-103.1 31.5,-103.0 31.5,-103.0 31.4,-103.1 31.4))"
10,-103.0,31.4,"POLYGON((-103.0 31.4,-103.0 31.5,-102.9 31.5,-102.9 31.4,-103.0 31.4))"
18,-102.9,31.4,"POLYGON((-102.9 31.4,-102.9 31.5,-102.8 31.5,-102.8 31.4,-102.9 31.4))"
6,-102.8,31.4,"POLYGON((-102.8 31.4,-102.8 31.5,-102.7 31.5,-102.7 31.4,-102.8 31.4))"
1,-103.6,31.5,"POLYGON((-103.6 31.5,-103.6 31.6,-103.5 31.6,-103.5 31.5,-103.6 31.5))"
31,-103.5,31.5,"POLYGON((-103.5 31.5,-103.5 31.6,-103.4 31.6,-103.4 31.5,-103.5 31.5))"
38,-103.4,31.5,"POLYGON((-103.4 31.5,-103.4 31.6,-103.3 31.6,-103.3 31.5,-103.4 31.5))"
10,-103.3,31.5,"POLYGON((-103.3 31.5,-103.3 31.6,-103.2 31.6,-103.2 31.5,-103.3 31.5))"
157,-103.2,31.5,"POLYGON((-103.2 31.5,-103.2 31.6,-103.1 31.6,-103.1 31.5,-103.2 31.5))"
96,-103.1,31.5,"POLYGON((-103.1 31.5,-103.1 31.6,-103.0 31.6,-103.0 31.5,-103.1 31.5))"
884,-103.0,31.5,"POLYGON((-103.0 31.5,-103.0 31.6,-102.9 31.6,-102.9 31.5,-103.0 31.5))"
1835,-102.9,31.5,"POLYGON((-102.9 31.5,-102.9 31.6,-102.8 31.6,-102.8 31.5,-102.9 31.5))"
1,-102.8,31.5,"POLYGON((-102.8 31.5,-102.8 31.6,-102.7 31.6,-102.7 31.5,-102.8 31.5))"
1,-103.6,31.6,"POLYGON((-103.6 31.6,-103.6 31.7,-103.5 31.7,-103.5 31.6,-103.6 31.6))"
5,-103.5,31.6,"POLYGON((-103.5 31.6,-103.5 31.7,-103.4 31.7,-103.4 31.6,-103.5 31.6))"
2,-103.4,31.6,"POLYGON((-103.4 31.6,-103.4 31.7,-103.3 31.7,-103.3 31.6,-103.4 31.6))"
5,-103.3,31.6,"POLYGON((-103.3 31.6,-103.3 31.7,-103.2 31.7,-103.2 31.6,-103.3 31.6))"
11,-103.2,31.6,"POLYGON((-103.2 31.6,-103.2 31.7,-103.1 31.7,-103.1 31.6,-103.2 31.6))"
9,-103.1,31.6,"POLYGON((-103.1 31.6,-103.1 31.7,-103.0 31.7,-103.0 31.6,-103.1 31.6))"
115,-103.0,31.6,"POLYGON((-103.0 31.6,-103.0 31.7,-102.9 31.7,-102.9 31.6,-103.0 31.6))"
69,-102.9,31.6,"POLYGON((-102.9 31.6,-102.9 31.7,-102.8 31.7,-102.8 31.6,-102.9 31.6))"
4,-102.8,31.6,"POLYGON((-102.8 31.6,-102.8 31.7,-102.7 31.7,-102.7 31.6,-102.8 31.6))"
