count,lon,lat,area
1,-99.4,33.8,"POLYGON((-99.4 33.8,-99.4 33.9,-99.3 33.9,-99.3 33.8,-99.4 33.8))"
4,-99.3,33.8,"POLYGON((-99.3 33.8,-99.3 33.9,-99.2 33.9,-99.2 33.8,-99.3 33.8))"
2,-99.2,33.8,"POLYGON((-99.2 33.8,-99.2 33.9,-99.1 33.9,-99.1 33.8,-99.2 33.8))"
1,-99.1,33.8,"POLYGON((-99.1 33.8,-99.1 33.9,-99.0 33.9,-99.0 33.8,-99.1 33.8))"
4,-99.0,33.8,"POLYGON((-99.0 33.8,-99.0 33.9,-98.9 33.9,-98.9 33.8,-99.0 33.8))"
7,-99.5,33.9,"POLYGON((-99.5 33.9,-99.5 34.0,-99.4 34.0,-99.4 33.9,-99.5 33.9))"
2,-99.4,33.9,"POLYGON((-99.4 33.9,-99.4 34.0,-99.3 34.0,-99.3 33.9,-99.4 33.9))"
42,-99.3,33.9,"POLYGON((-99.3 33.9,-99.3 34.0,-99.2 34.0,-99.2 33.9,-99.3 33.9))"
15,-99.2,33.9,"POLYGON((-99.2 33.9,-99.2 34.0,-99.1 34.0,-99.1 33.9,-99.2 33.9))"
6,-99.1,33.9,"POLYGON((-99.1 33.9,-99.1 34.0,-99.0 34.0,-99.0 33.9,-99.1 33.9))"
4,-99.0,33.9,"POLYGON((-99.0 33.9,-99.0 34.0,-98.9 34.0,-98.9 33.9,-99.0 33.9))"
91,-99.5,34.0,"POLYGON((-99.5 34.0,-99.5 34.1,-99.4 34.1,-99.4 34.0,-99.5 34.0))"
208,-99.4,34.0,"POLYGON((-99.4 34.0,-99.4 34.1,-99.3 34.1,-99.3 34.0,-99.4 34.0))"
35,-99.3,34.0,"POLYGON((-99.3 34.0,-99.3 34.1,-99.2 34.1,-99.2 34.0,-99.3 34.0))"
9,-99.2,34.0,"POLYGON((-99.2 34.0,-99.2 34.1,-99.1 34.1,-99.1 34.0,-99.2 34.0))"
93,-99.1,34.0,"POLYGON((-99.1 34.0,-99.1 34.1,-99.0 34.1,-99.0 34.0,-99.1 34.0))"
22,-99.0,34.0,"POLYGON((-99.0 34.0,-99.0 34.1,-98.9 34.1,-98.9 34.0,-99.0 34.0))"
22,-99.5,34.1,"POLYGON((-99.5 34.1,-99.5 34.2,-99.4 34.2,-99.4 34.1,-99.5 34.1))"
375,-99.4,34.1,"POLYGON((-99.4 34.1,-99.4 34.2,-99.3 34.2,-99.3 34.1,-99.4 34.1))"
248,-99.3,34.1,"POLYGON((-99.3 34.1,-99.3 34.2,-99.2 34.2,-99.2 34.1,-99.3 34.1))"
115,-99.2,34.1,"POLYGON((-99.2 34.1,-99.2 34.2,-99.1 34.2,-99.1 34.1,-99.2 34.1))"
95,-99.1,34.1,"POLYGON((-99.1 34.1,-99.1 34.2,-99.0 34.2,-99.0 34.1,-99.1 34.1))"
10,-99.0,34.1,"POLYGON((-99.0 34.1,-99.0 34.2,-98.9 34.2,-98.9 34.1,-99.0 34.1))"
42,-99.5,34.2,"POLYGON((-99.5 34.2,-99.5 34.3,-99.4 34.3,-99.4 34.2,-99.5 34.2))"
69,-99.4,34.2,"POLYGON((-99.4 34.2,-99.4 34.3,-99.3 34.3,-99.3 34.2,-99.4 34.2))"
92,-99.3,34.2,"POLYGON((-99.3 34.2,-99.3 34.3,-99.2 34.3,-99.2 34.2,-99.3 34.2))"
7,-99.2,34.2,"POLYGON((-99.2 34.2,-99.2 34.3,-99.1 34.3,-99.1 34.2,-99.2 34.2))"
94,-99.5,34.3,"POLYGON((-99.5 34.3,-99.5 34.4,-99.4 34.4,-99.4 34.3,-99.5 34.3))"
69,-99.4,34.3,"POLYGON((-99.4 34.3,-99.4 34.4,-99.3 34.4,-99.3 34.3,-99.4 34.3))"
57,-99.3,34.3,"POLYGON((-99.3 34.3,-99.3 34.4,-99.2 34.4,-99.2 34.3,-99.3 34.3))"
4,-99.4,34.4,"POLYGON((-99.4 34.4,-99.4 34.5,-99.3 34.5,-99.3 34.4,-99.4 34.4))"
