count,lon,lat,area
383,-78.7,37.7,"POLYGON((-78.7 37.7,-78.7 37.8,-78.6 37.8,-78.6 37.7,-78.7 37.7))"
482,-78.6,37.7,"POLYGON((-78.6 37.7,-78.6 37.8,-78.5 37.8,-78.5 37.7,-78.6 37.7))"
146,-78.5,37.7,"POLYGON((-78.5 37.7,-78.5 37.8,-78.4 37.8,-78.4 37.7,-78.5 37.7))"
266,-78.8,37.8,"POLYGON((-78.8 37.8,-78.8 37.9,-78.7 37.9,-78.7 37.8,-78.8 37.8))"
1067,-78.7,37.8,"POLYGON((-78.7 37.8,-78.7 37.9,-78.6 37.9,-78.6 37.8,-78.7 37.8))"
1293,-78.6,37.8,"POLYGON((-78.6 37.8,-78.6 37.9,-78.5 37.9,-78.5 37.8,-78.6 37.8))"
1119,-78.5,37.8,"POLYGON((-78.5 37.8,-78.5 37.9,-78.4 37.9,-78.4 37.8,-78.5 37.8))"
3,-78.4,37.8,"POLYGON((-78.4 37.8,-78.4 37.9,-78.3 37.9,-78.3 37.8,-78.4 37.8))"
10,-78.9,37.9,"POLYGON((-78.9 37.9,-78.9 38.0,-78.8 38.0,-78.8 37.9,-78.9 37.9))"
841,-78.8,37.9,"POLYGON((-78.8 37.9,-78.8 38.0,-78.7 38.0,-78.7 37.9,-78.8 37.9))"
1278,-78.7,37.9,"POLYGON((-78.7 37.9,-78.7 38.0,-78.6 38.0,-78.6 37.9,-78.7 37.9))"
2338,-78.6,37.9,"POLYGON((-78.6 37.9,-78.6 38.0,-78.5 38.0,-78.5 37.9,-78.6 37.9))"
2043,-78.5,37.9,"POLYGON((-78.5 37.9,-78.5 38.0,-78.4 38.0,-78.4 37.9,-78.5 37.9))"
1428,-78.4,37.9,"POLYGON((-78.4 37.9,-78.4 38.0,-78.3 38.0,-78.3 37.9,-78.4 37.9))"
267,-78.9,38.0,"POLYGON((-78.9 38.0,-78.9 38.1,-78.8 38.1,-78.8 38.0,-78.9 38.0))"
3640,-78.8,38.0,"POLYGON((-78.8 38.0,-78.8 38.1,-78.7 38.1,-78.7 38.0,-78.8 38.0))"
4227,-78.7,38.0,"POLYGON((-78.7 38.0,-78.7 38.1,-78.6 38.1,-78.6 38.0,-78.7 38.0))"
6368,-78.6,38.0,"POLYGON((-78.6 38.0,-78.6 38.1,-78.5 38.1,-78.5 38.0,-78.6 38.0))"
9174,-78.5,38.0,"POLYGON((-78.5 38.0,-78.5 38.1,-78.4 38.1,-78.4 38.0,-78.5 38.0))"
1645,-78.4,38.0,"POLYGON((-78.4 38.0,-78.4 38.1,-78.3 38.1,-78.3 38.0,-78.4 38.0))"
498,-78.3,38.0,"POLYGON((-78.3 38.0,-78.3 38.1,-78.2 38.1,-78.2 38.0,-78.3 38.0))"
143,-78.8,38.1,"POLYGON((-78.8 38.1,-78.8 38.2,-78.7 38.2,-78.7 38.1,-78.8 38.1))"
1445,-78.7,38.1,"POLYGON((-78.7 38.1,-78.7 38.2,-78.6 38.2,-78.6 38.1,-78.7 38.1))"
2348,-78.6,38.1,"POLYGON((-78.6 38.1,-78.6 38.2,-78.5 38.2,-78.5 38.1,-78.6 38.1))"
6857,-78.5,38.1,"POLYGON((-78.5 38.1,-78.5 38.2,-78.4 38.2,-78.4 38.1,-78.5 38.1))"
1562,-78.4,38.1,"POLYGON((-78.4 38.1,-78.4 38.2,-78.3 38.2,-78.3 38.1,-78.4 38.1))"
369,-78.3,38.1,"POLYGON((-78.3 38.1,-78.3 38.2,-78.2 38.2,-78.2 38.1,-78.3 38.1))"
6,-78.8,38.2,"POLYGON((-78.8 38.2,-78.8 38.3,-78.7 38.3,-78.7 38.2,-78.8 38.2))"
454,-78.7,38.2,"POLYGON((-78.7 38.2,-78.7 38.3,-78.6 38.3,-78.6 38.2,-78.7 38.2))"
848,-78.6,38.2,"POLYGON((-78.6 38.2,-78.6 38.3,-78.5 38.3,-78.5 38.2,-78.6 38.2))"
238,-78.5,38.2,"POLYGON((-78.5 38.2,-78.5 38.3,-78.4 38.3,-78.4 38.2,-78.5 38.2))"
