count,lon,lat,area
3,-78.1,38.9,"POLYGON((-78.1 38.9,-78.1 39.0,-78.0 39.0,-78.0 38.9,-78.1 38.9))"
758,-78.2,39.0,"POLYGON((-78.2 39.0,-78.2 39.1,-78.1 39.1,-78.1 39.0,-78.2 39.0))"
2237,-78.1,39.0,"POLYGON((-78.1 39.0,-78.1 39.1,-78.0 39.1,-78.0 39.0,-78.1 39.0))"
1003,-78.0,39.0,"POLYGON((-78.0 39.0,-78.0 39.1,-77.9 39.1,-77.9 39.0,-78.0 39.0))"
277,-77.9,39.0,"POLYGON((-77.9 39.0,-77.9 39.1,-77.8 39.1,-77.8 39.0,-77.9 39.0))"
68,-78.2,39.1,"POLYGON((-78.2 39.1,-78.2 39.2,-78.1 39.2,-78.1 39.1,-78.2 39.1))"
2085,-78.1,39.1,"POLYGON((-78.1 39.1,-78.1 39.2,-78.0 39.2,-78.0 39.1,-78.1 39.1))"
4031,-78.0,39.1,"POLYGON((-78.0 39.1,-78.0 39.2,-77.9 39.2,-77.9 39.1,-78.0 39.1))"
1049,-77.9,39.1,"POLYGON((-77.9 39.1,-77.9 39.2,-77.8 39.2,-77.8 39.1,-77.9 39.1))"
551,-78.1,39.2,"POLYGON((-78.1 39.2,-78.1 39.3,-78.0 39.3,-78.0 39.2,-78.1 39.2))"
278,-78.0,39.2,"POLYGON((-78.0 39.2,-78.0 39.3,-77.9 39.3,-77.9 39.2,-78.0 39.2))"
