count,lon,lat,area
2400,-77.3,38.6,"POLYGON((-77.3 38.6,-77.3 38.7,-77.2 38.7,-77.2 38.6,-77.3 38.6))"
649,-77.2,38.6,"POLYGON((-77.2 38.6,-77.2 38.7,-77.1 38.7,-77.1 38.6,-77.2 38.6))"
9,-77.1,38.6,"POLYGON((-77.1 38.6,-77.1 38.7,-77.0 38.7,-77.0 38.6,-77.1 38.6))"
274,-77.5,38.7,"POLYGON((-77.5 38.7,-77.5 38.8,-77.4 38.8,-77.4 38.7,-77.5 38.7))"
7343,-77.4,38.7,"POLYGON((-77.4 38.7,-77.4 38.8,-77.3 38.8,-77.3 38.7,-77.4 38.7))"
42510,-77.3,38.7,"POLYGON((-77.3 38.7,-77.3 38.8,-77.2 38.8,-77.2 38.7,-77.3 38.7))"
38364,-77.2,38.7,"POLYGON((-77.2 38.7,-77.2 38.8,-77.1 38.8,-77.1 38.7,-77.2 38.7))"
27450,-77.1,38.7,"POLYGON((-77.1 38.7,-77.1 38.8,-77.0 38.8,-77.0 38.7,-77.1 38.7))"
203,-77.6,38.8,"POLYGON((-77.6 38.8,-77.6 38.9,-77.5 38.9,-77.5 38.8,-77.6 38.8))"
36025,-77.5,38.8,"POLYGON((-77.5 38.8,-77.5 38.9,-77.4 38.9,-77.4 38.8,-77.5 38.8))"
28584,-77.4,38.8,"POLYGON((-77.4 38.8,-77.4 38.9,-77.3 38.9,-77.3 38.8,-77.4 38.8))"
52713,-77.3,38.8,"POLYGON((-77.3 38.8,-77.3 38.9,-77.2 38.9,-77.2 38.8,-77.3 38.8))"
36165,-77.2,38.8,"POLYGON((-77.2 38.8,-77.2 38.9,-77.1 38.9,-77.1 38.8,-77.2 38.8))"
149,-77.1,38.8,"POLYGON((-77.1 38.8,-77.1 38.9,-77.0 38.9,-77.0 38.8,-77.1 38.8))"
11625,-77.5,38.9,"POLYGON((-77.5 38.9,-77.5 39.0,-77.4 39.0,-77.4 38.9,-77.5 38.9))"
43348,-77.4,38.9,"POLYGON((-77.4 38.9,-77.4 39.0,-77.3 39.0,-77.3 38.9,-77.4 38.9))"
25967,-77.3,38.9,"POLYGON((-77.3 38.9,-77.3 39.0,-77.2 39.0,-77.2 38.9,-77.3 38.9))"
15025,-77.2,38.9,"POLYGON((-77.2 38.9,-77.2 39.0,-77.1 39.0,-77.1 38.9,-77.2 38.9))"
2947,-77.4,39.0,"POLYGON((-77.4 39.0,-77.4 39.1,-77.3 39.1,-77.3 39.0,-77.4 39.0))"
1181,-77.3,39.0,"POLYGON((-77.3 39.0,-77.3 39.1,-77.2 39.1,-77.2 39.0,-77.3 39.0))"
