count,lon,lat,area
3,-76.8,37.1,"POLYGON((-76.8 37.1,-76.8 37.2,-76.7 37.2,-76.7 37.1,-76.8 37.1))"
28,-76.7,37.1,"POLYGON((-76.7 37.1,-76.7 37.2,-76.6 37.2,-76.6 37.1,-76.7 37.1))"
6,-76.6,37.1,"POLYGON((-76.6 37.1,-76.6 37.2,-76.5 37.2,-76.5 37.1,-76.6 37.1))"
2690,-76.9,37.2,"POLYGON((-76.9 37.2,-76.9 37.3,-76.8 37.3,-76.8 37.2,-76.9 37.2))"
14705,-76.8,37.2,"POLYGON((-76.8 37.2,-76.8 37.3,-76.7 37.3,-76.7 37.2,-76.8 37.2))"
5384,-76.7,37.2,"POLYGON((-76.7 37.2,-76.7 37.3,-76.6 37.3,-76.6 37.2,-76.7 37.2))"
14,-76.6,37.2,"POLYGON((-76.6 37.2,-76.6 37.3,-76.5 37.3,-76.5 37.2,-76.6 37.2))"
98,-77.0,37.3,"POLYGON((-77.0 37.3,-77.0 37.4,-76.9 37.4,-76.9 37.3,-77.0 37.3))"
2383,-76.9,37.3,"POLYGON((-76.9 37.3,-76.9 37.4,-76.8 37.4,-76.8 37.3,-76.9 37.3))"
11605,-76.8,37.3,"POLYGON((-76.8 37.3,-76.8 37.4,-76.7 37.4,-76.7 37.3,-76.8 37.3))"
126,-76.7,37.3,"POLYGON((-76.7 37.3,-76.7 37.4,-76.6 37.4,-76.6 37.3,-76.7 37.3))"
2233,-76.9,37.4,"POLYGON((-76.9 37.4,-76.9 37.5,-76.8 37.5,-76.8 37.4,-76.9 37.4))"
827,-76.8,37.4,"POLYGON((-76.8 37.4,-76.8 37.5,-76.7 37.5,-76.7 37.4,-76.8 37.4))"
