count,lon,lat,area
177,-78.8,38.6,"POLYGON((-78.8 38.6,-78.8 38.7,-78.7 38.7,-78.7 38.6,-78.8 38.6))"
2087,-78.7,38.6,"POLYGON((-78.7 38.6,-78.7 38.7,-78.6 38.7,-78.6 38.6,-78.7 38.6))"
6,-78.6,38.6,"POLYGON((-78.6 38.6,-78.6 38.7,-78.5 38.7,-78.5 38.6,-78.6 38.6))"
345,-78.9,38.7,"POLYGON((-78.9 38.7,-78.9 38.8,-78.8 38.8,-78.8 38.7,-78.9 38.7))"
820,-78.8,38.7,"POLYGON((-78.8 38.7,-78.8 38.8,-78.7 38.8,-78.7 38.7,-78.8 38.7))"
1907,-78.7,38.7,"POLYGON((-78.7 38.7,-78.7 38.8,-78.6 38.8,-78.6 38.7,-78.7 38.7))"
333,-78.6,38.7,"POLYGON((-78.6 38.7,-78.6 38.8,-78.5 38.8,-78.5 38.7,-78.6 38.7))"
204,-78.5,38.7,"POLYGON((-78.5 38.7,-78.5 38.8,-78.4 38.8,-78.4 38.7,-78.5 38.7))"
23,-78.9,38.8,"POLYGON((-78.9 38.8,-78.9 38.9,-78.8 38.9,-78.8 38.8,-78.9 38.8))"
1971,-78.8,38.8,"POLYGON((-78.8 38.8,-78.8 38.9,-78.7 38.9,-78.7 38.8,-78.8 38.8))"
1222,-78.7,38.8,"POLYGON((-78.7 38.8,-78.7 38.9,-78.6 38.9,-78.6 38.8,-78.7 38.8))"
5282,-78.6,38.8,"POLYGON((-78.6 38.8,-78.6 38.9,-78.5 38.9,-78.5 38.8,-78.6 38.8))"
983,-78.5,38.8,"POLYGON((-78.5 38.8,-78.5 38.9,-78.4 38.9,-78.4 38.8,-78.5 38.8))"
132,-78.4,38.8,"POLYGON((-78.4 38.8,-78.4 38.9,-78.3 38.9,-78.3 38.8,-78.4 38.8))"
114,-78.7,38.9,"POLYGON((-78.7 38.9,-78.7 39.0,-78.6 39.0,-78.6 38.9,-78.7 38.9))"
827,-78.6,38.9,"POLYGON((-78.6 38.9,-78.6 39.0,-78.5 39.0,-78.5 38.9,-78.6 38.9))"
2139,-78.5,38.9,"POLYGON((-78.5 38.9,-78.5 39.0,-78.4 39.0,-78.4 38.9,-78.5 38.9))"
3493,-78.4,38.9,"POLYGON((-78.4 38.9,-78.4 39.0,-78.3 39.0,-78.3 38.9,-78.4 38.9))"
41,-78.6,39.0,"POLYGON((-78.6 39.0,-78.6 39.1,-78.5 39.1,-78.5 39.0,-78.6 39.0))"
311,-78.5,39.0,"POLYGON((-78.5 39.0,-78.5 39.1,-78.4 39.1,-78.4 39.0,-78.5 39.0))"
1364,-78.4,39.0,"POLYGON((-78.4 39.0,-78.4 39.1,-78.3 39.1,-78.3 39.0,-78.4 39.0))"
