count,lon,lat,area
50,-77.8,38.4,"POLYGON((-77.8 38.4,-77.8 38.5,-77.7 38.5,-77.7 38.4,-77.8 38.4))"
67,-77.7,38.4,"POLYGON((-77.7 38.4,-77.7 38.5,-77.6 38.5,-77.6 38.4,-77.7 38.4))"
75,-77.9,38.5,"POLYGON((-77.9 38.5,-77.9 38.6,-77.8 38.6,-77.8 38.5,-77.9 38.5))"
194,-77.8,38.5,"POLYGON((-77.8 38.5,-77.8 38.6,-77.7 38.6,-77.7 38.5,-77.8 38.5))"
75,-77.7,38.5,"POLYGON((-77.7 38.5,-77.7 38.6,-77.6 38.6,-77.6 38.5,-77.7 38.5))"
31,-77.6,38.5,"POLYGON((-77.6 38.5,-77.6 38.6,-77.5 38.6,-77.5 38.5,-77.6 38.5))"
1,-78.0,38.6,"POLYGON((-78.0 38.6,-78.0 38.7,-77.9 38.7,-77.9 38.6,-78.0 38.6))"
106,-77.9,38.6,"POLYGON((-77.9 38.6,-77.9 38.7,-77.8 38.7,-77.8 38.6,-77.9 38.6))"
139,-77.8,38.6,"POLYGON((-77.8 38.6,-77.8 38.7,-77.7 38.7,-77.7 38.6,-77.8 38.6))"
49,-77.7,38.6,"POLYGON((-77.7 38.6,-77.7 38.7,-77.6 38.7,-77.6 38.6,-77.7 38.6))"
12,-77.6,38.6,"POLYGON((-77.6 38.6,-77.6 38.7,-77.5 38.7,-77.5 38.6,-77.6 38.6))"
10,-78.1,38.7,"POLYGON((-78.1 38.7,-78.1 38.8,-78.0 38.8,-78.0 38.7,-78.1 38.7))"
90,-78.0,38.7,"POLYGON((-78.0 38.7,-78.0 38.8,-77.9 38.8,-77.9 38.7,-78.0 38.7))"
202,-77.9,38.7,"POLYGON((-77.9 38.7,-77.9 38.8,-77.8 38.8,-77.8 38.7,-77.9 38.7))"
621,-77.8,38.7,"POLYGON((-77.8 38.7,-77.8 38.8,-77.7 38.8,-77.7 38.7,-77.8 38.7))"
162,-77.7,38.7,"POLYGON((-77.7 38.7,-77.7 38.8,-77.6 38.8,-77.6 38.7,-77.7 38.7))"
3,-78.2,38.8,"POLYGON((-78.2 38.8,-78.2 38.9,-78.1 38.9,-78.1 38.8,-78.2 38.8))"
31,-78.1,38.8,"POLYGON((-78.1 38.8,-78.1 38.9,-78.0 38.9,-78.0 38.8,-78.1 38.8))"
92,-78.0,38.8,"POLYGON((-78.0 38.8,-78.0 38.9,-77.9 38.9,-77.9 38.8,-78.0 38.8))"
133,-77.9,38.8,"POLYGON((-77.9 38.8,-77.9 38.9,-77.8 38.9,-77.8 38.8,-77.9 38.8))"
49,-77.8,38.8,"POLYGON((-77.8 38.8,-77.8 38.9,-77.7 38.9,-77.7 38.8,-77.8 38.8))"
25,-78.1,38.9,"POLYGON((-78.1 38.9,-78.1 39.0,-78.0 39.0,-78.0 38.9,-78.1 38.9))"
45,-78.0,38.9,"POLYGON((-78.0 38.9,-78.0 39.0,-77.9 39.0,-77.9 38.9,-78.0 38.9))"
65,-77.9,38.9,"POLYGON((-77.9 38.9,-77.9 39.0,-77.8 39.0,-77.8 38.9,-77.9 38.9))"
56,-77.8,38.9,"POLYGON((-77.8 38.9,-77.8 39.0,-77.7 39.0,-77.7 38.9,-77.8 38.9))"
4,-77.7,38.9,"POLYGON((-77.7 38.9,-77.7 39.0,-77.6 39.0,-77.6 38.9,-77.7 38.9))"
10,-78.0,39.0,"POLYGON((-78.0 39.0,-78.0 39.1,-77.9 39.1,-77.9 39.0,-78.0 39.0))"
