count,lon,lat,area
147,-124.1,46.7,"POLYGON((-124.1 46.7,-124.1 46.8,-124.0 46.8,-124.0 46.7,-124.1 46.7))"
4,-124.0,46.7,"POLYGON((-124.0 46.7,-124.0 46.8,-123.9 46.8,-123.9 46.7,-124.0 46.7))"
7,-123.9,46.7,"POLYGON((-123.9 46.7,-123.9 46.8,-123.8 46.8,-123.8 46.7,-123.9 46.7))"
2,-123.8,46.7,"POLYGON((-123.8 46.7,-123.8 46.8,-123.7 46.8,-123.7 46.7,-123.8 46.7))"
4,-123.7,46.7,"POLYGON((-123.7 46.7,-123.7 46.8,-123.6 46.8,-123.6 46.7,-123.7 46.7))"
9,-123.6,46.7,"POLYGON((-123.6 46.7,-123.6 46.8,-123.5 46.8,-123.5 46.7,-123.6 46.7))"
5,-123.5,46.7,"POLYGON((-123.5 46.7,-123.5 46.8,-123.4 46.8,-123.4 46.7,-123.5 46.7))"
16,-123.4,46.7,"POLYGON((-123.4 46.7,-123.4 46.8,-123.3 46.8,-123.3 46.7,-123.4 46.7))"
18,-123.3,46.7,"POLYGON((-123.3 46.7,-123.3 46.8,-123.2 46.8,-123.2 46.7,-123.3 46.7))"
11,-123.2,46.7,"POLYGON((-123.2 46.7,-123.2 46.8,-123.1 46.8,-123.1 46.7,-123.2 46.7))"
2934,-124.2,46.8,"POLYGON((-124.2 46.8,-124.2 46.9,-124.1 46.9,-124.1 46.8,-124.2 46.8))"
1950,-124.1,46.8,"POLYGON((-124.1 46.8,-124.1 46.9,-124.0 46.9,-124.0 46.8,-124.1 46.8))"
165,-124.0,46.8,"POLYGON((-124.0 46.8,-124.0 46.9,-123.9 46.9,-123.9 46.8,-124.0 46.8))"
59,-123.9,46.8,"POLYGON((-123.9 46.8,-123.9 46.9,-123.8 46.9,-123.8 46.8,-123.9 46.8))"
182,-123.8,46.8,"POLYGON((-123.8 46.8,-123.8 46.9,-123.7 46.9,-123.7 46.8,-123.8 46.8))"
