count,lon,lat,area
7,-123.4,46.3,"POLYGON((-123.4 46.3,-123.4 46.4,-123.3 46.4,-123.3 46.3,-123.4 46.3))"
8,-123.3,46.3,"POLYGON((-123.3 46.3,-123.3 46.4,-123.2 46.4,-123.2 46.3,-123.3 46.3))"
7,-123.2,46.3,"POLYGON((-123.2 46.3,-123.2 46.4,-123.1 46.4,-123.1 46.3,-123.2 46.3))"
47,-123.1,46.3,"POLYGON((-123.1 46.3,-123.1 46.4,-123.0 46.4,-123.0 46.3,-123.1 46.3))"
498,-123.0,46.3,"POLYGON((-123.0 46.3,-123.0 46.4,-122.9 46.4,-122.9 46.3,-123.0 46.3))"
37,-122.9,46.3,"POLYGON((-122.9 46.3,-122.9 46.4,-122.8 46.4,-122.8 46.3,-122.9 46.3))"
17,-122.8,46.3,"POLYGON((-122.8 46.3,-122.8 46.4,-122.7 46.4,-122.7 46.3,-122.8 46.3))"
19,-122.7,46.3,"POLYGON((-122.7 46.3,-122.7 46.4,-122.6 46.4,-122.6 46.3,-122.7 46.3))"
6,-122.6,46.3,"POLYGON((-122.6 46.3,-122.6 46.4,-122.5 46.4,-122.5 46.3,-122.6 46.3))"
4,-122.5,46.3,"POLYGON((-122.5 46.3,-122.5 46.4,-122.4 46.4,-122.4 46.3,-122.5 46.3))"
5,-122.4,46.3,"POLYGON((-122.4 46.3,-122.4 46.4,-122.3 46.4,-122.3 46.3,-122.4 46.3))"
8,-122.3,46.3,"POLYGON((-122.3 46.3,-122.3 46.4,-122.2 46.4,-122.2 46.3,-122.3 46.3))"
6,-122.2,46.3,"POLYGON((-122.2 46.3,-122.2 46.4,-122.1 46.4,-122.1 46.3,-122.2 46.3))"
4,-122.1,46.3,"POLYGON((-122.1 46.3,-122.1 46.4,-122.0 46.4,-122.0 46.3,-122.1 46.3))"
1,-122.0,46.3,"POLYGON((-122.0 46.3,-122.0 46.4,-121.9 46.4,-121.9 46.3,-122.0 46.3))"
1,-121.5,46.3,"POLYGON((-121.5 46.3,-121.5 46.4,-121.4 46.4,-121.4 46.3,-121.5 46.3))"
26,-123.4,46.4,"POLYGON((-123.4 46.4,-123.4 46.5,-123.3 46.5,-123.3 46.4,-123.4 46.4))"
46,-123.3,46.4,"POLYGON((-123.3 46.4,-123.3 46.5,-123.2 46.5,-123.2 46.4,-123.3 46.4))"
63,-123.2,46.4,"POLYGON((-123.2 46.4,-123.2 46.5,-123.1 46.5,-123.1 46.4,-123.2 46.4))"
265,-123.1,46.4,"POLYGON((-123.1 46.4,-123.1 46.5,-123.0 46.5,-123.0 46.4,-123.1 46.4))"
2968,-123.0,46.4,"POLYGON((-123.0 46.4,-123.0 46.5,-122.9 46.5,-122.9 46.4,-123.0 46.4))"
2240,-122.9,46.4,"POLYGON((-122.9 46.4,-122.9 46.5,-122.8 46.5,-122.8 46.4,-122.9 46.4))"
943,-122.8,46.4,"POLYGON((-122.8 46.4,-122.8 46.5,-122.7 46.5,-122.7 46.4,-122.8 46.4))"
201,-122.7,46.4,"POLYGON((-122.7 46.4,-122.7 46.5,-122.6 46.5,-122.6 46.4,-122.7 46.4))"
394,-122.6,46.4,"POLYGON((-122.6 46.4,-122.6 46.5,-122.5 46.5,-122.5 46.4,-122.6 46.4))"
107,-122.5,46.4,"POLYGON((-122.5 46.4,-122.5 46.5,-122.4 46.5,-122.4 46.4,-122.5 46.4))"
215,-122.4,46.4,"POLYGON((-122.4 46.4,-122.4 46.5,-122.3 46.5,-122.3 46.4,-122.4 46.4))"
76,-122.3,46.4,"POLYGON((-122.3 46.4,-122.3 46.5,-122.2 46.5,-122.2 46.4,-122.3 46.4))"
141,-122.2,46.4,"POLYGON((-122.2 46.4,-122.2 46.5,-122.1 46.5,-122.1 46.4,-122.2 46.4))"
