count,lon,lat,area
61,-89.9,43.6,"POLYGON((-89.9 43.6,-89.9 43.7,-89.8 43.7,-89.8 43.6,-89.9 43.6))"
513,-89.8,43.6,"POLYGON((-89.8 43.6,-89.8 43.7,-89.7 43.7,-89.7 43.6,-89.8 43.6))"
374,-89.7,43.6,"POLYGON((-89.7 43.6,-89.7 43.7,-89.6 43.7,-89.6 43.6,-89.7 43.6))"
3,-89.6,43.6,"POLYGON((-89.6 43.6,-89.6 43.7,-89.5 43.7,-89.5 43.6,-89.6 43.6))"
833,-89.9,43.7,"POLYGON((-89.9 43.7,-89.9 43.8,-89.8 43.8,-89.8 43.7,-89.9 43.7))"
731,-89.8,43.7,"POLYGON((-89.8 43.7,-89.8 43.8,-89.7 43.8,-89.7 43.7,-89.8 43.7))"
1215,-89.7,43.7,"POLYGON((-89.7 43.7,-89.7 43.8,-89.6 43.8,-89.6 43.7,-89.7 43.7))"
6,-89.6,43.7,"POLYGON((-89.6 43.7,-89.6 43.8,-89.5 43.8,-89.5 43.7,-89.6 43.7))"
258,-90.0,43.8,"POLYGON((-90.0 43.8,-90.0 43.9,-89.9 43.9,-89.9 43.8,-90.0 43.8))"
803,-89.9,43.8,"POLYGON((-89.9 43.8,-89.9 43.9,-89.8 43.9,-89.8 43.8,-89.9 43.8))"
1077,-89.8,43.8,"POLYGON((-89.8 43.8,-89.8 43.9,-89.7 43.9,-89.7 43.8,-89.8 43.8))"
862,-89.7,43.8,"POLYGON((-89.7 43.8,-89.7 43.9,-89.6 43.9,-89.6 43.8,-89.7 43.8))"
28,-89.6,43.8,"POLYGON((-89.6 43.8,-89.6 43.9,-89.5 43.9,-89.5 43.8,-89.6 43.8))"
2077,-90.0,43.9,"POLYGON((-90.0 43.9,-90.0 44.0,-89.9 44.0,-89.9 43.9,-90.0 43.9))"
2043,-89.9,43.9,"POLYGON((-89.9 43.9,-89.9 44.0,-89.8 44.0,-89.8 43.9,-89.9 43.9))"
847,-89.8,43.9,"POLYGON((-89.8 43.9,-89.8 44.0,-89.7 44.0,-89.7 43.9,-89.8 43.9))"
304,-89.7,43.9,"POLYGON((-89.7 43.9,-89.7 44.0,-89.6 44.0,-89.6 43.9,-89.7 43.9))"
9,-89.6,43.9,"POLYGON((-89.6 43.9,-89.6 44.0,-89.5 44.0,-89.5 43.9,-89.6 43.9))"
1,-90.1,44.0,"POLYGON((-90.1 44.0,-90.1 44.1,-90.0 44.1,-90.0 44.0,-90.1 44.0))"
751,-90.0,44.0,"POLYGON((-90.0 44.0,-90.0 44.1,-89.9 44.1,-89.9 44.0,-90.0 44.0))"
1305,-89.9,44.0,"POLYGON((-89.9 44.0,-89.9 44.1,-89.8 44.1,-89.8 44.0,-89.9 44.0))"
536,-89.8,44.0,"POLYGON((-89.8 44.0,-89.8 44.1,-89.7 44.1,-89.7 44.0,-89.8 44.0))"
200,-89.7,44.0,"POLYGON((-89.7 44.0,-89.7 44.1,-89.6 44.1,-89.6 44.0,-89.7 44.0))"
9,-89.6,44.0,"POLYGON((-89.6 44.0,-89.6 44.1,-89.5 44.1,-89.5 44.0,-89.6 44.0))"
649,-90.0,44.1,"POLYGON((-90.0 44.1,-90.0 44.2,-89.9 44.2,-89.9 44.1,-90.0 44.1))"
2130,-89.9,44.1,"POLYGON((-89.9 44.1,-89.9 44.2,-89.8 44.2,-89.8 44.1,-89.9 44.1))"
672,-89.8,44.1,"POLYGON((-89.8 44.1,-89.8 44.2,-89.7 44.2,-89.7 44.1,-89.8 44.1))"
337,-89.7,44.1,"POLYGON((-89.7 44.1,-89.7 44.2,-89.6 44.2,-89.6 44.1,-89.7 44.1))"
13,-89.6,44.1,"POLYGON((-89.6 44.1,-89.6 44.2,-89.5 44.2,-89.5 44.1,-89.6 44.1))"
1832,-89.9,44.2,"POLYGON((-89.9 44.2,-89.9 44.3,-89.8 44.3,-89.8 44.2,-89.9 44.2))"
2853,-89.8,44.2,"POLYGON((-89.8 44.2,-89.8 44.3,-89.7 44.3,-89.7 44.2,-89.8 44.2))"
84,-89.7,44.2,"POLYGON((-89.7 44.2,-89.7 44.3,-89.6 44.3,-89.6 44.2,-89.7 44.2))"
2,-89.6,44.2,"POLYGON((-89.6 44.2,-89.6 44.3,-89.5 44.3,-89.5 44.2,-89.6 44.2))"
