count,lon,lat,area
3,-89.1,43.1,"POLYGON((-89.1 43.1,-89.1 43.2,-89.0 43.2,-89.0 43.1,-89.1 43.1))"
62,-89.0,43.1,"POLYGON((-89.0 43.1,-89.0 43.2,-88.9 43.2,-88.9 43.1,-89.0 43.1))"
19,-88.9,43.1,"POLYGON((-88.9 43.1,-88.9 43.2,-88.8 43.2,-88.8 43.1,-88.9 43.1))"
824,-88.8,43.1,"POLYGON((-88.8 43.1,-88.8 43.2,-88.7 43.2,-88.7 43.1,-88.8 43.1))"
161,-88.7,43.1,"POLYGON((-88.7 43.1,-88.7 43.2,-88.6 43.2,-88.6 43.1,-88.7 43.1))"
16,-88.6,43.1,"POLYGON((-88.6 43.1,-88.6 43.2,-88.5 43.2,-88.5 43.1,-88.6 43.1))"
14,-88.5,43.1,"POLYGON((-88.5 43.1,-88.5 43.2,-88.4 43.2,-88.4 43.1,-88.5 43.1))"
27,-89.1,43.2,"POLYGON((-89.1 43.2,-89.1 43.3,-89.0 43.3,-89.0 43.2,-89.1 43.2))"
440,-89.0,43.2,"POLYGON((-89.0 43.2,-89.0 43.3,-88.9 43.3,-88.9 43.2,-89.0 43.2))"
270,-88.9,43.2,"POLYGON((-88.9 43.2,-88.9 43.3,-88.8 43.3,-88.8 43.2,-88.9 43.2))"
2782,-88.8,43.2,"POLYGON((-88.8 43.2,-88.8 43.3,-88.7 43.3,-88.7 43.2,-88.8 43.2))"
886,-88.7,43.2,"POLYGON((-88.7 43.2,-88.7 43.3,-88.6 43.3,-88.6 43.2,-88.7 43.2))"
985,-88.6,43.2,"POLYGON((-88.6 43.2,-88.6 43.3,-88.5 43.3,-88.5 43.2,-88.6 43.2))"
631,-88.5,43.2,"POLYGON((-88.5 43.2,-88.5 43.3,-88.4 43.3,-88.4 43.2,-88.5 43.2))"
142,-89.1,43.3,"POLYGON((-89.1 43.3,-89.1 43.4,-89.0 43.4,-89.0 43.3,-89.1 43.3))"
401,-89.0,43.3,"POLYGON((-89.0 43.3,-89.0 43.4,-88.9 43.4,-88.9 43.3,-89.0 43.3))"
920,-88.9,43.3,"POLYGON((-88.9 43.3,-88.9 43.4,-88.8 43.4,-88.8 43.3,-88.9 43.3))"
582,-88.8,43.3,"POLYGON((-88.8 43.3,-88.8 43.4,-88.7 43.4,-88.7 43.3,-88.8 43.3))"
1069,-88.7,43.3,"POLYGON((-88.7 43.3,-88.7 43.4,-88.6 43.4,-88.6 43.3,-88.7 43.3))"
1457,-88.6,43.3,"POLYGON((-88.6 43.3,-88.6 43.4,-88.5 43.4,-88.5 43.3,-88.6 43.3))"
703,-88.5,43.3,"POLYGON((-88.5 43.3,-88.5 43.4,-88.4 43.4,-88.4 43.3,-88.5 43.3))"
26,-89.1,43.4,"POLYGON((-89.1 43.4,-89.1 43.5,-89.0 43.5,-89.0 43.4,-89.1 43.4))"
377,-89.0,43.4,"POLYGON((-89.0 43.4,-89.0 43.5,-88.9 43.5,-88.9 43.4,-89.0 43.4))"
10426,-88.9,43.4,"POLYGON((-88.9 43.4,-88.9 43.5,-88.8 43.5,-88.8 43.4,-88.9 43.4))"
1390,-88.8,43.4,"POLYGON((-88.8 43.4,-88.8 43.5,-88.7 43.5,-88.7 43.4,-88.8 43.4))"
2640,-88.7,43.4,"POLYGON((-88.7 43.4,-88.7 43.5,-88.6 43.5,-88.6 43.4,-88.7 43.4))"
2513,-88.6,43.4,"POLYGON((-88.6 43.4,-88.6 43.5,-88.5 43.5,-88.5 43.4,-88.6 43.4))"
460,-88.5,43.4,"POLYGON((-88.5 43.4,-88.5 43.5,-88.4 43.5,-88.4 43.4,-88.5 43.4))"
561,-89.1,43.5,"POLYGON((-89.1 43.5,-89.1 43.6,-89.0 43.6,-89.0 43.5,-89.1 43.5))"
2189,-89.0,43.5,"POLYGON((-89.0 43.5,-89.0 43.6,-88.9 43.6,-88.9 43.5,-89.0 43.5))"
563,-88.9,43.5,"POLYGON((-88.9 43.5,-88.9 43.6,-88.8 43.6,-88.8 43.5,-88.9 43.5))"
489,-88.8,43.5,"POLYGON((-88.8 43.5,-88.8 43.6,-88.7 43.6,-88.7 43.5,-88.8 43.5))"
30,-88.7,43.5,"POLYGON((-88.7 43.5,-88.7 43.6,-88.6 43.6,-88.6 43.5,-88.7 43.5))"
1461,-88.6,43.5,"POLYGON((-88.6 43.5,-88.6 43.6,-88.5 43.6,-88.5 43.5,-88.6 43.5))"
2235,-88.5,43.5,"POLYGON((-88.5 43.5,-88.5 43.6,-88.4 43.6,-88.4 43.5,-88.5 43.5))"
7,-89.1,43.6,"POLYGON((-89.1 43.6,-89.1 43.7,-89.0 43.7,-89.0 43.6,-89.1 43.6))"
178,-89.0,43.6,"POLYGON((-89.0 43.6,-89.0 43.7,-88.9 43.7,-88.9 43.6,-89.0 43.6))"
75,-88.9,43.6,"POLYGON((-88.9 43.6,-88.9 43.7,-88.8 43.7,-88.8 43.6,-88.9 43.6))"
2724,-88.8,43.6,"POLYGON((-88.8 43.6,-88.8 43.7,-88.7 43.7,-88.7 43.6,-88.8 43.6))"
67,-88.7,43.6,"POLYGON((-88.7 43.6,-88.7 43.7,-88.6 43.7,-88.6 43.6,-88.7 43.6))"
250,-88.6,43.6,"POLYGON((-88.6 43.6,-88.6 43.7,-88.5 43.7,-88.5 43.6,-88.6 43.6))"
604,-88.5,43.6,"POLYGON((-88.5 43.6,-88.5 43.7,-88.4 43.7,-88.4 43.6,-88.5 43.6))"
