count,lon,lat,area
2,-89.2,43.6,"POLYGON((-89.2 43.6,-89.2 43.7,-89.1 43.7,-89.1 43.6,-89.2 43.6))"
1,-89.1,43.6,"POLYGON((-89.1 43.6,-89.1 43.7,-89.0 43.7,-89.0 43.6,-89.1 43.6))"
1,-89.0,43.6,"POLYGON((-89.0 43.6,-89.0 43.7,-88.9 43.7,-88.9 43.6,-89.0 43.6))"
2,-89.2,43.7,"POLYGON((-89.2 43.7,-89.2 43.8,-89.1 43.8,-89.1 43.7,-89.2 43.7))"
2,-89.0,43.7,"POLYGON((-89.0 43.7,-89.0 43.8,-88.9 43.8,-88.9 43.7,-89.0 43.7))"
2,-89.2,43.8,"POLYGON((-89.2 43.8,-89.2 43.9,-89.1 43.9,-89.1 43.8,-89.2 43.8))"
1,-89.1,43.8,"POLYGON((-89.1 43.8,-89.1 43.9,-89.0 43.9,-89.0 43.8,-89.1 43.8))"
2,-89.0,43.8,"POLYGON((-89.0 43.8,-89.0 43.9,-88.9 43.9,-88.9 43.8,-89.0 43.8))"
1,-89.1,43.9,"POLYGON((-89.1 43.9,-89.1 44.0,-89.0 44.0,-89.0 43.9,-89.1 43.9))"
2,-89.0,43.9,"POLYGON((-89.0 43.9,-89.0 44.0,-88.9 44.0,-88.9 43.9,-89.0 43.9))"
