count,lon,lat,area
14,-90.4,44.6,"POLYGON((-90.4 44.6,-90.4 44.7,-90.3 44.7,-90.3 44.6,-90.4 44.6))"
234,-90.3,44.6,"POLYGON((-90.3 44.6,-90.3 44.7,-90.2 44.7,-90.2 44.6,-90.3 44.6))"
436,-90.2,44.6,"POLYGON((-90.2 44.6,-90.2 44.7,-90.1 44.7,-90.1 44.6,-90.2 44.6))"
58,-90.1,44.6,"POLYGON((-90.1 44.6,-90.1 44.7,-90.0 44.7,-90.0 44.6,-90.1 44.6))"
8,-90.0,44.6,"POLYGON((-90.0 44.6,-90.0 44.7,-89.9 44.7,-89.9 44.6,-90.0 44.6))"
1,-89.9,44.6,"POLYGON((-89.9 44.6,-89.9 44.7,-89.8 44.7,-89.8 44.6,-89.9 44.6))"
69,-89.8,44.6,"POLYGON((-89.8 44.6,-89.8 44.7,-89.7 44.7,-89.7 44.6,-89.8 44.6))"
262,-89.7,44.6,"POLYGON((-89.7 44.6,-89.7 44.7,-89.6 44.7,-89.6 44.6,-89.7 44.6))"
29,-89.6,44.6,"POLYGON((-89.6 44.6,-89.6 44.7,-89.5 44.7,-89.5 44.6,-89.6 44.6))"
93,-89.5,44.6,"POLYGON((-89.5 44.6,-89.5 44.7,-89.4 44.7,-89.4 44.6,-89.5 44.6))"
38,-89.4,44.6,"POLYGON((-89.4 44.6,-89.4 44.7,-89.3 44.7,-89.3 44.6,-89.4 44.6))"
28,-89.3,44.6,"POLYGON((-89.3 44.6,-89.3 44.7,-89.2 44.7,-89.2 44.6,-89.3 44.6))"
454,-90.4,44.7,"POLYGON((-90.4 44.7,-90.4 44.8,-90.3 44.8,-90.3 44.7,-90.4 44.7))"
1168,-90.3,44.7,"POLYGON((-90.3 44.7,-90.3 44.8,-90.2 44.8,-90.2 44.7,-90.3 44.7))"
651,-90.2,44.7,"POLYGON((-90.2 44.7,-90.2 44.8,-90.1 44.8,-90.1 44.7,-90.2 44.7))"
942,-90.1,44.7,"POLYGON((-90.1 44.7,-90.1 44.8,-90.0 44.8,-90.0 44.7,-90.1 44.7))"
564,-90.0,44.7,"POLYGON((-90.0 44.7,-90.0 44.8,-89.9 44.8,-89.9 44.7,-90.0 44.7))"
335,-89.9,44.7,"POLYGON((-89.9 44.7,-89.9 44.8,-89.8 44.8,-89.8 44.7,-89.9 44.7))"
2156,-89.8,44.7,"POLYGON((-89.8 44.7,-89.8 44.8,-89.7 44.8,-89.7 44.7,-89.8 44.7))"
1072,-89.7,44.7,"POLYGON((-89.7 44.7,-89.7 44.8,-89.6 44.8,-89.6 44.7,-89.7 44.7))"
271,-89.6,44.7,"POLYGON((-89.6 44.7,-89.6 44.8,-89.5 44.8,-89.5 44.7,-89.6 44.7))"
506,-89.5,44.7,"POLYGON((-89.5 44.7,-89.5 44.8,-89.4 44.8,-89.4 44.7,-89.5 44.7))"
351,-89.4,44.7,"POLYGON((-89.4 44.7,-89.4 44.8,-89.3 44.8,-89.3 44.7,-89.4 44.7))"
375,-89.3,44.7,"POLYGON((-89.3 44.7,-89.3 44.8,-89.2 44.8,-89.2 44.7,-89.3 44.7))"
181,-90.4,44.8,"POLYGON((-90.4 44.8,-90.4 44.9,-90.3 44.9,-90.3 44.8,-90.4 44.8))"
241,-90.3,44.8,"POLYGON((-90.3 44.8,-90.3 44.9,-90.2 44.9,-90.2 44.8,-90.3 44.8))"
333,-90.2,44.8,"POLYGON((-90.2 44.8,-90.2 44.9,-90.1 44.9,-90.1 44.8,-90.2 44.8))"
957,-90.1,44.8,"POLYGON((-90.1 44.8,-90.1 44.9,-90.0 44.9,-90.0 44.8,-90.1 44.8))"
355,-90.0,44.8,"POLYGON((-90.0 44.8,-90.0 44.9,-89.9 44.9,-89.9 44.8,-90.0 44.8))"
345,-89.9,44.8,"POLYGON((-89.9 44.8,-89.9 44.9,-89.8 44.9,-89.8 44.8,-89.9 44.8))"
583,-89.8,44.8,"POLYGON((-89.8 44.8,-89.8 44.9,-89.7 44.9,-89.7 44.8,-89.8 44.8))"
5270,-89.7,44.8,"POLYGON((-89.7 44.8,-89.7 44.9,-89.6 44.9,-89.6 44.8,-89.7 44.8))"
2462,-89.6,44.8,"POLYGON((-89.6 44.8,-89.6 44.9,-89.5 44.9,-89.5 44.8,-89.6 44.8))"
392,-89.5,44.8,"POLYGON((-89.5 44.8,-89.5 44.9,-89.4 44.9,-89.4 44.8,-89.5 44.8))"
938,-89.4,44.8,"POLYGON((-89.4 44.8,-89.4 44.9,-89.3 44.9,-89.3 44.8,-89.4 44.8))"
323,-89.3,44.8,"POLYGON((-89.3 44.8,-89.3 44.9,-89.2 44.9,-89.2 44.8,-89.3 44.8))"
598,-90.4,44.9,"POLYGON((-90.4 44.9,-90.4 45.0,-90.3 45.0,-90.3 44.9,-90.4 44.9))"
360,-90.3,44.9,"POLYGON((-90.3 44.9,-90.3 45.0,-90.2 45.0,-90.2 44.9,-90.3 44.9))"
381,-90.2,44.9,"POLYGON((-90.2 44.9,-90.2 45.0,-90.1 45.0,-90.1 44.9,-90.2 44.9))"
363,-90.1,44.9,"POLYGON((-90.1 44.9,-90.1 45.0,-90.0 45.0,-90.0 44.9,-90.1 44.9))"
1066,-90.0,44.9,"POLYGON((-90.0 44.9,-90.0 45.0,-89.9 45.0,-89.9 44.9,-90.0 44.9))"
1204,-89.9,44.9,"POLYGON((-89.9 44.9,-89.9 45.0,-89.8 45.0,-89.8 44.9,-89.9 44.9))"
1872,-89.8,44.9,"POLYGON((-89.8 44.9,-89.8 45.0,-89.7 45.0,-89.7 44.9,-89.8 44.9))"
19194,-89.7,44.9,"POLYGON((-89.7 44.9,-89.7 45.0,-89.6 45.0,-89.6 44.9,-89.7 44.9))"
5142,-89.6,44.9,"POLYGON((-89.6 44.9,-89.6 45.0,-89.5 45.0,-89.5 44.9,-89.6 44.9))"
710,-89.5,44.9,"POLYGON((-89.5 44.9,-89.5 45.0,-89.4 45.0,-89.4 44.9,-89.5 44.9))"
295,-89.4,44.9,"POLYGON((-89.4 44.9,-89.4 45.0,-89.3 45.0,-89.3 44.9,-89.4 44.9))"
337,-89.3,44.9,"POLYGON((-89.3 44.9,-89.3 45.0,-89.2 45.0,-89.2 44.9,-89.3 44.9))"
38,-90.4,45.0,"POLYGON((-90.4 45.0,-90.4 45.1,-90.3 45.1,-90.3 45.0,-90.4 45.0))"
116,-90.3,45.0,"POLYGON((-90.3 45.0,-90.3 45.1,-90.2 45.1,-90.2 45.0,-90.3 45.0))"
260,-90.2,45.0,"POLYGON((-90.2 45.0,-90.2 45.1,-90.1 45.1,-90.1 45.0,-90.2 45.0))"
939,-90.1,45.0,"POLYGON((-90.1 45.0,-90.1 45.1,-90.0 45.1,-90.0 45.0,-90.1 45.0))"
329,-90.0,45.0,"POLYGON((-90.0 45.0,-90.0 45.1,-89.9 45.1,-89.9 45.0,-90.0 45.0))"
408,-89.9,45.0,"POLYGON((-89.9 45.0,-89.9 45.1,-89.8 45.1,-89.8 45.0,-89.9 45.0))"
628,-89.8,45.0,"POLYGON((-89.8 45.0,-89.8 45.1,-89.7 45.1,-89.7 45.0,-89.8 45.0))"
1307,-89.7,45.0,"POLYGON((-89.7 45.0,-89.7 45.1,-89.6 45.1,-89.6 45.0,-89.7 45.0))"
554,-89.6,45.0,"POLYGON((-89.6 45.0,-89.6 45.1,-89.5 45.1,-89.5 45.0,-89.6 45.0))"
420,-89.5,45.0,"POLYGON((-89.5 45.0,-89.5 45.1,-89.4 45.1,-89.4 45.0,-89.5 45.0))"
282,-89.4,45.0,"POLYGON((-89.4 45.0,-89.4 45.1,-89.3 45.1,-89.3 45.0,-89.4 45.0))"
254,-89.3,45.0,"POLYGON((-89.3 45.0,-89.3 45.1,-89.2 45.1,-89.2 45.0,-89.3 45.0))"
42,-90.2,45.1,"POLYGON((-90.2 45.1,-90.2 45.2,-90.1 45.2,-90.1 45.1,-90.2 45.1))"
51,-90.1,45.1,"POLYGON((-90.1 45.1,-90.1 45.2,-90.0 45.2,-90.0 45.1,-90.1 45.1))"
49,-90.0,45.1,"POLYGON((-90.0 45.1,-90.0 45.2,-89.9 45.2,-89.9 45.1,-90.0 45.1))"
74,-89.9,45.1,"POLYGON((-89.9 45.1,-89.9 45.2,-89.8 45.2,-89.8 45.1,-89.9 45.1))"
89,-89.8,45.1,"POLYGON((-89.8 45.1,-89.8 45.2,-89.7 45.2,-89.7 45.1,-89.8 45.1))"
188,-89.7,45.1,"POLYGON((-89.7 45.1,-89.7 45.2,-89.6 45.2,-89.6 45.1,-89.7 45.1))"
56,-89.6,45.1,"POLYGON((-89.6 45.1,-89.6 45.2,-89.5 45.2,-89.5 45.1,-89.6 45.1))"
42,-89.5,45.1,"POLYGON((-89.5 45.1,-89.5 45.2,-89.4 45.2,-89.4 45.1,-89.5 45.1))"
9,-89.4,45.1,"POLYGON((-89.4 45.1,-89.4 45.2,-89.3 45.2,-89.3 45.1,-89.4 45.1))"
27,-89.3,45.1,"POLYGON((-89.3 45.1,-89.3 45.2,-89.2 45.2,-89.2 45.1,-89.3 45.1))"
