count,lon,lat,area
132,-88.3,44.6,"POLYGON((-88.3 44.6,-88.3 44.7,-88.2 44.7,-88.2 44.6,-88.3 44.6))"
699,-88.2,44.6,"POLYGON((-88.2 44.6,-88.2 44.7,-88.1 44.7,-88.1 44.6,-88.2 44.6))"
583,-88.1,44.6,"POLYGON((-88.1 44.6,-88.1 44.7,-88.0 44.7,-88.0 44.6,-88.1 44.6))"
7,-88.0,44.6,"POLYGON((-88.0 44.6,-88.0 44.7,-87.9 44.7,-87.9 44.6,-88.0 44.6))"
302,-88.3,44.7,"POLYGON((-88.3 44.7,-88.3 44.8,-88.2 44.8,-88.2 44.7,-88.3 44.7))"
993,-88.2,44.7,"POLYGON((-88.2 44.7,-88.2 44.8,-88.1 44.8,-88.1 44.7,-88.2 44.7))"
1669,-88.1,44.7,"POLYGON((-88.1 44.7,-88.1 44.8,-88.0 44.8,-88.0 44.7,-88.1 44.7))"
432,-88.0,44.7,"POLYGON((-88.0 44.7,-88.0 44.8,-87.9 44.8,-87.9 44.7,-88.0 44.7))"
358,-88.5,44.8,"POLYGON((-88.5 44.8,-88.5 44.9,-88.4 44.9,-88.4 44.8,-88.5 44.8))"
820,-88.4,44.8,"POLYGON((-88.4 44.8,-88.4 44.9,-88.3 44.9,-88.3 44.8,-88.4 44.8))"
454,-88.3,44.8,"POLYGON((-88.3 44.8,-88.3 44.9,-88.2 44.9,-88.2 44.8,-88.3 44.8))"
1847,-88.2,44.8,"POLYGON((-88.2 44.8,-88.2 44.9,-88.1 44.9,-88.1 44.8,-88.2 44.8))"
824,-88.1,44.8,"POLYGON((-88.1 44.8,-88.1 44.9,-88.0 44.9,-88.0 44.8,-88.1 44.8))"
662,-88.0,44.8,"POLYGON((-88.0 44.8,-88.0 44.9,-87.9 44.9,-87.9 44.8,-88.0 44.8))"
2051,-87.9,44.8,"POLYGON((-87.9 44.8,-87.9 44.9,-87.8 44.9,-87.8 44.8,-87.9 44.8))"
351,-88.5,44.9,"POLYGON((-88.5 44.9,-88.5 45.0,-88.4 45.0,-88.4 44.9,-88.5 44.9))"
568,-88.4,44.9,"POLYGON((-88.4 44.9,-88.4 45.0,-88.3 45.0,-88.3 44.9,-88.4 44.9))"
395,-88.3,44.9,"POLYGON((-88.3 44.9,-88.3 45.0,-88.2 45.0,-88.2 44.9,-88.3 44.9))"
409,-88.2,44.9,"POLYGON((-88.2 44.9,-88.2 45.0,-88.1 45.0,-88.1 44.9,-88.2 44.9))"
650,-88.1,44.9,"POLYGON((-88.1 44.9,-88.1 45.0,-88.0 45.0,-88.0 44.9,-88.1 44.9))"
428,-88.0,44.9,"POLYGON((-88.0 44.9,-88.0 45.0,-87.9 45.0,-87.9 44.9,-88.0 44.9))"
388,-87.9,44.9,"POLYGON((-87.9 44.9,-87.9 45.0,-87.8 45.0,-87.8 44.9,-87.9 44.9))"
30,-87.8,44.9,"POLYGON((-87.8 44.9,-87.8 45.0,-87.7 45.0,-87.7 44.9,-87.8 44.9))"
322,-88.5,45.0,"POLYGON((-88.5 45.0,-88.5 45.1,-88.4 45.1,-88.4 45.0,-88.5 45.0))"
600,-88.4,45.0,"POLYGON((-88.4 45.0,-88.4 45.1,-88.3 45.1,-88.3 45.0,-88.4 45.0))"
1130,-88.3,45.0,"POLYGON((-88.3 45.0,-88.3 45.1,-88.2 45.1,-88.2 45.0,-88.3 45.0))"
462,-88.2,45.0,"POLYGON((-88.2 45.0,-88.2 45.1,-88.1 45.1,-88.1 45.0,-88.2 45.0))"
97,-88.1,45.0,"POLYGON((-88.1 45.0,-88.1 45.1,-88.0 45.1,-88.0 45.0,-88.1 45.0))"
46,-88.0,45.0,"POLYGON((-88.0 45.0,-88.0 45.1,-87.9 45.1,-87.9 45.0,-88.0 45.0))"
174,-88.7,45.1,"POLYGON((-88.7 45.1,-88.7 45.2,-88.6 45.2,-88.6 45.1,-88.7 45.1))"
133,-88.6,45.1,"POLYGON((-88.6 45.1,-88.6 45.2,-88.5 45.2,-88.5 45.1,-88.6 45.1))"
1469,-88.5,45.1,"POLYGON((-88.5 45.1,-88.5 45.2,-88.4 45.2,-88.4 45.1,-88.5 45.1))"
117,-88.4,45.1,"POLYGON((-88.4 45.1,-88.4 45.2,-88.3 45.2,-88.3 45.1,-88.4 45.1))"
520,-88.3,45.1,"POLYGON((-88.3 45.1,-88.3 45.2,-88.2 45.2,-88.2 45.1,-88.3 45.1))"
292,-88.2,45.1,"POLYGON((-88.2 45.1,-88.2 45.2,-88.1 45.2,-88.1 45.1,-88.2 45.1))"
536,-88.7,45.2,"POLYGON((-88.7 45.2,-88.7 45.3,-88.6 45.3,-88.6 45.2,-88.7 45.2))"
1211,-88.6,45.2,"POLYGON((-88.6 45.2,-88.6 45.3,-88.5 45.3,-88.5 45.2,-88.6 45.2))"
541,-88.5,45.2,"POLYGON((-88.5 45.2,-88.5 45.3,-88.4 45.3,-88.4 45.2,-88.5 45.2))"
877,-88.4,45.2,"POLYGON((-88.4 45.2,-88.4 45.3,-88.3 45.3,-88.3 45.2,-88.4 45.2))"
1040,-88.7,45.3,"POLYGON((-88.7 45.3,-88.7 45.4,-88.6 45.4,-88.6 45.3,-88.7 45.3))"
894,-88.6,45.3,"POLYGON((-88.6 45.3,-88.6 45.4,-88.5 45.4,-88.5 45.3,-88.6 45.3))"
936,-88.5,45.3,"POLYGON((-88.5 45.3,-88.5 45.4,-88.4 45.4,-88.4 45.3,-88.5 45.3))"
4,-88.4,45.3,"POLYGON((-88.4 45.3,-88.4 45.4,-88.3 45.4,-88.3 45.3,-88.4 45.3))"
