count,lon,lat,area
185,15.0,46.6,"POLYGON((15.0 46.6,15.0 46.7,15.1 46.7,15.1 46.6,15.0 46.6))"
242,15.1,46.6,"POLYGON((15.1 46.6,15.1 46.7,15.2 46.7,15.2 46.6,15.1 46.6))"
1723,15.2,46.6,"POLYGON((15.2 46.6,15.2 46.7,15.3 46.7,15.3 46.6,15.2 46.6))"
1203,15.3,46.6,"POLYGON((15.3 46.6,15.3 46.7,15.4 46.7,15.4 46.6,15.3 46.6))"
1342,15.4,46.6,"POLYGON((15.4 46.6,15.4 46.7,15.5 46.7,15.5 46.6,15.4 46.6))"
821,15.5,46.6,"POLYGON((15.5 46.6,15.5 46.7,15.6 46.7,15.6 46.6,15.5 46.6))"
252,15.6,46.6,"POLYGON((15.6 46.6,15.6 46.7,15.7 46.7,15.7 46.6,15.6 46.6))"
5,15.7,46.6,"POLYGON((15.7 46.6,15.7 46.7,15.8 46.7,15.8 46.6,15.7 46.6))"
854,15.9,46.6,"POLYGON((15.9 46.6,15.9 46.7,16.0 46.7,16.0 46.6,15.9 46.6))"
220,16.0,46.6,"POLYGON((16.0 46.6,16.0 46.7,16.1 46.7,16.1 46.6,16.0 46.6))"
54,15.0,46.7,"POLYGON((15.0 46.7,15.0 46.8,15.1 46.8,15.1 46.7,15.0 46.7))"
1083,15.1,46.7,"POLYGON((15.1 46.7,15.1 46.8,15.2 46.8,15.2 46.7,15.1 46.7))"
4285,15.2,46.7,"POLYGON((15.2 46.7,15.2 46.8,15.3 46.8,15.3 46.7,15.2 46.7))"
2871,15.3,46.7,"POLYGON((15.3 46.7,15.3 46.8,15.4 46.8,15.4 46.7,15.3 46.7))"
3322,15.4,46.7,"POLYGON((15.4 46.7,15.4 46.8,15.5 46.8,15.5 46.7,15.4 46.7))"
7843,15.5,46.7,"POLYGON((15.5 46.7,15.5 46.8,15.6 46.8,15.6 46.7,15.5 46.7))"
2692,15.6,46.7,"POLYGON((15.6 46.7,15.6 46.8,15.7 46.8,15.7 46.7,15.6 46.7))"
2717,15.7,46.7,"POLYGON((15.7 46.7,15.7 46.8,15.8 46.8,15.8 46.7,15.7 46.7))"
1487,15.8,46.7,"POLYGON((15.8 46.7,15.8 46.8,15.9 46.8,15.9 46.7,15.8 46.7))"
2207,15.9,46.7,"POLYGON((15.9 46.7,15.9 46.8,16.0 46.8,16.0 46.7,15.9 46.7))"
73,16.0,46.7,"POLYGON((16.0 46.7,16.0 46.8,16.1 46.8,16.1 46.7,16.0 46.7))"
2,14.9,46.8,"POLYGON((14.9 46.8,14.9 46.9,15.0 46.9,15.0 46.8,14.9 46.8))"
254,15.0,46.8,"POLYGON((15.0 46.8,15.0 46.9,15.1 46.9,15.1 46.8,15.0 46.8))"
734,15.1,46.8,"POLYGON((15.1 46.8,15.1 46.9,15.2 46.9,15.2 46.8,15.1 46.8))"
6876,15.2,46.8,"POLYGON((15.2 46.8,15.2 46.9,15.3 46.9,15.3 46.8,15.2 46.8))"
2748,15.3,46.8,"POLYGON((15.3 46.8,15.3 46.9,15.4 46.9,15.4 46.8,15.3 46.8))"
3752,15.4,46.8,"POLYGON((15.4 46.8,15.4 46.9,15.5 46.9,15.5 46.8,15.4 46.8))"
5321,15.5,46.8,"POLYGON((15.5 46.8,15.5 46.9,15.6 46.9,15.6 46.8,15.5 46.8))"
1696,15.6,46.8,"POLYGON((15.6 46.8,15.6 46.9,15.7 46.9,15.7 46.8,15.6 46.8))"
2102,15.7,46.8,"POLYGON((15.7 46.8,15.7 46.9,15.8 46.9,15.8 46.8,15.7 46.8))"
3080,15.8,46.8,"POLYGON((15.8 46.8,15.8 46.9,15.9 46.9,15.9 46.8,15.8 46.8))"
3119,15.9,46.8,"POLYGON((15.9 46.8,15.9 46.9,16.0 46.9,16.0 46.8,15.9 46.8))"
1120,16.0,46.8,"POLYGON((16.0 46.8,16.0 46.9,16.1 46.9,16.1 46.8,16.0 46.8))"
145,16.1,46.8,"POLYGON((16.1 46.8,16.1 46.9,16.2 46.9,16.2 46.8,16.1 46.8))"
218,14.9,46.9,"POLYGON((14.9 46.9,14.9 47.0,15.0 47.0,15.0 46.9,14.9 46.9))"
473,15.0,46.9,"POLYGON((15.0 46.9,15.0 47.0,15.1 47.0,15.1 46.9,15.0 46.9))"
682,15.1,46.9,"POLYGON((15.1 46.9,15.1 47.0,15.2 47.0,15.2 46.9,15.1 46.9))"
4475,15.2,46.9,"POLYGON((15.2 46.9,15.2 47.0,15.3 47.0,15.3 46.9,15.2 46.9))"
6536,15.3,46.9,"POLYGON((15.3 46.9,15.3 47.0,15.4 47.0,15.4 46.9,15.3 46.9))"
7861,15.4,46.9,"POLYGON((15.4 46.9,15.4 47.0,15.5 47.0,15.5 46.9,15.4 46.9))"
4770,15.5,46.9,"POLYGON((15.5 46.9,15.5 47.0,15.6 47.0,15.6 46.9,15.5 46.9))"
2342,15.6,46.9,"POLYGON((15.6 46.9,15.6 47.0,15.7 47.0,15.7 46.9,15.6 46.9))"
3163,15.7,46.9,"POLYGON((15.7 46.9,15.7 47.0,15.8 47.0,15.8 46.9,15.7 46.9))"
3895,15.8,46.9,"POLYGON((15.8 46.9,15.8 47.0,15.9 47.0,15.9 46.9,15.8 46.9))"
2963,15.9,46.9,"POLYGON((15.9 46.9,15.9 47.0,16.0 47.0,16.0 46.9,15.9 46.9))"
2613,16.0,46.9,"POLYGON((16.0 46.9,16.0 47.0,16.1 47.0,16.1 46.9,16.0 46.9))"
2728,16.1,46.9,"POLYGON((16.1 46.9,16.1 47.0,16.2 47.0,16.2 46.9,16.1 46.9))"
1108,16.2,46.9,"POLYGON((16.2 46.9,16.2 47.0,16.3 47.0,16.3 46.9,16.2 46.9))"
30,14.8,47.0,"POLYGON((14.8 47.0,14.8 47.1,14.9 47.1,14.9 47.0,14.8 47.0))"
560,14.9,47.0,"POLYGON((14.9 47.0,14.9 47.1,15.0 47.1,15.0 47.0,14.9 47.0))"
4666,15.0,47.0,"POLYGON((15.0 47.0,15.0 47.1,15.1 47.1,15.1 47.0,15.0 47.0))"
6161,15.1,47.0,"POLYGON((15.1 47.0,15.1 47.1,15.2 47.1,15.2 47.0,15.1 47.0))"
5147,15.2,47.0,"POLYGON((15.2 47.0,15.2 47.1,15.3 47.1,15.3 47.0,15.2 47.0))"
9007,15.3,47.0,"POLYGON((15.3 47.0,15.3 47.1,15.4 47.1,15.4 47.0,15.3 47.0))"
36924,15.4,47.0,"POLYGON((15.4 47.0,15.4 47.1,15.5 47.1,15.5 47.0,15.4 47.0))"
6822,15.5,47.0,"POLYGON((15.5 47.0,15.5 47.1,15.6 47.1,15.6 47.0,15.5 47.0))"
