count,lon,lat,area
5,12.6,46.6,"POLYGON((12.6 46.6,12.6 46.7,12.7 46.7,12.7 46.6,12.6 46.6))"
139,12.3,46.7,"POLYGON((12.3 46.7,12.3 46.8,12.4 46.8,12.4 46.7,12.3 46.7))"
1460,12.4,46.7,"POLYGON((12.4 46.7,12.4 46.8,12.5 46.8,12.5 46.7,12.4 46.7))"
913,12.5,46.7,"POLYGON((12.5 46.7,12.5 46.8,12.6 46.8,12.6 46.7,12.5 46.7))"
863,12.6,46.7,"POLYGON((12.6 46.7,12.6 46.8,12.7 46.8,12.7 46.7,12.6 46.7))"
55,12.7,46.7,"POLYGON((12.7 46.7,12.7 46.8,12.8 46.8,12.8 46.7,12.7 46.7))"
148,12.8,46.7,"POLYGON((12.8 46.7,12.8 46.8,12.9 46.8,12.9 46.7,12.8 46.7))"
236,12.9,46.7,"POLYGON((12.9 46.7,12.9 46.8,13.0 46.8,13.0 46.7,12.9 46.7))"
128,10.4,46.8,"POLYGON((10.4 46.8,10.4 46.9,10.5 46.9,10.5 46.8,10.4 46.8))"
424,10.5,46.8,"POLYGON((10.5 46.8,10.5 46.9,10.6 46.9,10.6 46.8,10.5 46.8))"
1,10.6,46.8,"POLYGON((10.6 46.8,10.6 46.9,10.7 46.9,10.7 46.8,10.6 46.8))"
2,10.7,46.8,"POLYGON((10.7 46.8,10.7 46.9,10.8 46.9,10.8 46.8,10.7 46.8))"
8,10.8,46.8,"POLYGON((10.8 46.8,10.8 46.9,10.9 46.9,10.9 46.8,10.8 46.8))"
53,10.9,46.8,"POLYGON((10.9 46.8,10.9 46.9,11.0 46.9,11.0 46.8,10.9 46.8))"
208,11.0,46.8,"POLYGON((11.0 46.8,11.0 46.9,11.1 46.9,11.1 46.8,11.0 46.8))"
4,12.2,46.8,"POLYGON((12.2 46.8,12.2 46.9,12.3 46.9,12.3 46.8,12.2 46.8))"
284,12.3,46.8,"POLYGON((12.3 46.8,12.3 46.9,12.4 46.9,12.4 46.8,12.3 46.8))"
29,12.4,46.8,"POLYGON((12.4 46.8,12.4 46.9,12.5 46.9,12.5 46.8,12.4 46.8))"
571,12.6,46.8,"POLYGON((12.6 46.8,12.6 46.9,12.7 46.9,12.7 46.8,12.6 46.8))"
4396,12.7,46.8,"POLYGON((12.7 46.8,12.7 46.9,12.8 46.9,12.8 46.8,12.7 46.8))"
1954,12.8,46.8,"POLYGON((12.8 46.8,12.8 46.9,12.9 46.9,12.9 46.8,12.8 46.8))"
7,12.9,46.8,"POLYGON((12.9 46.8,12.9 46.9,13.0 46.9,13.0 46.8,12.9 46.8))"
239,10.1,46.9,"POLYGON((10.1 46.9,10.1 47.0,10.2 47.0,10.2 46.9,10.1 46.9))"
200,10.2,46.9,"POLYGON((10.2 46.9,10.2 47.0,10.3 47.0,10.3 46.9,10.2 46.9))"
