count,lon,lat,area
11,-52.1,-1.3,"POLYGON((-52.1 -1.3,-52.1 -1.2,-52.0 -1.2,-52.0 -1.3,-52.1 -1.3))"
9,-52.4,-1.2,"POLYGON((-52.4 -1.2,-52.4 -1.1,-52.3 -1.1,-52.3 -1.2,-52.4 -1.2))"
13,-52.3,-1.2,"POLYGON((-52.3 -1.2,-52.3 -1.1,-52.2 -1.1,-52.2 -1.2,-52.3 -1.2))"
48,-52.2,-1.2,"POLYGON((-52.2 -1.2,-52.2 -1.1,-52.1 -1.1,-52.1 -1.2,-52.2 -1.2))"
3,-52.1,-1.2,"POLYGON((-52.1 -1.2,-52.1 -1.1,-52.0 -1.1,-52.0 -1.2,-52.1 -1.2))"
32,-52.0,-1.2,"POLYGON((-52.0 -1.2,-52.0 -1.1,-51.9 -1.1,-51.9 -1.2,-52.0 -1.2))"
3,-51.9,-1.2,"POLYGON((-51.9 -1.2,-51.9 -1.1,-51.8 -1.1,-51.8 -1.2,-51.9 -1.2))"
5,-52.5,-1.1,"POLYGON((-52.5 -1.1,-52.5 -1.0,-52.4 -1.0,-52.4 -1.1,-52.5 -1.1))"
101,-52.4,-1.1,"POLYGON((-52.4 -1.1,-52.4 -1.0,-52.3 -1.0,-52.3 -1.1,-52.4 -1.1))"
28,-52.3,-1.1,"POLYGON((-52.3 -1.1,-52.3 -1.0,-52.2 -1.0,-52.2 -1.1,-52.3 -1.1))"
10,-52.2,-1.1,"POLYGON((-52.2 -1.1,-52.2 -1.0,-52.1 -1.0,-52.1 -1.1,-52.2 -1.1))"
4,-52.0,-1.1,"POLYGON((-52.0 -1.1,-52.0 -1.0,-51.9 -1.0,-51.9 -1.1,-52.0 -1.1))"
3549,-52.5,-1.0,"POLYGON((-52.5 -1.0,-52.5 -0.9,-52.4 -0.9,-52.4 -1.0,-52.5 -1.0))"
63,-52.4,-1.0,"POLYGON((-52.4 -1.0,-52.4 -0.9,-52.3 -0.9,-52.3 -1.0,-52.4 -1.0))"
12,-52.2,-1.0,"POLYGON((-52.2 -1.0,-52.2 -0.9,-52.1 -0.9,-52.1 -1.0,-52.2 -1.0))"
39,-52.1,-1.0,"POLYGON((-52.1 -1.0,-52.1 -0.9,-52.0 -0.9,-52.0 -1.0,-52.1 -1.0))"
1,-51.9,-1.0,"POLYGON((-51.9 -1.0,-51.9 -0.9,-51.8 -0.9,-51.8 -1.0,-51.9 -1.0))"
8322,-52.6,-0.9,"POLYGON((-52.6 -0.9,-52.6 -0.8,-52.5 -0.8,-52.5 -0.9,-52.6 -0.9))"
346,-52.5,-0.9,"POLYGON((-52.5 -0.9,-52.5 -0.8,-52.4 -0.8,-52.4 -0.9,-52.5 -0.9))"
8,-52.4,-0.9,"POLYGON((-52.4 -0.9,-52.4 -0.8,-52.3 -0.8,-52.3 -0.9,-52.4 -0.9))"
79,-52.0,-0.9,"POLYGON((-52.0 -0.9,-52.0 -0.8,-51.9 -0.8,-51.9 -0.9,-52.0 -0.9))"
40,-51.9,-0.9,"POLYGON((-51.9 -0.9,-51.9 -0.8,-51.8 -0.8,-51.8 -0.9,-51.9 -0.9))"
34,-51.8,-0.9,"POLYGON((-51.8 -0.9,-51.8 -0.8,-51.7 -0.8,-51.7 -0.9,-51.8 -0.9))"
9,-52.6,-0.8,"POLYGON((-52.6 -0.8,-52.6 -0.7,-52.5 -0.7,-52.5 -0.8,-52.6 -0.8))"
112,-52.5,-0.8,"POLYGON((-52.5 -0.8,-52.5 -0.7,-52.4 -0.7,-52.4 -0.8,-52.5 -0.8))"
4,-52.4,-0.8,"POLYGON((-52.4 -0.8,-52.4 -0.7,-52.3 -0.7,-52.3 -0.8,-52.4 -0.8))"
6,-52.0,-0.8,"POLYGON((-52.0 -0.8,-52.0 -0.7,-51.9 -0.7,-51.9 -0.8,-52.0 -0.8))"
11,-51.8,-0.8,"POLYGON((-51.8 -0.8,-51.8 -0.7,-51.7 -0.7,-51.7 -0.8,-51.8 -0.8))"
31,-51.7,-0.8,"POLYGON((-51.7 -0.8,-51.7 -0.7,-51.6 -0.7,-51.6 -0.8,-51.7 -0.8))"
29,-52.6,-0.7,"POLYGON((-52.6 -0.7,-52.6 -0.6,-52.5 -0.6,-52.5 -0.7,-52.6 -0.7))"
19,-52.5,-0.7,"POLYGON((-52.5 -0.7,-52.5 -0.6,-52.4 -0.6,-52.4 -0.7,-52.5 -0.7))"
26,-52.4,-0.7,"POLYGON((-52.4 -0.7,-52.4 -0.6,-52.3 -0.6,-52.3 -0.7,-52.4 -0.7))"
2,-52.2,-0.7,"POLYGON((-52.2 -0.7,-52.2 -0.6,-52.1 -0.6,-52.1 -0.7,-52.2 -0.7))"
20,-52.1,-0.7,"POLYGON((-52.1 -0.7,-52.1 -0.6,-52.0 -0.6,-52.0 -0.7,-52.1 -0.7))"
5,-52.0,-0.7,"POLYGON((-52.0 -0.7,-52.0 -0.6,-51.9 -0.6,-51.9 -0.7,-52.0 -0.7))"
14,-51.8,-0.7,"POLYGON((-51.8 -0.7,-51.8 -0.6,-51.7 -0.6,-51.7 -0.7,-51.8 -0.7))"
67,-51.7,-0.7,"POLYGON((-51.7 -0.7,-51.7 -0.6,-51.6 -0.6,-51.6 -0.7,-51.7 -0.7))"
4,-51.6,-0.7,"POLYGON((-51.6 -0.7,-51.6 -0.6,-51.5 -0.6,-51.5 -0.7,-51.6 -0.7))"
8,-52.6,-0.6,"POLYGON((-52.6 -0.6,-52.6 -0.5,-52.5 -0.5,-52.5 -0.6,-52.6 -0.6))"
14,-52.5,-0.6,"POLYGON((-52.5 -0.6,-52.5 -0.5,-52.4 -0.5,-52.4 -0.6,-52.5 -0.6))"
11,-52.4,-0.6,"POLYGON((-52.4 -0.6,-52.4 -0.5,-52.3 -0.5,-52.3 -0.6,-52.4 -0.6))"
108,-52.3,-0.6,"POLYGON((-52.3 -0.6,-52.3 -0.5,-52.2 -0.5,-52.2 -0.6,-52.3 -0.6))"
172,-52.2,-0.6,"POLYGON((-52.2 -0.6,-52.2 -0.5,-52.1 -0.5,-52.1 -0.6,-52.2 -0.6))"
1,-52.1,-0.6,"POLYGON((-52.1 -0.6,-52.1 -0.5,-52.0 -0.5,-52.0 -0.6,-52.1 -0.6))"
5,-51.8,-0.6,"POLYGON((-51.8 -0.6,-51.8 -0.5,-51.7 -0.5,-51.7 -0.6,-51.8 -0.6))"
84,-51.7,-0.6,"POLYGON((-51.7 -0.6,-51.7 -0.5,-51.6 -0.5,-51.6 -0.6,-51.7 -0.6))"
17,-51.6,-0.6,"POLYGON((-51.6 -0.6,-51.6 -0.5,-51.5 -0.5,-51.5 -0.6,-51.6 -0.6))"
1,-52.7,-0.5,"POLYGON((-52.7 -0.5,-52.7 -0.4,-52.6 -0.4,-52.6 -0.5,-52.7 -0.5))"
1,-52.6,-0.5,"POLYGON((-52.6 -0.5,-52.6 -0.4,-52.5 -0.4,-52.5 -0.5,-52.6 -0.5))"
1,-52.2,-0.5,"POLYGON((-52.2 -0.5,-52.2 -0.4,-52.1 -0.4,-52.1 -0.5,-52.2 -0.5))"
37,-52.1,-0.5,"POLYGON((-52.1 -0.5,-52.1 -0.4,-52.0 -0.4,-52.0 -0.5,-52.1 -0.5))"
2,-51.6,-0.5,"POLYGON((-51.6 -0.5,-51.6 -0.4,-51.5 -0.4,-51.5 -0.5,-51.6 -0.5))"
34,-51.5,-0.5,"POLYGON((-51.5 -0.5,-51.5 -0.4,-51.4 -0.4,-51.4 -0.5,-51.5 -0.5))"
10,-52.3,-0.4,"POLYGON((-52.3 -0.4,-52.3 -0.3,-52.2 -0.3,-52.2 -0.4,-52.3 -0.4))"
20,-52.0,-0.4,"POLYGON((-52.0 -0.4,-52.0 -0.3,-51.9 -0.3,-51.9 -0.4,-52.0 -0.4))"
3,-51.6,-0.4,"POLYGON((-51.6 -0.4,-51.6 -0.3,-51.5 -0.3,-51.5 -0.4,-51.6 -0.4))"
51,-51.5,-0.4,"POLYGON((-51.5 -0.4,-51.5 -0.3,-51.4 -0.3,-51.4 -0.4,-51.5 -0.4))"
28,-51.4,-0.4,"POLYGON((-51.4 -0.4,-51.4 -0.3,-51.3 -0.3,-51.3 -0.4,-51.4 -0.4))"
3,-51.7,-0.3,"POLYGON((-51.7 -0.3,-51.7 -0.2,-51.6 -0.2,-51.6 -0.3,-51.7 -0.3))"
26,-51.6,-0.3,"POLYGON((-51.6 -0.3,-51.6 -0.2,-51.5 -0.2,-51.5 -0.3,-51.6 -0.3))"
375,-51.5,-0.3,"POLYGON((-51.5 -0.3,-51.5 -0.2,-51.4 -0.2,-51.4 -0.3,-51.5 -0.3))"
145,-51.4,-0.3,"POLYGON((-51.4 -0.3,-51.4 -0.2,-51.3 -0.2,-51.3 -0.3,-51.4 -0.3))"
2,-51.9,-0.2,"POLYGON((-51.9 -0.2,-51.9 -0.1,-51.8 -0.1,-51.8 -0.2,-51.9 -0.2))"
21,-51.8,-0.2,"POLYGON((-51.8 -0.2,-51.8 -0.1,-51.7 -0.1,-51.7 -0.2,-51.8 -0.2))"
47,-51.7,-0.2,"POLYGON((-51.7 -0.2,-51.7 -0.1,-51.6 -0.1,-51.6 -0.2,-51.7 -0.2))"
40,-51.6,-0.2,"POLYGON((-51.6 -0.2,-51.6 -0.1,-51.5 -0.1,-51.5 -0.2,-51.6 -0.2))"
96,-51.5,-0.2,"POLYGON((-51.5 -0.2,-51.5 -0.1,-51.4 -0.1,-51.4 -0.2,-51.5 -0.2))"
278,-51.4,-0.2,"POLYGON((-51.4 -0.2,-51.4 -0.1,-51.3 -0.1,-51.3 -0.2,-51.4 -0.2))"
