count,lon,lat,area
43,-61.7,-1.5,"POLYGON((-61.7 -1.5,-61.7 -1.4,-61.6 -1.4,-61.6 -1.5,-61.7 -1.5))"
2,-61.9,-1.4,"POLYGON((-61.9 -1.4,-61.9 -1.3,-61.8 -1.3,-61.8 -1.4,-61.9 -1.4))"
28,-61.8,-1.4,"POLYGON((-61.8 -1.4,-61.8 -1.3,-61.7 -1.3,-61.7 -1.4,-61.8 -1.4))"
12,-61.9,-1.3,"POLYGON((-61.9 -1.3,-61.9 -1.2,-61.8 -1.2,-61.8 -1.3,-61.9 -1.3))"
124,-62.0,-1.2,"POLYGON((-62.0 -1.2,-62.0 -1.1,-61.9 -1.1,-61.9 -1.2,-62.0 -1.2))"
2,-61.9,-1.2,"POLYGON((-61.9 -1.2,-61.9 -1.1,-61.8 -1.1,-61.8 -1.2,-61.9 -1.2))"
34,-61.6,-1.2,"POLYGON((-61.6 -1.2,-61.6 -1.1,-61.5 -1.1,-61.5 -1.2,-61.6 -1.2))"
117,-62.2,-1.1,"POLYGON((-62.2 -1.1,-62.2 -1.0,-62.1 -1.0,-62.1 -1.1,-62.2 -1.1))"
3,-62.1,-1.1,"POLYGON((-62.1 -1.1,-62.1 -1.0,-62.0 -1.0,-62.0 -1.1,-62.1 -1.1))"
58,-62.0,-1.0,"POLYGON((-62.0 -1.0,-62.0 -0.9,-61.9 -0.9,-61.9 -1.0,-62.0 -1.0))"
5,-61.6,-1.0,"POLYGON((-61.6 -1.0,-61.6 -0.9,-61.5 -0.9,-61.5 -1.0,-61.6 -1.0))"
184,-62.0,-0.9,"POLYGON((-62.0 -0.9,-62.0 -0.8,-61.9 -0.8,-61.9 -0.9,-62.0 -0.9))"
9,-61.9,-0.8,"POLYGON((-61.9 -0.8,-61.9 -0.7,-61.8 -0.7,-61.8 -0.8,-61.9 -0.8))"
2,-61.6,-0.8,"POLYGON((-61.6 -0.8,-61.6 -0.7,-61.5 -0.7,-61.5 -0.8,-61.6 -0.8))"
16,-61.9,-0.7,"POLYGON((-61.9 -0.7,-61.9 -0.6,-61.8 -0.6,-61.8 -0.7,-61.9 -0.7))"
