count,lon,lat,area
2,-110.9,49.9,"POLYGON((-110.9 49.9,-110.9 50.0,-110.8 50.0,-110.8 49.9,-110.9 49.9))"
538,-110.8,49.9,"POLYGON((-110.8 49.9,-110.8 50.0,-110.7 50.0,-110.7 49.9,-110.8 49.9))"
4695,-110.7,49.9,"POLYGON((-110.7 49.9,-110.7 50.0,-110.6 50.0,-110.6 49.9,-110.7 49.9))"
498,-110.6,49.9,"POLYGON((-110.6 49.9,-110.6 50.0,-110.5 50.0,-110.5 49.9,-110.6 49.9))"
101,-110.9,50.0,"POLYGON((-110.9 50.0,-110.9 50.1,-110.8 50.1,-110.8 50.0,-110.9 50.0))"
7176,-110.8,50.0,"POLYGON((-110.8 50.0,-110.8 50.1,-110.7 50.1,-110.7 50.0,-110.8 50.0))"
26682,-110.7,50.0,"POLYGON((-110.7 50.0,-110.7 50.1,-110.6 50.1,-110.6 50.0,-110.7 50.0))"
53,-110.6,50.0,"POLYGON((-110.6 50.0,-110.6 50.1,-110.5 50.1,-110.5 50.0,-110.6 50.0))"
9,-110.8,50.1,"POLYGON((-110.8 50.1,-110.8 50.2,-110.7 50.2,-110.7 50.1,-110.8 50.1))"
6,-110.7,50.1,"POLYGON((-110.7 50.1,-110.7 50.2,-110.6 50.2,-110.6 50.1,-110.7 50.1))"
