count,lon,lat,area
17,-112.0,48.9,"POLYGON((-112.0 48.9,-112.0 49.0,-111.9 49.0,-111.9 48.9,-112.0 48.9))"
1,-111.9,48.9,"POLYGON((-111.9 48.9,-111.9 49.0,-111.8 49.0,-111.8 48.9,-111.9 48.9))"
2,-111.3,48.9,"POLYGON((-111.3 48.9,-111.3 49.0,-111.2 49.0,-111.2 48.9,-111.3 48.9))"
2,-111.0,48.9,"POLYGON((-111.0 48.9,-111.0 49.0,-110.9 49.0,-110.9 48.9,-111.0 48.9))"
3,-110.3,48.9,"POLYGON((-110.3 48.9,-110.3 49.0,-110.2 49.0,-110.2 48.9,-110.3 48.9))"
2,-112.4,49.0,"POLYGON((-112.4 49.0,-112.4 49.1,-112.3 49.1,-112.3 49.0,-112.4 49.0))"
11,-112.3,49.0,"POLYGON((-112.3 49.0,-112.3 49.1,-112.2 49.1,-112.2 49.0,-112.3 49.0))"
15,-112.2,49.0,"POLYGON((-112.2 49.0,-112.2 49.1,-112.1 49.1,-112.1 49.0,-112.2 49.0))"
10,-112.1,49.0,"POLYGON((-112.1 49.0,-112.1 49.1,-112.0 49.1,-112.0 49.0,-112.1 49.0))"
179,-112.0,49.0,"POLYGON((-112.0 49.0,-112.0 49.1,-111.9 49.1,-111.9 49.0,-112.0 49.0))"
10,-111.9,49.0,"POLYGON((-111.9 49.0,-111.9 49.1,-111.8 49.1,-111.8 49.0,-111.9 49.0))"
11,-111.8,49.0,"POLYGON((-111.8 49.0,-111.8 49.1,-111.7 49.1,-111.7 49.0,-111.8 49.0))"
11,-111.7,49.0,"POLYGON((-111.7 49.0,-111.7 49.1,-111.6 49.1,-111.6 49.0,-111.7 49.0))"
7,-111.6,49.0,"POLYGON((-111.6 49.0,-111.6 49.1,-111.5 49.1,-111.5 49.0,-111.6 49.0))"
11,-111.5,49.0,"POLYGON((-111.5 49.0,-111.5 49.1,-111.4 49.1,-111.4 49.0,-111.5 49.0))"
10,-111.4,49.0,"POLYGON((-111.4 49.0,-111.4 49.1,-111.3 49.1,-111.3 49.0,-111.4 49.0))"
14,-111.3,49.0,"POLYGON((-111.3 49.0,-111.3 49.1,-111.2 49.1,-111.2 49.0,-111.3 49.0))"
2,-111.2,49.0,"POLYGON((-111.2 49.0,-111.2 49.1,-111.1 49.1,-111.1 49.0,-111.2 49.0))"
3,-111.1,49.0,"POLYGON((-111.1 49.0,-111.1 49.1,-111.0 49.1,-111.0 49.0,-111.1 49.0))"
1,-110.9,49.0,"POLYGON((-110.9 49.0,-110.9 49.1,-110.8 49.1,-110.8 49.0,-110.9 49.0))"
1,-110.8,49.0,"POLYGON((-110.8 49.0,-110.8 49.1,-110.7 49.1,-110.7 49.0,-110.8 49.0))"
2,-110.3,49.0,"POLYGON((-110.3 49.0,-110.3 49.1,-110.2 49.1,-110.2 49.0,-110.3 49.0))"
6,-110.2,49.0,"POLYGON((-110.2 49.0,-110.2 49.1,-110.1 49.1,-110.1 49.0,-110.2 49.0))"
1090,-113.4,49.1,"POLYGON((-113.4 49.1,-113.4 49.2,-113.3 49.2,-113.3 49.1,-113.4 49.1))"
343,-113.3,49.1,"POLYGON((-113.3 49.1,-113.3 49.2,-113.2 49.2,-113.2 49.1,-113.3 49.1))"
1,-112.4,49.1,"POLYGON((-112.4 49.1,-112.4 49.2,-112.3 49.2,-112.3 49.1,-112.4 49.1))"
14,-112.2,49.1,"POLYGON((-112.2 49.1,-112.2 49.2,-112.1 49.2,-112.1 49.1,-112.2 49.1))"
520,-112.1,49.1,"POLYGON((-112.1 49.1,-112.1 49.2,-112.0 49.2,-112.0 49.1,-112.1 49.1))"
16,-112.0,49.1,"POLYGON((-112.0 49.1,-112.0 49.2,-111.9 49.2,-111.9 49.1,-112.0 49.1))"
17,-111.9,49.1,"POLYGON((-111.9 49.1,-111.9 49.2,-111.8 49.2,-111.8 49.1,-111.9 49.1))"
18,-111.8,49.1,"POLYGON((-111.8 49.1,-111.8 49.2,-111.7 49.2,-111.7 49.1,-111.8 49.1))"
21,-111.7,49.1,"POLYGON((-111.7 49.1,-111.7 49.2,-111.6 49.2,-111.6 49.1,-111.7 49.1))"
7,-111.6,49.1,"POLYGON((-111.6 49.1,-111.6 49.2,-111.5 49.2,-111.5 49.1,-111.6 49.1))"
1,-111.5,49.1,"POLYGON((-111.5 49.1,-111.5 49.2,-111.4 49.2,-111.4 49.1,-111.5 49.1))"
