count,lon,lat,area
87,-84.6,46.4,"POLYGON((-84.6 46.4,-84.6 46.5,-84.5 46.5,-84.5 46.4,-84.6 46.4))"
247,-84.5,46.4,"POLYGON((-84.5 46.4,-84.5 46.5,-84.4 46.5,-84.4 46.4,-84.5 46.4))"
278,-84.3,46.4,"POLYGON((-84.3 46.4,-84.3 46.5,-84.2 46.5,-84.2 46.4,-84.3 46.4))"
3,-84.1,46.4,"POLYGON((-84.1 46.4,-84.1 46.5,-84.0 46.5,-84.0 46.4,-84.1 46.4))"
575,-84.6,46.5,"POLYGON((-84.6 46.5,-84.6 46.6,-84.5 46.6,-84.5 46.5,-84.6 46.5))"
1538,-84.5,46.5,"POLYGON((-84.5 46.5,-84.5 46.6,-84.4 46.6,-84.4 46.5,-84.5 46.5))"
19723,-84.4,46.5,"POLYGON((-84.4 46.5,-84.4 46.6,-84.3 46.6,-84.3 46.5,-84.4 46.5))"
8869,-84.3,46.5,"POLYGON((-84.3 46.5,-84.3 46.6,-84.2 46.6,-84.2 46.5,-84.3 46.5))"
430,-84.2,46.5,"POLYGON((-84.2 46.5,-84.2 46.6,-84.1 46.6,-84.1 46.5,-84.2 46.5))"
16,-84.1,46.5,"POLYGON((-84.1 46.5,-84.1 46.6,-84.0 46.6,-84.0 46.5,-84.1 46.5))"
107,-84.6,46.6,"POLYGON((-84.6 46.6,-84.6 46.7,-84.5 46.7,-84.5 46.6,-84.6 46.6))"
17,-84.5,46.6,"POLYGON((-84.5 46.6,-84.5 46.7,-84.4 46.7,-84.4 46.6,-84.5 46.6))"
407,-84.4,46.6,"POLYGON((-84.4 46.6,-84.4 46.7,-84.3 46.7,-84.3 46.6,-84.4 46.6))"
169,-84.3,46.6,"POLYGON((-84.3 46.6,-84.3 46.7,-84.2 46.7,-84.2 46.6,-84.3 46.6))"
