count,lon,lat,area
1,-82.7,41.6,"POLYGON((-82.7 41.6,-82.7 41.7,-82.6 41.7,-82.6 41.6,-82.7 41.6))"
2,-82.9,41.7,"POLYGON((-82.9 41.7,-82.9 41.8,-82.8 41.8,-82.8 41.7,-82.9 41.7))"
2,-82.8,41.7,"POLYGON((-82.8 41.7,-82.8 41.8,-82.7 41.8,-82.7 41.7,-82.8 41.7))"
676,-82.7,41.7,"POLYGON((-82.7 41.7,-82.7 41.8,-82.6 41.8,-82.6 41.7,-82.7 41.7))"
1,-83.1,41.8,"POLYGON((-83.1 41.8,-83.1 41.9,-83.0 41.9,-83.0 41.8,-83.1 41.8))"
2,-82.9,41.8,"POLYGON((-82.9 41.8,-82.9 41.9,-82.8 41.9,-82.8 41.8,-82.9 41.8))"
326,-82.7,41.8,"POLYGON((-82.7 41.8,-82.7 41.9,-82.6 41.9,-82.6 41.8,-82.7 41.8))"
856,-83.0,41.9,"POLYGON((-83.0 41.9,-83.0 42.0,-82.9 42.0,-82.9 41.9,-83.0 41.9))"
498,-82.9,41.9,"POLYGON((-82.9 41.9,-82.9 42.0,-82.8 42.0,-82.8 41.9,-82.9 41.9))"
282,-82.6,41.9,"POLYGON((-82.6 41.9,-82.6 42.0,-82.5 42.0,-82.5 41.9,-82.6 41.9))"
74,-82.5,41.9,"POLYGON((-82.5 41.9,-82.5 42.0,-82.4 42.0,-82.4 41.9,-82.5 41.9))"
1379,-83.2,42.0,"POLYGON((-83.2 42.0,-83.2 42.1,-83.1 42.1,-83.1 42.0,-83.2 42.0))"
1396,-83.1,42.0,"POLYGON((-83.1 42.0,-83.1 42.1,-83.0 42.1,-83.0 42.0,-83.1 42.0))"
2678,-83.0,42.0,"POLYGON((-83.0 42.0,-83.0 42.1,-82.9 42.1,-82.9 42.0,-83.0 42.0))"
980,-82.9,42.0,"POLYGON((-82.9 42.0,-82.9 42.1,-82.8 42.1,-82.8 42.0,-82.9 42.0))"
5674,-82.8,42.0,"POLYGON((-82.8 42.0,-82.8 42.1,-82.7 42.1,-82.7 42.0,-82.8 42.0))"
4676,-82.7,42.0,"POLYGON((-82.7 42.0,-82.7 42.1,-82.6 42.1,-82.6 42.0,-82.7 42.0))"
5706,-82.6,42.0,"POLYGON((-82.6 42.0,-82.6 42.1,-82.5 42.1,-82.5 42.0,-82.6 42.0))"
637,-82.5,42.0,"POLYGON((-82.5 42.0,-82.5 42.1,-82.4 42.1,-82.4 42.0,-82.5 42.0))"
2581,-83.2,42.1,"POLYGON((-83.2 42.1,-83.2 42.2,-83.1 42.2,-83.1 42.1,-83.2 42.1))"
4173,-83.1,42.1,"POLYGON((-83.1 42.1,-83.1 42.2,-83.0 42.2,-83.0 42.1,-83.1 42.1))"
1918,-83.0,42.1,"POLYGON((-83.0 42.1,-83.0 42.2,-82.9 42.2,-82.9 42.1,-83.0 42.1))"
3767,-82.9,42.1,"POLYGON((-82.9 42.1,-82.9 42.2,-82.8 42.2,-82.8 42.1,-82.9 42.1))"
1947,-82.8,42.1,"POLYGON((-82.8 42.1,-82.8 42.2,-82.7 42.2,-82.7 42.1,-82.8 42.1))"
816,-82.7,42.1,"POLYGON((-82.7 42.1,-82.7 42.2,-82.6 42.2,-82.6 42.1,-82.7 42.1))"
789,-82.6,42.1,"POLYGON((-82.6 42.1,-82.6 42.2,-82.5 42.2,-82.5 42.1,-82.6 42.1))"
237,-82.5,42.1,"POLYGON((-82.5 42.1,-82.5 42.2,-82.4 42.2,-82.4 42.1,-82.5 42.1))"
759,-83.2,42.2,"POLYGON((-83.2 42.2,-83.2 42.3,-83.1 42.3,-83.1 42.2,-83.2 42.2))"
35628,-83.1,42.2,"POLYGON((-83.1 42.2,-83.1 42.3,-83.0 42.3,-83.0 42.2,-83.1 42.2))"
15096,-83.0,42.2,"POLYGON((-83.0 42.2,-83.0 42.3,-82.9 42.3,-82.9 42.2,-83.0 42.2))"
2779,-82.9,42.2,"POLYGON((-82.9 42.2,-82.9 42.3,-82.8 42.3,-82.8 42.2,-82.9 42.2))"
6703,-82.8,42.2,"POLYGON((-82.8 42.2,-82.8 42.3,-82.7 42.3,-82.7 42.2,-82.8 42.2))"
2553,-82.7,42.2,"POLYGON((-82.7 42.2,-82.7 42.3,-82.6 42.3,-82.6 42.2,-82.7 42.2))"
1107,-82.6,42.2,"POLYGON((-82.6 42.2,-82.6 42.3,-82.5 42.3,-82.5 42.2,-82.6 42.2))"
394,-82.5,42.2,"POLYGON((-82.5 42.2,-82.5 42.3,-82.4 42.3,-82.4 42.2,-82.5 42.2))"
14593,-83.1,42.3,"POLYGON((-83.1 42.3,-83.1 42.4,-83.0 42.4,-83.0 42.3,-83.1 42.3))"
24187,-83.0,42.3,"POLYGON((-83.0 42.3,-83.0 42.4,-82.9 42.4,-82.9 42.3,-83.0 42.3))"
9977,-82.9,42.3,"POLYGON((-82.9 42.3,-82.9 42.4,-82.8 42.4,-82.8 42.3,-82.9 42.3))"
289,-82.8,42.3,"POLYGON((-82.8 42.3,-82.8 42.4,-82.7 42.4,-82.7 42.3,-82.8 42.3))"
196,-82.7,42.3,"POLYGON((-82.7 42.3,-82.7 42.4,-82.6 42.4,-82.6 42.3,-82.7 42.3))"
1087,-82.6,42.3,"POLYGON((-82.6 42.3,-82.6 42.4,-82.5 42.4,-82.5 42.3,-82.6 42.3))"
914,-82.5,42.3,"POLYGON((-82.5 42.3,-82.5 42.4,-82.4 42.4,-82.4 42.3,-82.5 42.3))"
