count,lon,lat,area
3,-81.1,43.9,"POLYGON((-81.1 43.9,-81.1 44.0,-81.0 44.0,-81.0 43.9,-81.1 43.9))"
64,-81.0,43.9,"POLYGON((-81.0 43.9,-81.0 44.0,-80.9 44.0,-80.9 43.9,-81.0 43.9))"
162,-80.9,43.9,"POLYGON((-80.9 43.9,-80.9 44.0,-80.8 44.0,-80.8 43.9,-80.9 43.9))"
1720,-80.8,43.9,"POLYGON((-80.8 43.9,-80.8 44.0,-80.7 44.0,-80.7 43.9,-80.8 43.9))"
77,-80.7,43.9,"POLYGON((-80.7 43.9,-80.7 44.0,-80.6 44.0,-80.6 43.9,-80.7 43.9))"
77,-80.6,43.9,"POLYGON((-80.6 43.9,-80.6 44.0,-80.5 44.0,-80.5 43.9,-80.6 43.9))"
234,-81.1,44.0,"POLYGON((-81.1 44.0,-81.1 44.1,-81.0 44.1,-81.0 44.0,-81.1 44.0))"
746,-81.0,44.0,"POLYGON((-81.0 44.0,-81.0 44.1,-80.9 44.1,-80.9 44.0,-81.0 44.0))"
376,-80.9,44.0,"POLYGON((-80.9 44.0,-80.9 44.1,-80.8 44.1,-80.8 44.0,-80.9 44.0))"
686,-80.8,44.0,"POLYGON((-80.8 44.0,-80.8 44.1,-80.7 44.1,-80.7 44.0,-80.8 44.0))"
360,-80.7,44.0,"POLYGON((-80.7 44.0,-80.7 44.1,-80.6 44.1,-80.6 44.0,-80.7 44.0))"
354,-80.6,44.0,"POLYGON((-80.6 44.0,-80.6 44.1,-80.5 44.1,-80.5 44.0,-80.6 44.0))"
242,-80.5,44.0,"POLYGON((-80.5 44.0,-80.5 44.1,-80.4 44.1,-80.4 44.0,-80.5 44.0))"
94,-80.4,44.0,"POLYGON((-80.4 44.0,-80.4 44.1,-80.3 44.1,-80.3 44.0,-80.4 44.0))"
3392,-81.1,44.1,"POLYGON((-81.1 44.1,-81.1 44.2,-81.0 44.2,-81.0 44.1,-81.1 44.1))"
670,-81.0,44.1,"POLYGON((-81.0 44.1,-81.0 44.2,-80.9 44.2,-80.9 44.1,-81.0 44.1))"
2062,-80.9,44.1,"POLYGON((-80.9 44.1,-80.9 44.2,-80.8 44.2,-80.8 44.1,-80.9 44.1))"
714,-80.8,44.1,"POLYGON((-80.8 44.1,-80.8 44.2,-80.7 44.2,-80.7 44.1,-80.8 44.1))"
386,-80.7,44.1,"POLYGON((-80.7 44.1,-80.7 44.2,-80.6 44.2,-80.6 44.1,-80.7 44.1))"
421,-80.6,44.1,"POLYGON((-80.6 44.1,-80.6 44.2,-80.5 44.2,-80.5 44.1,-80.6 44.1))"
475,-80.5,44.1,"POLYGON((-80.5 44.1,-80.5 44.2,-80.4 44.2,-80.4 44.1,-80.5 44.1))"
1393,-80.4,44.1,"POLYGON((-80.4 44.1,-80.4 44.2,-80.3 44.2,-80.3 44.1,-80.4 44.1))"
599,-81.1,44.2,"POLYGON((-81.1 44.2,-81.1 44.3,-81.0 44.3,-81.0 44.2,-81.1 44.2))"
