count,lon,lat,area
8,-75.0,-90.0,"POLYGON((-75.0 -90.0,-75.0 -89.9,-74.9 -89.9,-74.9 -90.0,-75.0 -90.0))"
13,-74.8,45.1,"POLYGON((-74.8 45.1,-74.8 45.2,-74.7 45.2,-74.7 45.1,-74.8 45.1))"
452,-74.9,45.2,"POLYGON((-74.9 45.2,-74.9 45.3,-74.8 45.3,-74.8 45.2,-74.9 45.2))"
418,-74.8,45.2,"POLYGON((-74.8 45.2,-74.8 45.3,-74.7 45.3,-74.7 45.2,-74.8 45.2))"
419,-74.7,45.2,"POLYGON((-74.7 45.2,-74.7 45.3,-74.6 45.3,-74.6 45.2,-74.7 45.2))"
3,-75.0,45.3,"POLYGON((-75.0 45.3,-75.0 45.4,-74.9 45.4,-74.9 45.3,-75.0 45.3))"
184,-74.9,45.3,"POLYGON((-74.9 45.3,-74.9 45.4,-74.8 45.4,-74.8 45.3,-74.9 45.3))"
217,-74.8,45.3,"POLYGON((-74.8 45.3,-74.8 45.4,-74.7 45.4,-74.7 45.3,-74.8 45.3))"
1615,-74.7,45.3,"POLYGON((-74.7 45.3,-74.7 45.4,-74.6 45.4,-74.6 45.3,-74.7 45.3))"
347,-74.6,45.3,"POLYGON((-74.6 45.3,-74.6 45.4,-74.5 45.4,-74.5 45.3,-74.6 45.3))"
113,-74.5,45.3,"POLYGON((-74.5 45.3,-74.5 45.4,-74.4 45.4,-74.4 45.3,-74.5 45.3))"
49,-74.8,45.4,"POLYGON((-74.8 45.4,-74.8 45.5,-74.7 45.5,-74.7 45.4,-74.8 45.4))"
166,-74.7,45.4,"POLYGON((-74.7 45.4,-74.7 45.5,-74.6 45.5,-74.6 45.4,-74.7 45.4))"
230,-74.6,45.4,"POLYGON((-74.6 45.4,-74.6 45.5,-74.5 45.5,-74.5 45.4,-74.6 45.4))"
5,-74.5,45.4,"POLYGON((-74.5 45.4,-74.5 45.5,-74.4 45.5,-74.4 45.4,-74.5 45.4))"
