count,lon,lat,area
4,-80.1,45.0,"POLYGON((-80.1 45.0,-80.1 45.1,-80.0 45.1,-80.0 45.0,-80.1 45.0))"
176,-80.2,45.1,"POLYGON((-80.2 45.1,-80.2 45.2,-80.1 45.2,-80.1 45.1,-80.2 45.1))"
280,-80.1,45.1,"POLYGON((-80.1 45.1,-80.1 45.2,-80.0 45.2,-80.0 45.1,-80.1 45.1))"
353,-80.0,45.1,"POLYGON((-80.0 45.1,-80.0 45.2,-79.9 45.2,-79.9 45.1,-80.0 45.1))"
189,-79.9,45.1,"POLYGON((-79.9 45.1,-79.9 45.2,-79.8 45.2,-79.8 45.1,-79.9 45.1))"
156,-79.8,45.1,"POLYGON((-79.8 45.1,-79.8 45.2,-79.7 45.2,-79.7 45.1,-79.8 45.1))"
41,-79.7,45.1,"POLYGON((-79.7 45.1,-79.7 45.2,-79.6 45.2,-79.6 45.1,-79.7 45.1))"
98,-80.3,45.2,"POLYGON((-80.3 45.2,-80.3 45.3,-80.2 45.3,-80.2 45.2,-80.3 45.2))"
292,-80.2,45.2,"POLYGON((-80.2 45.2,-80.2 45.3,-80.1 45.3,-80.1 45.2,-80.2 45.2))"
212,-80.1,45.2,"POLYGON((-80.1 45.2,-80.1 45.3,-80.0 45.3,-80.0 45.2,-80.1 45.2))"
937,-80.0,45.2,"POLYGON((-80.0 45.2,-80.0 45.3,-79.9 45.3,-79.9 45.2,-80.0 45.2))"
886,-79.9,45.2,"POLYGON((-79.9 45.2,-79.9 45.3,-79.8 45.3,-79.8 45.2,-79.9 45.2))"
981,-79.8,45.2,"POLYGON((-79.8 45.2,-79.8 45.3,-79.7 45.3,-79.7 45.2,-79.8 45.2))"
723,-79.7,45.2,"POLYGON((-79.7 45.2,-79.7 45.3,-79.6 45.3,-79.6 45.2,-79.7 45.2))"
11,-80.5,45.3,"POLYGON((-80.5 45.3,-80.5 45.4,-80.4 45.4,-80.4 45.3,-80.5 45.3))"
88,-80.4,45.3,"POLYGON((-80.4 45.3,-80.4 45.4,-80.3 45.4,-80.3 45.3,-80.4 45.3))"
573,-80.3,45.3,"POLYGON((-80.3 45.3,-80.3 45.4,-80.2 45.4,-80.2 45.3,-80.3 45.3))"
599,-80.2,45.3,"POLYGON((-80.2 45.3,-80.2 45.4,-80.1 45.4,-80.1 45.3,-80.2 45.3))"
3420,-80.1,45.3,"POLYGON((-80.1 45.3,-80.1 45.4,-80.0 45.4,-80.0 45.3,-80.1 45.3))"
668,-80.0,45.3,"POLYGON((-80.0 45.3,-80.0 45.4,-79.9 45.4,-79.9 45.3,-80.0 45.3))"
504,-79.9,45.3,"POLYGON((-79.9 45.3,-79.9 45.4,-79.8 45.4,-79.8 45.3,-79.9 45.3))"
736,-79.8,45.3,"POLYGON((-79.8 45.3,-79.8 45.4,-79.7 45.4,-79.7 45.3,-79.8 45.3))"
11,-79.7,45.3,"POLYGON((-79.7 45.3,-79.7 45.4,-79.6 45.4,-79.6 45.3,-79.7 45.3))"
46,-80.5,45.4,"POLYGON((-80.5 45.4,-80.5 45.5,-80.4 45.5,-80.4 45.4,-80.5 45.4))"
321,-80.4,45.4,"POLYGON((-80.4 45.4,-80.4 45.5,-80.3 45.5,-80.3 45.4,-80.4 45.4))"
227,-80.3,45.4,"POLYGON((-80.3 45.4,-80.3 45.5,-80.2 45.5,-80.2 45.4,-80.3 45.4))"
444,-80.2,45.4,"POLYGON((-80.2 45.4,-80.2 45.5,-80.1 45.5,-80.1 45.4,-80.2 45.4))"
931,-80.1,45.4,"POLYGON((-80.1 45.4,-80.1 45.5,-80.0 45.5,-80.0 45.4,-80.1 45.4))"
1146,-80.0,45.4,"POLYGON((-80.0 45.4,-80.0 45.5,-79.9 45.5,-79.9 45.4,-80.0 45.4))"
606,-79.9,45.4,"POLYGON((-79.9 45.4,-79.9 45.5,-79.8 45.5,-79.8 45.4,-79.9 45.4))"
105,-79.8,45.4,"POLYGON((-79.8 45.4,-79.8 45.5,-79.7 45.5,-79.7 45.4,-79.8 45.4))"
104,-79.7,45.4,"POLYGON((-79.7 45.4,-79.7 45.5,-79.6 45.5,-79.6 45.4,-79.7 45.4))"
77,-80.6,45.5,"POLYGON((-80.6 45.5,-80.6 45.6,-80.5 45.6,-80.5 45.5,-80.6 45.5))"
469,-80.5,45.5,"POLYGON((-80.5 45.5,-80.5 45.6,-80.4 45.6,-80.4 45.5,-80.5 45.5))"
356,-80.4,45.5,"POLYGON((-80.4 45.5,-80.4 45.6,-80.3 45.6,-80.3 45.5,-80.4 45.5))"
25,-80.3,45.5,"POLYGON((-80.3 45.5,-80.3 45.6,-80.2 45.6,-80.2 45.5,-80.3 45.5))"
7,-80.2,45.5,"POLYGON((-80.2 45.5,-80.2 45.6,-80.1 45.6,-80.1 45.5,-80.2 45.5))"
82,-80.1,45.5,"POLYGON((-80.1 45.5,-80.1 45.6,-80.0 45.6,-80.0 45.5,-80.1 45.5))"
921,-80.0,45.5,"POLYGON((-80.0 45.5,-80.0 45.6,-79.9 45.6,-79.9 45.5,-80.0 45.5))"
231,-79.9,45.5,"POLYGON((-79.9 45.5,-79.9 45.6,-79.8 45.6,-79.8 45.5,-79.9 45.5))"
11,-79.8,45.5,"POLYGON((-79.8 45.5,-79.8 45.6,-79.7 45.6,-79.7 45.5,-79.8 45.5))"
179,-80.6,45.6,"POLYGON((-80.6 45.6,-80.6 45.7,-80.5 45.7,-80.5 45.6,-80.6 45.6))"
176,-80.5,45.6,"POLYGON((-80.5 45.6,-80.5 45.7,-80.4 45.7,-80.4 45.6,-80.5 45.6))"
85,-80.4,45.6,"POLYGON((-80.4 45.6,-80.4 45.7,-80.3 45.7,-80.3 45.6,-80.4 45.6))"
4,-80.3,45.6,"POLYGON((-80.3 45.6,-80.3 45.7,-80.2 45.7,-80.2 45.6,-80.3 45.6))"
72,-80.2,45.6,"POLYGON((-80.2 45.6,-80.2 45.7,-80.1 45.7,-80.1 45.6,-80.2 45.6))"
338,-80.1,45.6,"POLYGON((-80.1 45.6,-80.1 45.7,-80.0 45.7,-80.0 45.6,-80.1 45.6))"
88,-80.0,45.6,"POLYGON((-80.0 45.6,-80.0 45.7,-79.9 45.7,-79.9 45.6,-80.0 45.6))"
967,-79.9,45.6,"POLYGON((-79.9 45.6,-79.9 45.7,-79.8 45.7,-79.8 45.6,-79.9 45.6))"
14,-80.3,45.7,"POLYGON((-80.3 45.7,-80.3 45.8,-80.2 45.8,-80.2 45.7,-80.3 45.7))"
19,-80.2,45.7,"POLYGON((-80.2 45.7,-80.2 45.8,-80.1 45.8,-80.1 45.7,-80.2 45.7))"
195,-80.1,45.7,"POLYGON((-80.1 45.7,-80.1 45.8,-80.0 45.8,-80.0 45.7,-80.1 45.7))"
68,-80.0,45.7,"POLYGON((-80.0 45.7,-80.0 45.8,-79.9 45.8,-79.9 45.7,-80.0 45.7))"
155,-79.9,45.7,"POLYGON((-79.9 45.7,-79.9 45.8,-79.8 45.8,-79.8 45.7,-79.9 45.7))"
