count,lon,lat,area
4632,-74.0,45.4,"POLYGON((-74.0 45.4,-74.0 45.5,-73.9 45.5,-73.9 45.4,-74.0 45.4))"
46011,-73.9,45.4,"POLYGON((-73.9 45.4,-73.9 45.5,-73.8 45.5,-73.8 45.4,-73.9 45.4))"
30434,-73.8,45.4,"POLYGON((-73.8 45.4,-73.8 45.5,-73.7 45.5,-73.7 45.4,-73.8 45.4))"
89748,-73.7,45.4,"POLYGON((-73.7 45.4,-73.7 45.5,-73.6 45.5,-73.6 45.4,-73.7 45.4))"
70977,-73.6,45.4,"POLYGON((-73.6 45.4,-73.6 45.5,-73.5 45.5,-73.5 45.4,-73.6 45.4))"
329,-74.0,45.5,"POLYGON((-74.0 45.5,-74.0 45.6,-73.9 45.6,-73.9 45.5,-74.0 45.5))"
8790,-73.9,45.5,"POLYGON((-73.9 45.5,-73.9 45.6,-73.8 45.6,-73.8 45.5,-73.9 45.5))"
19862,-73.8,45.5,"POLYGON((-73.8 45.5,-73.8 45.6,-73.7 45.6,-73.7 45.5,-73.8 45.5))"
160191,-73.7,45.5,"POLYGON((-73.7 45.5,-73.7 45.6,-73.6 45.6,-73.6 45.5,-73.7 45.5))"
178315,-73.6,45.5,"POLYGON((-73.6 45.5,-73.6 45.6,-73.5 45.6,-73.5 45.5,-73.6 45.5))"
1,-73.5,45.5,"POLYGON((-73.5 45.5,-73.5 45.6,-73.4 45.6,-73.4 45.5,-73.5 45.5))"
16083,-73.7,45.6,"POLYGON((-73.7 45.6,-73.7 45.7,-73.6 45.7,-73.6 45.6,-73.7 45.6))"
52163,-73.6,45.6,"POLYGON((-73.6 45.6,-73.6 45.7,-73.5 45.7,-73.5 45.6,-73.6 45.6))"
9975,-73.5,45.6,"POLYGON((-73.5 45.6,-73.5 45.7,-73.4 45.7,-73.4 45.6,-73.5 45.6))"
101,-73.5,45.7,"POLYGON((-73.5 45.7,-73.5 45.8,-73.4 45.8,-73.4 45.7,-73.5 45.7))"
