count,lon,lat,area
17,7.1,45.8,"POLYGON((7.1 45.8,7.1 45.9,7.2 45.9,7.2 45.8,7.1 45.8))"
9303,8.9,45.8,"POLYGON((8.9 45.8,8.9 45.9,9.0 45.9,9.0 45.8,8.9 45.8))"
6321,9.0,45.8,"POLYGON((9.0 45.8,9.0 45.9,9.1 45.9,9.1 45.8,9.0 45.8))"
180,7.0,45.9,"POLYGON((7.0 45.9,7.0 46.0,7.1 46.0,7.1 45.9,7.0 45.9))"
1069,7.1,45.9,"POLYGON((7.1 45.9,7.1 46.0,7.2 46.0,7.2 45.9,7.1 45.9))"
183,7.2,45.9,"POLYGON((7.2 45.9,7.2 46.0,7.3 46.0,7.3 45.9,7.2 45.9))"
1,7.3,45.9,"POLYGON((7.3 45.9,7.3 46.0,7.4 46.0,7.4 45.9,7.3 45.9))"
1,7.6,45.9,"POLYGON((7.6 45.9,7.6 46.0,7.7 46.0,7.7 45.9,7.6 45.9))"
45,7.7,45.9,"POLYGON((7.7 45.9,7.7 46.0,7.8 46.0,7.8 45.9,7.7 45.9))"
1,7.8,45.9,"POLYGON((7.8 45.9,7.8 46.0,7.9 46.0,7.9 45.9,7.8 45.9))"
196,8.7,45.9,"POLYGON((8.7 45.9,8.7 46.0,8.8 46.0,8.8 45.9,8.7 45.9))"
5651,8.8,45.9,"POLYGON((8.8 45.9,8.8 46.0,8.9 46.0,8.9 45.9,8.8 45.9))"
10742,8.9,45.9,"POLYGON((8.9 45.9,8.9 46.0,9.0 46.0,9.0 45.9,8.9 45.9))"
299,9.0,45.9,"POLYGON((9.0 45.9,9.0 46.0,9.1 46.0,9.1 45.9,9.0 45.9))"
442,6.9,46.0,"POLYGON((6.9 46.0,6.9 46.1,7.0 46.1,7.0 46.0,6.9 46.0))"
3035,7.0,46.0,"POLYGON((7.0 46.0,7.0 46.1,7.1 46.1,7.1 46.0,7.0 46.0))"
3579,7.1,46.0,"POLYGON((7.1 46.0,7.1 46.1,7.2 46.1,7.2 46.0,7.1 46.0))"
3779,7.2,46.0,"POLYGON((7.2 46.0,7.2 46.1,7.3 46.1,7.3 46.0,7.2 46.0))"
115,7.3,46.0,"POLYGON((7.3 46.0,7.3 46.1,7.4 46.1,7.4 46.0,7.3 46.0))"
323,7.4,46.0,"POLYGON((7.4 46.0,7.4 46.1,7.5 46.1,7.5 46.0,7.4 46.0))"
1169,7.5,46.0,"POLYGON((7.5 46.0,7.5 46.1,7.6 46.1,7.6 46.0,7.5 46.0))"
35,7.6,46.0,"POLYGON((7.6 46.0,7.6 46.1,7.7 46.1,7.7 46.0,7.6 46.0))"
2525,7.7,46.0,"POLYGON((7.7 46.0,7.7 46.1,7.8 46.1,7.8 46.0,7.7 46.0))"
6,7.8,46.0,"POLYGON((7.8 46.0,7.8 46.1,7.9 46.1,7.9 46.0,7.8 46.0))"
156,7.9,46.0,"POLYGON((7.9 46.0,7.9 46.1,8.0 46.1,8.0 46.0,7.9 46.0))"
39,8.7,46.0,"POLYGON((8.7 46.0,8.7 46.1,8.8 46.1,8.8 46.0,8.7 46.0))"
4617,8.8,46.0,"POLYGON((8.8 46.0,8.8 46.1,8.9 46.1,8.9 46.0,8.8 46.0))"
24598,8.9,46.0,"POLYGON((8.9 46.0,8.9 46.1,9.0 46.1,9.0 46.0,8.9 46.0))"
2115,9.0,46.0,"POLYGON((9.0 46.0,9.0 46.1,9.1 46.1,9.1 46.0,9.0 46.0))"
889,5.9,46.1,"POLYGON((5.9 46.1,5.9 46.2,6.0 46.2,6.0 46.1,5.9 46.1))"
5786,6.0,46.1,"POLYGON((6.0 46.1,6.0 46.2,6.1 46.2,6.1 46.1,6.0 46.1))"
17253,6.1,46.1,"POLYGON((6.1 46.1,6.1 46.2,6.2 46.2,6.2 46.1,6.1 46.1))"
930,6.2,46.1,"POLYGON((6.2 46.1,6.2 46.2,6.3 46.2,6.3 46.1,6.2 46.1))"
1,6.7,46.1,"POLYGON((6.7 46.1,6.7 46.2,6.8 46.2,6.8 46.1,6.7 46.1))"
1623,6.8,46.1,"POLYGON((6.8 46.1,6.8 46.2,6.9 46.2,6.9 46.1,6.8 46.1))"
317,6.9,46.1,"POLYGON((6.9 46.1,6.9 46.2,7.0 46.2,7.0 46.1,6.9 46.1))"
5537,7.0,46.1,"POLYGON((7.0 46.1,7.0 46.2,7.1 46.2,7.1 46.1,7.0 46.1))"
6738,7.1,46.1,"POLYGON((7.1 46.1,7.1 46.2,7.2 46.2,7.2 46.1,7.1 46.1))"
7421,7.2,46.1,"POLYGON((7.2 46.1,7.2 46.2,7.3 46.2,7.3 46.1,7.2 46.1))"
4496,7.3,46.1,"POLYGON((7.3 46.1,7.3 46.2,7.4 46.2,7.4 46.1,7.3 46.1))"
3033,7.4,46.1,"POLYGON((7.4 46.1,7.4 46.2,7.5 46.2,7.5 46.1,7.4 46.1))"
2341,7.5,46.1,"POLYGON((7.5 46.1,7.5 46.2,7.6 46.2,7.6 46.1,7.5 46.1))"
1305,7.6,46.1,"POLYGON((7.6 46.1,7.6 46.2,7.7 46.2,7.7 46.1,7.6 46.1))"
452,7.7,46.1,"POLYGON((7.7 46.1,7.7 46.2,7.8 46.2,7.8 46.1,7.7 46.1))"
1341,7.8,46.1,"POLYGON((7.8 46.1,7.8 46.2,7.9 46.2,7.9 46.1,7.8 46.1))"
1653,7.9,46.1,"POLYGON((7.9 46.1,7.9 46.2,8.0 46.2,8.0 46.1,7.9 46.1))"
401,8.0,46.1,"POLYGON((8.0 46.1,8.0 46.2,8.1 46.2,8.1 46.1,8.0 46.1))"
134,8.1,46.1,"POLYGON((8.1 46.1,8.1 46.2,8.2 46.2,8.2 46.1,8.1 46.1))"
72,8.5,46.1,"POLYGON((8.5 46.1,8.5 46.2,8.6 46.2,8.6 46.1,8.5 46.1))"
2237,8.6,46.1,"POLYGON((8.6 46.1,8.6 46.2,8.7 46.2,8.7 46.1,8.6 46.1))"
12065,8.7,46.1,"POLYGON((8.7 46.1,8.7 46.2,8.8 46.2,8.8 46.1,8.7 46.1))"
10229,8.8,46.1,"POLYGON((8.8 46.1,8.8 46.2,8.9 46.2,8.9 46.1,8.8 46.1))"
10038,8.9,46.1,"POLYGON((8.9 46.1,8.9 46.2,9.0 46.2,9.0 46.1,8.9 46.1))"
7863,9.0,46.1,"POLYGON((9.0 46.1,9.0 46.2,9.1 46.2,9.1 46.1,9.0 46.1))"
64,9.1,46.1,"POLYGON((9.1 46.1,9.1 46.2,9.2 46.2,9.2 46.1,9.1 46.1))"
38,5.9,46.2,"POLYGON((5.9 46.2,5.9 46.3,6.0 46.3,6.0 46.2,5.9 46.2))"
4186,6.0,46.2,"POLYGON((6.0 46.2,6.0 46.3,6.1 46.3,6.1 46.2,6.0 46.2))"
18160,6.1,46.2,"POLYGON((6.1 46.2,6.1 46.3,6.2 46.3,6.2 46.2,6.1 46.2))"
6585,6.2,46.2,"POLYGON((6.2 46.2,6.2 46.3,6.3 46.3,6.3 46.2,6.2 46.2))"
18,6.3,46.2,"POLYGON((6.3 46.2,6.3 46.3,6.4 46.3,6.4 46.2,6.3 46.2))"
1804,6.8,46.2,"POLYGON((6.8 46.2,6.8 46.3,6.9 46.3,6.9 46.2,6.8 46.2))"
10064,6.9,46.2,"POLYGON((6.9 46.2,6.9 46.3,7.0 46.3,7.0 46.2,6.9 46.2))"
8429,7.0,46.2,"POLYGON((7.0 46.2,7.0 46.3,7.1 46.3,7.1 46.2,7.0 46.2))"
989,7.1,46.2,"POLYGON((7.1 46.2,7.1 46.3,7.2 46.3,7.2 46.2,7.1 46.2))"
5275,7.2,46.2,"POLYGON((7.2 46.2,7.2 46.3,7.3 46.3,7.3 46.2,7.2 46.2))"
12864,7.3,46.2,"POLYGON((7.3 46.2,7.3 46.3,7.4 46.3,7.4 46.2,7.3 46.2))"
9541,7.4,46.2,"POLYGON((7.4 46.2,7.4 46.3,7.5 46.3,7.5 46.2,7.4 46.2))"
7438,7.5,46.2,"POLYGON((7.5 46.2,7.5 46.3,7.6 46.3,7.6 46.2,7.5 46.2))"
1779,7.6,46.2,"POLYGON((7.6 46.2,7.6 46.3,7.7 46.3,7.7 46.2,7.6 46.2))"
1121,7.7,46.2,"POLYGON((7.7 46.2,7.7 46.3,7.8 46.3,7.8 46.2,7.7 46.2))"
4023,7.8,46.2,"POLYGON((7.8 46.2,7.8 46.3,7.9 46.3,7.9 46.2,7.8 46.2))"
892,7.9,46.2,"POLYGON((7.9 46.2,7.9 46.3,8.0 46.3,8.0 46.2,7.9 46.2))"
475,8.0,46.2,"POLYGON((8.0 46.2,8.0 46.3,8.1 46.3,8.1 46.2,8.0 46.2))"
