count,lon,lat,area
2014,-69.0,12.0,"POLYGON((-69.0 12.0,-69.0 12.1,-68.9 12.1,-68.9 12.0,-69.0 12.0))"
5296,-68.9,12.0,"POLYGON((-68.9 12.0,-68.9 12.1,-68.8 12.1,-68.8 12.0,-68.9 12.0))"
3,-68.8,12.0,"POLYGON((-68.8 12.0,-68.8 12.1,-68.7 12.1,-68.7 12.0,-68.8 12.0))"
339,-69.1,12.1,"POLYGON((-69.1 12.1,-69.1 12.2,-69.0 12.2,-69.0 12.1,-69.1 12.1))"
40586,-69.0,12.1,"POLYGON((-69.0 12.1,-69.0 12.2,-68.9 12.2,-68.9 12.1,-69.0 12.1))"
23687,-68.9,12.1,"POLYGON((-68.9 12.1,-68.9 12.2,-68.8 12.2,-68.8 12.1,-68.9 12.1))"
1054,-69.2,12.2,"POLYGON((-69.2 12.2,-69.2 12.3,-69.1 12.3,-69.1 12.2,-69.2 12.2))"
4187,-69.1,12.2,"POLYGON((-69.1 12.2,-69.1 12.3,-69.0 12.3,-69.0 12.2,-69.1 12.2))"
1397,-69.2,12.3,"POLYGON((-69.2 12.3,-69.2 12.4,-69.1 12.4,-69.1 12.3,-69.2 12.3))"
471,-69.1,12.3,"POLYGON((-69.1 12.3,-69.1 12.4,-69.0 12.4,-69.0 12.3,-69.1 12.3))"
