count,lon,lat,area
499,7.0,52.2,"POLYGON((7.0 52.2,7.0 52.3,7.1 52.3,7.1 52.2,7.0 52.2))"
2698,7.1,52.2,"POLYGON((7.1 52.2,7.1 52.3,7.2 52.3,7.2 52.2,7.1 52.2))"
393,7.2,52.2,"POLYGON((7.2 52.2,7.2 52.3,7.3 52.3,7.3 52.2,7.2 52.2))"
9,7.3,52.2,"POLYGON((7.3 52.2,7.3 52.3,7.4 52.3,7.4 52.2,7.3 52.2))"
788,7.0,52.3,"POLYGON((7.0 52.3,7.0 52.4,7.1 52.4,7.1 52.3,7.0 52.3))"
2736,7.1,52.3,"POLYGON((7.1 52.3,7.1 52.4,7.2 52.4,7.2 52.3,7.1 52.3))"
4370,7.2,52.3,"POLYGON((7.2 52.3,7.2 52.4,7.3 52.4,7.3 52.3,7.2 52.3))"
169,6.7,52.4,"POLYGON((6.7 52.4,6.7 52.5,6.8 52.5,6.8 52.4,6.7 52.4))"
2109,6.8,52.4,"POLYGON((6.8 52.4,6.8 52.5,6.9 52.5,6.9 52.4,6.8 52.4))"
2521,6.9,52.4,"POLYGON((6.9 52.4,6.9 52.5,7.0 52.5,7.0 52.4,6.9 52.4))"
15348,7.0,52.4,"POLYGON((7.0 52.4,7.0 52.5,7.1 52.5,7.1 52.4,7.0 52.4))"
1832,7.1,52.4,"POLYGON((7.1 52.4,7.1 52.5,7.2 52.5,7.2 52.4,7.1 52.4))"
1051,7.2,52.4,"POLYGON((7.2 52.4,7.2 52.5,7.3 52.5,7.3 52.4,7.2 52.4))"
9,6.6,52.5,"POLYGON((6.6 52.5,6.6 52.6,6.7 52.6,6.7 52.5,6.6 52.5))"
536,6.7,52.5,"POLYGON((6.7 52.5,6.7 52.6,6.8 52.6,6.8 52.5,6.7 52.5))"
1014,6.8,52.5,"POLYGON((6.8 52.5,6.8 52.6,6.9 52.6,6.9 52.5,6.8 52.5))"
2403,6.9,52.5,"POLYGON((6.9 52.5,6.9 52.6,7.0 52.6,7.0 52.5,6.9 52.5))"
1424,7.0,52.5,"POLYGON((7.0 52.5,7.0 52.6,7.1 52.6,7.1 52.5,7.0 52.5))"
1428,7.1,52.5,"POLYGON((7.1 52.5,7.1 52.6,7.2 52.6,7.2 52.5,7.1 52.5))"
983,7.2,52.5,"POLYGON((7.2 52.5,7.2 52.6,7.3 52.6,7.3 52.5,7.2 52.5))"
590,6.7,52.6,"POLYGON((6.7 52.6,6.7 52.7,6.8 52.7,6.8 52.6,6.7 52.6))"
2383,6.8,52.6,"POLYGON((6.8 52.6,6.8 52.7,6.9 52.7,6.9 52.6,6.8 52.6))"
613,6.9,52.6,"POLYGON((6.9 52.6,6.9 52.7,7.0 52.7,7.0 52.6,6.9 52.6))"
39,7.0,52.6,"POLYGON((7.0 52.6,7.0 52.7,7.1 52.7,7.1 52.6,7.0 52.6))"
