count,lon,lat,area
1,11.4,54.5,"POLYGON((11.4 54.5,11.4 54.6,11.5 54.6,11.5 54.5,11.4 54.5))"
7,11.5,54.5,"POLYGON((11.5 54.5,11.5 54.6,11.6 54.6,11.6 54.5,11.5 54.5))"
1471,11.9,54.5,"POLYGON((11.9 54.5,11.9 54.6,12.0 54.6,12.0 54.5,11.9 54.5))"
13,11.2,54.6,"POLYGON((11.2 54.6,11.2 54.7,11.3 54.7,11.3 54.6,11.2 54.6))"
4235,11.3,54.6,"POLYGON((11.3 54.6,11.3 54.7,11.4 54.7,11.4 54.6,11.3 54.6))"
1235,11.4,54.6,"POLYGON((11.4 54.6,11.4 54.7,11.5 54.7,11.5 54.6,11.4 54.6))"
425,11.5,54.6,"POLYGON((11.5 54.6,11.5 54.7,11.6 54.7,11.6 54.6,11.5 54.6))"
578,11.6,54.6,"POLYGON((11.6 54.6,11.6 54.7,11.7 54.7,11.7 54.6,11.6 54.6))"
1985,11.7,54.6,"POLYGON((11.7 54.6,11.7 54.7,11.8 54.7,11.8 54.6,11.7 54.6))"
203,11.8,54.6,"POLYGON((11.8 54.6,11.8 54.7,11.9 54.7,11.9 54.6,11.8 54.6))"
5852,11.9,54.6,"POLYGON((11.9 54.6,11.9 54.7,12.0 54.7,12.0 54.6,11.9 54.6))"
874,10.6,54.7,"POLYGON((10.6 54.7,10.6 54.8,10.7 54.8,10.7 54.7,10.6 54.7))"
698,10.7,54.7,"POLYGON((10.7 54.7,10.7 54.8,10.8 54.8,10.8 54.7,10.7 54.7))"
242,10.9,54.7,"POLYGON((10.9 54.7,10.9 54.8,11.0 54.8,11.0 54.7,10.9 54.7))"
978,11.0,54.7,"POLYGON((11.0 54.7,11.0 54.8,11.1 54.8,11.1 54.7,11.0 54.7))"
1337,11.1,54.7,"POLYGON((11.1 54.7,11.1 54.8,11.2 54.8,11.2 54.7,11.1 54.7))"
1902,11.2,54.7,"POLYGON((11.2 54.7,11.2 54.8,11.3 54.8,11.3 54.7,11.2 54.7))"
906,11.3,54.7,"POLYGON((11.3 54.7,11.3 54.8,11.4 54.8,11.4 54.7,11.3 54.7))"
3258,11.4,54.7,"POLYGON((11.4 54.7,11.4 54.8,11.5 54.8,11.5 54.7,11.4 54.7))"
4009,11.5,54.7,"POLYGON((11.5 54.7,11.5 54.8,11.6 54.8,11.6 54.7,11.5 54.7))"
2502,11.6,54.7,"POLYGON((11.6 54.7,11.6 54.8,11.7 54.8,11.7 54.7,11.6 54.7))"
1465,11.7,54.7,"POLYGON((11.7 54.7,11.7 54.8,11.8 54.8,11.8 54.7,11.7 54.7))"
14390,11.8,54.7,"POLYGON((11.8 54.7,11.8 54.8,11.9 54.8,11.9 54.7,11.8 54.7))"
4884,11.9,54.7,"POLYGON((11.9 54.7,11.9 54.8,12.0 54.8,12.0 54.7,11.9 54.7))"
487,12.0,54.7,"POLYGON((12.0 54.7,12.0 54.8,12.1 54.8,12.1 54.7,12.0 54.7))"
14,8.7,54.8,"POLYGON((8.7 54.8,8.7 54.9,8.8 54.9,8.8 54.8,8.7 54.8))"
2,8.9,54.8,"POLYGON((8.9 54.8,8.9 54.9,9.0 54.9,9.0 54.8,8.9 54.8))"
195,9.0,54.8,"POLYGON((9.0 54.8,9.0 54.9,9.1 54.9,9.1 54.8,9.0 54.8))"
103,9.1,54.8,"POLYGON((9.1 54.8,9.1 54.9,9.2 54.9,9.2 54.8,9.1 54.8))"
174,9.2,54.8,"POLYGON((9.2 54.8,9.2 54.9,9.3 54.9,9.3 54.8,9.2 54.8))"
3847,9.3,54.8,"POLYGON((9.3 54.8,9.3 54.9,9.4 54.9,9.4 54.8,9.3 54.8))"
1832,9.4,54.8,"POLYGON((9.4 54.8,9.4 54.9,9.5 54.9,9.5 54.8,9.4 54.8))"
1026,9.5,54.8,"POLYGON((9.5 54.8,9.5 54.9,9.6 54.9,9.6 54.8,9.5 54.8))"
