count,lon,lat,area
13,26.2,57.5,"POLYGON((26.2 57.5,26.2 57.6,26.3 57.6,26.3 57.5,26.2 57.5))"
97,26.3,57.5,"POLYGON((26.3 57.5,26.3 57.6,26.4 57.6,26.4 57.5,26.3 57.5))"
188,26.4,57.5,"POLYGON((26.4 57.5,26.4 57.6,26.5 57.6,26.5 57.5,26.4 57.5))"
1018,26.5,57.5,"POLYGON((26.5 57.5,26.5 57.6,26.6 57.6,26.6 57.5,26.5 57.5))"
471,26.6,57.5,"POLYGON((26.6 57.5,26.6 57.6,26.7 57.6,26.7 57.5,26.6 57.5))"
374,26.7,57.5,"POLYGON((26.7 57.5,26.7 57.6,26.8 57.6,26.8 57.5,26.7 57.5))"
98,26.8,57.5,"POLYGON((26.8 57.5,26.8 57.6,26.9 57.6,26.9 57.5,26.8 57.5))"
193,27.0,57.5,"POLYGON((27.0 57.5,27.0 57.6,27.1 57.6,27.1 57.5,27.0 57.5))"
140,27.1,57.5,"POLYGON((27.1 57.5,27.1 57.6,27.2 57.6,27.2 57.5,27.1 57.5))"
671,27.2,57.5,"POLYGON((27.2 57.5,27.2 57.6,27.3 57.6,27.3 57.5,27.2 57.5))"
200,27.3,57.5,"POLYGON((27.3 57.5,27.3 57.6,27.4 57.6,27.4 57.5,27.3 57.5))"
7,26.1,57.6,"POLYGON((26.1 57.6,26.1 57.7,26.2 57.7,26.2 57.6,26.1 57.6))"
724,26.2,57.6,"POLYGON((26.2 57.6,26.2 57.7,26.3 57.7,26.3 57.6,26.2 57.6))"
1131,26.3,57.6,"POLYGON((26.3 57.6,26.3 57.7,26.4 57.7,26.4 57.6,26.3 57.6))"
941,26.4,57.6,"POLYGON((26.4 57.6,26.4 57.7,26.5 57.7,26.5 57.6,26.4 57.6))"
902,26.5,57.6,"POLYGON((26.5 57.6,26.5 57.7,26.6 57.7,26.6 57.6,26.5 57.6))"
2185,26.6,57.6,"POLYGON((26.6 57.6,26.6 57.7,26.7 57.7,26.7 57.6,26.6 57.6))"
998,26.7,57.6,"POLYGON((26.7 57.6,26.7 57.7,26.8 57.7,26.8 57.6,26.7 57.6))"
1263,26.8,57.6,"POLYGON((26.8 57.6,26.8 57.7,26.9 57.7,26.9 57.6,26.8 57.6))"
1185,26.9,57.6,"POLYGON((26.9 57.6,26.9 57.7,27.0 57.7,27.0 57.6,26.9 57.6))"
1732,27.0,57.6,"POLYGON((27.0 57.6,27.0 57.7,27.1 57.7,27.1 57.6,27.0 57.6))"
1330,27.1,57.6,"POLYGON((27.1 57.6,27.1 57.7,27.2 57.7,27.2 57.6,27.1 57.6))"
1509,27.2,57.6,"POLYGON((27.2 57.6,27.2 57.7,27.3 57.7,27.3 57.6,27.2 57.6))"
1537,27.3,57.6,"POLYGON((27.3 57.6,27.3 57.7,27.4 57.7,27.4 57.6,27.3 57.6))"
16,27.4,57.6,"POLYGON((27.4 57.6,27.4 57.7,27.5 57.7,27.5 57.6,27.4 57.6))"
153,23.2,57.7,"POLYGON((23.2 57.7,23.2 57.8,23.3 57.8,23.3 57.7,23.2 57.7))"
14291,26.0,57.7,"POLYGON((26.0 57.7,26.0 57.8,26.1 57.8,26.1 57.7,26.0 57.7))"
1510,26.1,57.7,"POLYGON((26.1 57.7,26.1 57.8,26.2 57.8,26.2 57.7,26.1 57.7))"
989,26.2,57.7,"POLYGON((26.2 57.7,26.2 57.8,26.3 57.8,26.3 57.7,26.2 57.7))"
1506,26.3,57.7,"POLYGON((26.3 57.7,26.3 57.8,26.4 57.8,26.4 57.7,26.3 57.7))"
701,26.4,57.7,"POLYGON((26.4 57.7,26.4 57.8,26.5 57.8,26.5 57.7,26.4 57.7))"
949,26.5,57.7,"POLYGON((26.5 57.7,26.5 57.8,26.6 57.8,26.6 57.7,26.5 57.7))"
1626,26.6,57.7,"POLYGON((26.6 57.7,26.6 57.8,26.7 57.8,26.7 57.7,26.6 57.7))"
1318,26.7,57.7,"POLYGON((26.7 57.7,26.7 57.8,26.8 57.8,26.8 57.7,26.7 57.7))"
1596,26.8,57.7,"POLYGON((26.8 57.7,26.8 57.8,26.9 57.8,26.9 57.7,26.8 57.7))"
3384,26.9,57.7,"POLYGON((26.9 57.7,26.9 57.8,27.0 57.8,27.0 57.7,26.9 57.7))"
3358,27.0,57.7,"POLYGON((27.0 57.7,27.0 57.8,27.1 57.8,27.1 57.7,27.0 57.7))"
1960,27.1,57.7,"POLYGON((27.1 57.7,27.1 57.8,27.2 57.8,27.2 57.7,27.1 57.7))"
2912,27.2,57.7,"POLYGON((27.2 57.7,27.2 57.8,27.3 57.8,27.3 57.7,27.2 57.7))"
2064,27.3,57.7,"POLYGON((27.3 57.7,27.3 57.8,27.4 57.8,27.4 57.7,27.3 57.7))"
2624,27.4,57.7,"POLYGON((27.4 57.7,27.4 57.8,27.5 57.8,27.5 57.7,27.4 57.7))"
393,27.5,57.7,"POLYGON((27.5 57.7,27.5 57.8,27.6 57.8,27.6 57.7,27.5 57.7))"
1,22.0,57.8,"POLYGON((22.0 57.8,22.0 57.9,22.1 57.9,22.1 57.8,22.0 57.8))"
406,23.2,57.8,"POLYGON((23.2 57.8,23.2 57.9,23.3 57.9,23.3 57.8,23.2 57.8))"
487,24.3,57.8,"POLYGON((24.3 57.8,24.3 57.9,24.4 57.9,24.4 57.8,24.3 57.8))"
133,24.4,57.8,"POLYGON((24.4 57.8,24.4 57.9,24.5 57.9,24.5 57.8,24.4 57.8))"
7,25.7,57.8,"POLYGON((25.7 57.8,25.7 57.9,25.8 57.9,25.8 57.8,25.7 57.8))"
66,25.8,57.8,"POLYGON((25.8 57.8,25.8 57.9,25.9 57.9,25.9 57.8,25.8 57.8))"
156,25.9,57.8,"POLYGON((25.9 57.8,25.9 57.9,26.0 57.9,26.0 57.8,25.9 57.8))"
1090,26.0,57.8,"POLYGON((26.0 57.8,26.0 57.9,26.1 57.9,26.1 57.8,26.0 57.8))"
2334,26.1,57.8,"POLYGON((26.1 57.8,26.1 57.9,26.2 57.9,26.2 57.8,26.1 57.8))"
1779,26.2,57.8,"POLYGON((26.2 57.8,26.2 57.9,26.3 57.9,26.3 57.8,26.2 57.8))"
1063,26.3,57.8,"POLYGON((26.3 57.8,26.3 57.9,26.4 57.9,26.4 57.8,26.3 57.8))"
2024,26.4,57.8,"POLYGON((26.4 57.8,26.4 57.9,26.5 57.9,26.5 57.8,26.4 57.8))"
5621,26.5,57.8,"POLYGON((26.5 57.8,26.5 57.9,26.6 57.9,26.6 57.8,26.5 57.8))"
1852,26.6,57.8,"POLYGON((26.6 57.8,26.6 57.9,26.7 57.9,26.7 57.8,26.6 57.8))"
953,26.7,57.8,"POLYGON((26.7 57.8,26.7 57.9,26.8 57.9,26.8 57.8,26.7 57.8))"
2216,26.8,57.8,"POLYGON((26.8 57.8,26.8 57.9,26.9 57.9,26.9 57.8,26.8 57.8))"
8171,26.9,57.8,"POLYGON((26.9 57.8,26.9 57.9,27.0 57.9,27.0 57.8,26.9 57.8))"
16103,27.0,57.8,"POLYGON((27.0 57.8,27.0 57.9,27.1 57.9,27.1 57.8,27.0 57.8))"
2872,27.1,57.8,"POLYGON((27.1 57.8,27.1 57.9,27.2 57.9,27.2 57.8,27.1 57.8))"
1296,27.2,57.8,"POLYGON((27.2 57.8,27.2 57.9,27.3 57.9,27.3 57.8,27.2 57.8))"
1607,27.3,57.8,"POLYGON((27.3 57.8,27.3 57.9,27.4 57.9,27.4 57.8,27.3 57.8))"
2814,27.4,57.8,"POLYGON((27.4 57.8,27.4 57.9,27.5 57.9,27.5 57.8,27.4 57.8))"
1543,27.5,57.8,"POLYGON((27.5 57.8,27.5 57.9,27.6 57.9,27.6 57.8,27.5 57.8))"
310,27.6,57.8,"POLYGON((27.6 57.8,27.6 57.9,27.7 57.9,27.7 57.8,27.6 57.8))"
1402,27.7,57.8,"POLYGON((27.7 57.8,27.7 57.9,27.8 57.9,27.8 57.8,27.7 57.8))"
203,27.8,57.8,"POLYGON((27.8 57.8,27.8 57.9,27.9 57.9,27.9 57.8,27.8 57.8))"
91,21.9,57.9,"POLYGON((21.9 57.9,21.9 58.0,22.0 58.0,22.0 57.9,21.9 57.9))"
1560,22.0,57.9,"POLYGON((22.0 57.9,22.0 58.0,22.1 58.0,22.1 57.9,22.0 57.9))"
819,22.1,57.9,"POLYGON((22.1 57.9,22.1 58.0,22.2 58.0,22.2 57.9,22.1 57.9))"
7,22.2,57.9,"POLYGON((22.2 57.9,22.2 58.0,22.3 58.0,22.3 57.9,22.2 57.9))"
906,24.3,57.9,"POLYGON((24.3 57.9,24.3 58.0,24.4 58.0,24.4 57.9,24.3 57.9))"
1450,24.4,57.9,"POLYGON((24.4 57.9,24.4 58.0,24.5 58.0,24.5 57.9,24.4 57.9))"
305,24.5,57.9,"POLYGON((24.5 57.9,24.5 58.0,24.6 58.0,24.6 57.9,24.5 57.9))"
176,24.6,57.9,"POLYGON((24.6 57.9,24.6 58.0,24.7 58.0,24.7 57.9,24.6 57.9))"
74,24.7,57.9,"POLYGON((24.7 57.9,24.7 58.0,24.8 58.0,24.8 57.9,24.7 57.9))"
21,24.8,57.9,"POLYGON((24.8 57.9,24.8 58.0,24.9 58.0,24.9 57.9,24.8 57.9))"
30,25.2,57.9,"POLYGON((25.2 57.9,25.2 58.0,25.3 58.0,25.3 57.9,25.2 57.9))"
48,25.4,57.9,"POLYGON((25.4 57.9,25.4 58.0,25.5 58.0,25.5 57.9,25.4 57.9))"
278,25.5,57.9,"POLYGON((25.5 57.9,25.5 58.0,25.6 58.0,25.6 57.9,25.5 57.9))"
574,25.6,57.9,"POLYGON((25.6 57.9,25.6 58.0,25.7 58.0,25.7 57.9,25.6 57.9))"
411,25.7,57.9,"POLYGON((25.7 57.9,25.7 58.0,25.8 58.0,25.8 57.9,25.7 57.9))"
1138,25.8,57.9,"POLYGON((25.8 57.9,25.8 58.0,25.9 58.0,25.9 57.9,25.8 57.9))"
3352,25.9,57.9,"POLYGON((25.9 57.9,25.9 58.0,26.0 58.0,26.0 57.9,25.9 57.9))"
1643,26.0,57.9,"POLYGON((26.0 57.9,26.0 58.0,26.1 58.0,26.1 57.9,26.0 57.9))"
1312,26.1,57.9,"POLYGON((26.1 57.9,26.1 58.0,26.2 58.0,26.2 57.9,26.1 57.9))"
1670,26.2,57.9,"POLYGON((26.2 57.9,26.2 58.0,26.3 58.0,26.3 57.9,26.2 57.9))"
