count,lon,lat,area
5763,9.1,45.5,"POLYGON((9.1 45.5,9.1 45.6,9.2 45.6,9.2 45.5,9.1 45.5))"
16500,9.2,45.5,"POLYGON((9.2 45.5,9.2 45.6,9.3 45.6,9.3 45.5,9.2 45.5))"
9510,9.3,45.5,"POLYGON((9.3 45.5,9.3 45.6,9.4 45.6,9.4 45.5,9.3 45.5))"
1164,9.4,45.5,"POLYGON((9.4 45.5,9.4 45.6,9.5 45.6,9.5 45.5,9.4 45.5))"
5686,9.0,45.6,"POLYGON((9.0 45.6,9.0 45.7,9.1 45.7,9.1 45.6,9.0 45.6))"
30245,9.1,45.6,"POLYGON((9.1 45.6,9.1 45.7,9.2 45.7,9.2 45.6,9.1 45.6))"
38787,9.2,45.6,"POLYGON((9.2 45.6,9.2 45.7,9.3 45.7,9.3 45.6,9.2 45.6))"
16646,9.3,45.6,"POLYGON((9.3 45.6,9.3 45.7,9.4 45.7,9.4 45.6,9.3 45.6))"
8822,9.4,45.6,"POLYGON((9.4 45.6,9.4 45.7,9.5 45.7,9.5 45.6,9.4 45.6))"
8,9.1,45.7,"POLYGON((9.1 45.7,9.1 45.8,9.2 45.8,9.2 45.7,9.1 45.7))"
6327,9.2,45.7,"POLYGON((9.2 45.7,9.2 45.8,9.3 45.8,9.3 45.7,9.2 45.7))"
