count,lon,lat,area
4589,8.7,45.5,"POLYGON((8.7 45.5,8.7 45.6,8.8 45.6,8.8 45.5,8.7 45.5))"
4626,8.8,45.5,"POLYGON((8.8 45.5,8.8 45.6,8.9 45.6,8.9 45.5,8.8 45.5))"
23,8.9,45.5,"POLYGON((8.9 45.5,8.9 45.6,9.0 45.6,9.0 45.5,8.9 45.5))"
4719,9.0,45.5,"POLYGON((9.0 45.5,9.0 45.6,9.1 45.6,9.1 45.5,9.0 45.5))"
2170,8.6,45.6,"POLYGON((8.6 45.6,8.6 45.7,8.7 45.7,8.7 45.6,8.6 45.6))"
21773,8.7,45.6,"POLYGON((8.7 45.6,8.7 45.7,8.8 45.7,8.8 45.6,8.7 45.6))"
41490,8.8,45.6,"POLYGON((8.8 45.6,8.8 45.7,8.9 45.7,8.9 45.6,8.8 45.6))"
12401,8.9,45.6,"POLYGON((8.9 45.6,8.9 45.7,9.0 45.7,9.0 45.6,8.9 45.6))"
15434,9.0,45.6,"POLYGON((9.0 45.6,9.0 45.7,9.1 45.7,9.1 45.6,9.0 45.6))"
2533,8.5,45.7,"POLYGON((8.5 45.7,8.5 45.8,8.6 45.8,8.6 45.7,8.5 45.7))"
9673,8.6,45.7,"POLYGON((8.6 45.7,8.6 45.8,8.7 45.8,8.7 45.7,8.6 45.7))"
9399,8.7,45.7,"POLYGON((8.7 45.7,8.7 45.8,8.8 45.8,8.8 45.7,8.7 45.7))"
26223,8.8,45.7,"POLYGON((8.8 45.7,8.8 45.8,8.9 45.8,8.9 45.7,8.8 45.7))"
6195,8.9,45.7,"POLYGON((8.9 45.7,8.9 45.8,9.0 45.8,9.0 45.7,8.9 45.7))"
386,8.5,45.8,"POLYGON((8.5 45.8,8.5 45.9,8.6 45.9,8.6 45.8,8.5 45.8))"
20282,8.6,45.8,"POLYGON((8.6 45.8,8.6 45.9,8.7 45.9,8.7 45.8,8.6 45.8))"
11104,8.7,45.8,"POLYGON((8.7 45.8,8.7 45.9,8.8 45.9,8.8 45.8,8.7 45.8))"
30337,8.8,45.8,"POLYGON((8.8 45.8,8.8 45.9,8.9 45.9,8.9 45.8,8.8 45.8))"
4798,8.9,45.8,"POLYGON((8.9 45.8,8.9 45.9,9.0 45.9,9.0 45.8,8.9 45.8))"
24,8.5,45.9,"POLYGON((8.5 45.9,8.5 46.0,8.6 46.0,8.6 45.9,8.5 45.9))"
4880,8.6,45.9,"POLYGON((8.6 45.9,8.6 46.0,8.7 46.0,8.7 45.9,8.6 45.9))"
12735,8.7,45.9,"POLYGON((8.7 45.9,8.7 46.0,8.8 46.0,8.8 45.9,8.7 45.9))"
10413,8.8,45.9,"POLYGON((8.8 45.9,8.8 46.0,8.9 46.0,8.9 45.9,8.8 45.9))"
781,8.9,45.9,"POLYGON((8.9 45.9,8.9 46.0,9.0 46.0,9.0 45.9,8.9 45.9))"
4125,8.7,46.0,"POLYGON((8.7 46.0,8.7 46.1,8.8 46.1,8.8 46.0,8.7 46.0))"
171,8.8,46.0,"POLYGON((8.8 46.0,8.8 46.1,8.9 46.1,8.9 46.0,8.8 46.0))"
118,8.7,46.1,"POLYGON((8.7 46.1,8.7 46.2,8.8 46.2,8.8 46.1,8.7 46.1))"
