count,lon,lat,area
74,11.6,44.6,"POLYGON((11.6 44.6,11.6 44.7,11.7 44.7,11.7 44.6,11.6 44.6))"
2254,11.5,44.7,"POLYGON((11.5 44.7,11.5 44.8,11.6 44.8,11.6 44.7,11.5 44.7))"
4725,11.6,44.7,"POLYGON((11.6 44.7,11.6 44.8,11.7 44.8,11.7 44.7,11.6 44.7))"
113,11.7,44.7,"POLYGON((11.7 44.7,11.7 44.8,11.8 44.8,11.8 44.7,11.7 44.7))"
99,11.8,44.7,"POLYGON((11.8 44.7,11.8 44.8,11.9 44.8,11.9 44.7,11.8 44.7))"
7855,11.5,44.8,"POLYGON((11.5 44.8,11.5 44.9,11.6 44.9,11.6 44.8,11.5 44.8))"
35678,11.6,44.8,"POLYGON((11.6 44.8,11.6 44.9,11.7 44.9,11.7 44.8,11.6 44.8))"
3498,11.7,44.8,"POLYGON((11.7 44.8,11.7 44.9,11.8 44.9,11.8 44.8,11.7 44.8))"
694,11.8,44.8,"POLYGON((11.8 44.8,11.8 44.9,11.9 44.9,11.9 44.8,11.8 44.8))"
200,11.4,44.9,"POLYGON((11.4 44.9,11.4 45.0,11.5 45.0,11.5 44.9,11.4 44.9))"
602,11.5,44.9,"POLYGON((11.5 44.9,11.5 45.0,11.6 45.0,11.6 44.9,11.5 44.9))"
688,11.6,44.9,"POLYGON((11.6 44.9,11.6 45.0,11.7 45.0,11.7 44.9,11.6 44.9))"
249,11.7,44.9,"POLYGON((11.7 44.9,11.7 45.0,11.8 45.0,11.8 44.9,11.7 44.9))"
