count,lon,lat,area
427,12.1,43.7,"POLYGON((12.1 43.7,12.1 43.8,12.2 43.8,12.2 43.7,12.1 43.7))"
106,12.2,43.7,"POLYGON((12.2 43.7,12.2 43.8,12.3 43.8,12.3 43.7,12.2 43.7))"
348,12.1,43.8,"POLYGON((12.1 43.8,12.1 43.9,12.2 43.9,12.2 43.8,12.1 43.8))"
3501,12.2,43.8,"POLYGON((12.2 43.8,12.2 43.9,12.3 43.9,12.3 43.8,12.2 43.8))"
751,12.3,43.8,"POLYGON((12.3 43.8,12.3 43.9,12.4 43.9,12.4 43.8,12.3 43.8))"
57,12.4,43.8,"POLYGON((12.4 43.8,12.4 43.9,12.5 43.9,12.5 43.8,12.4 43.8))"
151,12.5,43.8,"POLYGON((12.5 43.8,12.5 43.9,12.6 43.9,12.6 43.8,12.5 43.8))"
2527,12.6,43.8,"POLYGON((12.6 43.8,12.6 43.9,12.7 43.9,12.7 43.8,12.6 43.8))"
249,12.7,43.8,"POLYGON((12.7 43.8,12.7 43.9,12.8 43.9,12.8 43.8,12.7 43.8))"
310,12.1,43.9,"POLYGON((12.1 43.9,12.1 44.0,12.2 44.0,12.2 43.9,12.1 43.9))"
860,12.2,43.9,"POLYGON((12.2 43.9,12.2 44.0,12.3 44.0,12.3 43.9,12.2 43.9))"
2114,12.3,43.9,"POLYGON((12.3 43.9,12.3 44.0,12.4 44.0,12.4 43.9,12.3 43.9))"
1986,12.4,43.9,"POLYGON((12.4 43.9,12.4 44.0,12.5 44.0,12.5 43.9,12.4 43.9))"
5718,12.5,43.9,"POLYGON((12.5 43.9,12.5 44.0,12.6 44.0,12.6 43.9,12.5 43.9))"
19148,12.6,43.9,"POLYGON((12.6 43.9,12.6 44.0,12.7 44.0,12.7 43.9,12.6 43.9))"
15778,12.7,43.9,"POLYGON((12.7 43.9,12.7 44.0,12.8 44.0,12.8 43.9,12.7 43.9))"
561,12.3,44.0,"POLYGON((12.3 44.0,12.3 44.1,12.4 44.1,12.4 44.0,12.3 44.0))"
13587,12.4,44.0,"POLYGON((12.4 44.0,12.4 44.1,12.5 44.1,12.5 44.0,12.4 44.0))"
36013,12.5,44.0,"POLYGON((12.5 44.0,12.5 44.1,12.6 44.1,12.6 44.0,12.5 44.0))"
10948,12.6,44.0,"POLYGON((12.6 44.0,12.6 44.1,12.7 44.1,12.7 44.0,12.6 44.0))"
8704,12.4,44.1,"POLYGON((12.4 44.1,12.4 44.2,12.5 44.2,12.5 44.1,12.4 44.1))"
1232,12.5,44.1,"POLYGON((12.5 44.1,12.5 44.2,12.6 44.2,12.6 44.1,12.5 44.1))"
