count,lon,lat,area
2748,140.7,35.7,"POLYGON((140.7 35.7,140.7 35.8,140.8 35.8,140.8 35.7,140.7 35.7))"
1800,140.8,35.7,"POLYGON((140.8 35.7,140.8 35.8,140.9 35.8,140.9 35.7,140.8 35.7))"
1875,140.0,35.8,"POLYGON((140.0 35.8,140.0 35.9,140.1 35.9,140.1 35.8,140.0 35.8))"
9145,140.1,35.8,"POLYGON((140.1 35.8,140.1 35.9,140.2 35.9,140.2 35.8,140.1 35.8))"
3662,140.2,35.8,"POLYGON((140.2 35.8,140.2 35.9,140.3 35.9,140.3 35.8,140.2 35.8))"
926,140.3,35.8,"POLYGON((140.3 35.8,140.3 35.9,140.4 35.9,140.4 35.8,140.3 35.8))"
2676,140.6,35.8,"POLYGON((140.6 35.8,140.6 35.9,140.7 35.9,140.7 35.8,140.6 35.8))"
2879,140.7,35.8,"POLYGON((140.7 35.8,140.7 35.9,140.8 35.9,140.8 35.8,140.7 35.8))"
215,139.8,35.9,"POLYGON((139.8 35.9,139.8 36.0,139.9 36.0,139.9 35.9,139.8 35.9))"
7051,139.9,35.9,"POLYGON((139.9 35.9,139.9 36.0,140.0 36.0,140.0 35.9,139.9 35.9))"
16817,140.0,35.9,"POLYGON((140.0 35.9,140.0 36.0,140.1 36.0,140.1 35.9,140.0 35.9))"
18885,140.1,35.9,"POLYGON((140.1 35.9,140.1 36.0,140.2 36.0,140.2 35.9,140.1 35.9))"
8523,140.2,35.9,"POLYGON((140.2 35.9,140.2 36.0,140.3 36.0,140.3 35.9,140.2 35.9))"
6404,140.3,35.9,"POLYGON((140.3 35.9,140.3 36.0,140.4 36.0,140.4 35.9,140.3 35.9))"
3613,140.4,35.9,"POLYGON((140.4 35.9,140.4 36.0,140.5 36.0,140.5 35.9,140.4 35.9))"
9019,140.5,35.9,"POLYGON((140.5 35.9,140.5 36.0,140.6 36.0,140.6 35.9,140.5 35.9))"
6722,140.6,35.9,"POLYGON((140.6 35.9,140.6 36.0,140.7 36.0,140.7 35.9,140.6 35.9))"
5,140.7,35.9,"POLYGON((140.7 35.9,140.7 36.0,140.8 36.0,140.8 35.9,140.7 35.9))"
889,139.7,36.0,"POLYGON((139.7 36.0,139.7 36.1,139.8 36.1,139.8 36.0,139.7 36.0))"
7484,139.8,36.0,"POLYGON((139.8 36.0,139.8 36.1,139.9 36.1,139.9 36.0,139.8 36.0))"
11172,139.9,36.0,"POLYGON((139.9 36.0,139.9 36.1,140.0 36.1,140.0 36.0,139.9 36.0))"
12223,140.0,36.0,"POLYGON((140.0 36.0,140.0 36.1,140.1 36.1,140.1 36.0,140.0 36.0))"
13958,140.1,36.0,"POLYGON((140.1 36.0,140.1 36.1,140.2 36.1,140.2 36.0,140.1 36.0))"
8014,140.2,36.0,"POLYGON((140.2 36.0,140.2 36.1,140.3 36.1,140.3 36.0,140.2 36.0))"
3532,140.3,36.0,"POLYGON((140.3 36.0,140.3 36.1,140.4 36.1,140.4 36.0,140.3 36.0))"
3342,140.4,36.0,"POLYGON((140.4 36.0,140.4 36.1,140.5 36.1,140.5 36.0,140.4 36.0))"
5061,140.5,36.0,"POLYGON((140.5 36.0,140.5 36.1,140.6 36.1,140.6 36.0,140.5 36.0))"
2929,140.6,36.0,"POLYGON((140.6 36.0,140.6 36.1,140.7 36.1,140.7 36.0,140.6 36.0))"
166,139.6,36.1,"POLYGON((139.6 36.1,139.6 36.2,139.7 36.2,139.7 36.1,139.6 36.1))"
13141,139.7,36.1,"POLYGON((139.7 36.1,139.7 36.2,139.8 36.2,139.8 36.1,139.7 36.1))"
11612,139.8,36.1,"POLYGON((139.8 36.1,139.8 36.2,139.9 36.2,139.9 36.1,139.8 36.1))"
13947,139.9,36.1,"POLYGON((139.9 36.1,139.9 36.2,140.0 36.2,140.0 36.1,139.9 36.1))"
8964,140.0,36.1,"POLYGON((140.0 36.1,140.0 36.2,140.1 36.2,140.1 36.1,140.0 36.1))"
7535,140.1,36.1,"POLYGON((140.1 36.1,140.1 36.2,140.2 36.2,140.2 36.1,140.1 36.1))"
8203,140.2,36.1,"POLYGON((140.2 36.1,140.2 36.2,140.3 36.2,140.3 36.1,140.2 36.1))"
6197,140.3,36.1,"POLYGON((140.3 36.1,140.3 36.2,140.4 36.2,140.4 36.1,140.3 36.1))"
4840,140.4,36.1,"POLYGON((140.4 36.1,140.4 36.2,140.5 36.2,140.5 36.1,140.4 36.1))"
5456,140.5,36.1,"POLYGON((140.5 36.1,140.5 36.2,140.6 36.2,140.6 36.1,140.5 36.1))"
9,139.6,36.2,"POLYGON((139.6 36.2,139.6 36.3,139.7 36.3,139.7 36.2,139.6 36.2))"
1739,139.7,36.2,"POLYGON((139.7 36.2,139.7 36.3,139.8 36.3,139.8 36.2,139.7 36.2))"
8833,139.8,36.2,"POLYGON((139.8 36.2,139.8 36.3,139.9 36.3,139.9 36.2,139.8 36.2))"
11276,139.9,36.2,"POLYGON((139.9 36.2,139.9 36.3,140.0 36.3,140.0 36.2,139.9 36.2))"
9013,140.0,36.2,"POLYGON((140.0 36.2,140.0 36.3,140.1 36.3,140.1 36.2,140.0 36.2))"
5021,140.1,36.2,"POLYGON((140.1 36.2,140.1 36.3,140.2 36.3,140.2 36.2,140.1 36.2))"
7025,140.2,36.2,"POLYGON((140.2 36.2,140.2 36.3,140.3 36.3,140.3 36.2,140.2 36.2))"
5415,140.3,36.2,"POLYGON((140.3 36.2,140.3 36.3,140.4 36.3,140.4 36.2,140.3 36.2))"
5453,140.4,36.2,"POLYGON((140.4 36.2,140.4 36.3,140.5 36.3,140.5 36.2,140.4 36.2))"
2803,140.5,36.2,"POLYGON((140.5 36.2,140.5 36.3,140.6 36.3,140.6 36.2,140.5 36.2))"
2657,139.8,36.3,"POLYGON((139.8 36.3,139.8 36.4,139.9 36.4,139.9 36.3,139.8 36.3))"
8328,139.9,36.3,"POLYGON((139.9 36.3,139.9 36.4,140.0 36.4,140.0 36.3,139.9 36.3))"
6440,140.0,36.3,"POLYGON((140.0 36.3,140.0 36.4,140.1 36.4,140.1 36.3,140.0 36.3))"
6151,140.1,36.3,"POLYGON((140.1 36.3,140.1 36.4,140.2 36.4,140.2 36.3,140.1 36.3))"
10345,140.2,36.3,"POLYGON((140.2 36.3,140.2 36.4,140.3 36.4,140.3 36.3,140.2 36.3))"
8964,140.3,36.3,"POLYGON((140.3 36.3,140.3 36.4,140.4 36.4,140.4 36.3,140.3 36.3))"
20383,140.4,36.3,"POLYGON((140.4 36.3,140.4 36.4,140.5 36.4,140.5 36.3,140.4 36.3))"
21098,140.5,36.3,"POLYGON((140.5 36.3,140.5 36.4,140.6 36.4,140.6 36.3,140.5 36.3))"
2948,140.6,36.3,"POLYGON((140.6 36.3,140.6 36.4,140.7 36.4,140.7 36.3,140.6 36.3))"
4,140.0,36.4,"POLYGON((140.0 36.4,140.0 36.5,140.1 36.5,140.1 36.4,140.0 36.4))"
107,140.1,36.4,"POLYGON((140.1 36.4,140.1 36.5,140.2 36.5,140.2 36.4,140.1 36.4))"
1138,140.2,36.4,"POLYGON((140.2 36.4,140.2 36.5,140.3 36.5,140.3 36.4,140.2 36.4))"
3414,140.3,36.4,"POLYGON((140.3 36.4,140.3 36.5,140.4 36.5,140.4 36.4,140.3 36.4))"
14808,140.4,36.4,"POLYGON((140.4 36.4,140.4 36.5,140.5 36.5,140.5 36.4,140.4 36.4))"
16310,140.5,36.4,"POLYGON((140.5 36.4,140.5 36.5,140.6 36.5,140.6 36.4,140.5 36.4))"
541,140.6,36.4,"POLYGON((140.6 36.4,140.6 36.5,140.7 36.5,140.7 36.4,140.6 36.4))"
602,140.3,36.5,"POLYGON((140.3 36.5,140.3 36.6,140.4 36.6,140.4 36.5,140.3 36.5))"
3128,140.4,36.5,"POLYGON((140.4 36.5,140.4 36.6,140.5 36.6,140.5 36.5,140.4 36.5))"
8426,140.5,36.5,"POLYGON((140.5 36.5,140.5 36.6,140.6 36.6,140.6 36.5,140.5 36.5))"
3839,140.6,36.5,"POLYGON((140.6 36.5,140.6 36.6,140.7 36.6,140.7 36.5,140.6 36.5))"
3697,140.6,36.6,"POLYGON((140.6 36.6,140.6 36.7,140.7 36.7,140.7 36.6,140.6 36.6))"
673,140.7,36.6,"POLYGON((140.7 36.6,140.7 36.7,140.8 36.7,140.8 36.6,140.7 36.6))"
919,140.3,36.7,"POLYGON((140.3 36.7,140.3 36.8,140.4 36.8,140.4 36.7,140.3 36.7))"
3043,140.6,36.7,"POLYGON((140.6 36.7,140.6 36.8,140.7 36.8,140.7 36.7,140.6 36.7))"
7292,140.7,36.7,"POLYGON((140.7 36.7,140.7 36.8,140.8 36.8,140.8 36.7,140.7 36.7))"
6719,140.7,36.8,"POLYGON((140.7 36.8,140.7 36.9,140.8 36.9,140.8 36.8,140.7 36.8))"
57,140.8,36.8,"POLYGON((140.8 36.8,140.8 36.9,140.9 36.9,140.9 36.8,140.8 36.8))"
