count,lon,lat,area
3377,131.3,32.9,"POLYGON((131.3 32.9,131.3 33.0,131.4 33.0,131.4 32.9,131.3 32.9))"
135,131.4,32.9,"POLYGON((131.4 32.9,131.4 33.0,131.5 33.0,131.5 32.9,131.4 32.9))"
1715,131.5,32.9,"POLYGON((131.5 32.9,131.5 33.0,131.6 33.0,131.6 32.9,131.5 32.9))"
391,131.6,32.9,"POLYGON((131.6 32.9,131.6 33.0,131.7 33.0,131.7 32.9,131.6 32.9))"
3473,131.8,32.9,"POLYGON((131.8 32.9,131.8 33.0,131.9 33.0,131.9 32.9,131.8 32.9))"
959,131.9,32.9,"POLYGON((131.9 32.9,131.9 33.0,132.0 33.0,132.0 32.9,131.9 32.9))"
63,131.5,33.0,"POLYGON((131.5 33.0,131.5 33.1,131.6 33.1,131.6 33.0,131.5 33.0))"
382,131.6,33.0,"POLYGON((131.6 33.0,131.6 33.1,131.7 33.1,131.7 33.0,131.6 33.0))"
575,131.7,33.0,"POLYGON((131.7 33.0,131.7 33.1,131.8 33.1,131.8 33.0,131.7 33.0))"
5375,131.8,33.0,"POLYGON((131.8 33.0,131.8 33.1,131.9 33.1,131.9 33.0,131.8 33.0))"
132,131.9,33.0,"POLYGON((131.9 33.0,131.9 33.1,132.0 33.1,132.0 33.0,131.9 33.0))"
357,131.4,33.1,"POLYGON((131.4 33.1,131.4 33.2,131.5 33.2,131.5 33.1,131.4 33.1))"
5875,131.5,33.1,"POLYGON((131.5 33.1,131.5 33.2,131.6 33.2,131.6 33.1,131.5 33.1))"
9553,131.6,33.1,"POLYGON((131.6 33.1,131.6 33.2,131.7 33.2,131.7 33.1,131.6 33.1))"
4594,131.7,33.1,"POLYGON((131.7 33.1,131.7 33.2,131.8 33.2,131.8 33.1,131.7 33.1))"
1811,131.8,33.1,"POLYGON((131.8 33.1,131.8 33.2,131.9 33.2,131.9 33.1,131.8 33.1))"
26,130.8,33.2,"POLYGON((130.8 33.2,130.8 33.3,130.9 33.3,130.9 33.2,130.8 33.2))"
328,130.9,33.2,"POLYGON((130.9 33.2,130.9 33.3,131.0 33.3,131.0 33.2,130.9 33.2))"
1512,131.1,33.2,"POLYGON((131.1 33.2,131.1 33.3,131.2 33.3,131.2 33.2,131.1 33.2))"
2423,131.3,33.2,"POLYGON((131.3 33.2,131.3 33.3,131.4 33.3,131.4 33.2,131.3 33.2))"
1699,131.4,33.2,"POLYGON((131.4 33.2,131.4 33.3,131.5 33.3,131.5 33.2,131.4 33.2))"
8972,131.5,33.2,"POLYGON((131.5 33.2,131.5 33.3,131.6 33.3,131.6 33.2,131.5 33.2))"
13997,131.6,33.2,"POLYGON((131.6 33.2,131.6 33.3,131.7 33.3,131.7 33.2,131.6 33.2))"
6128,131.7,33.2,"POLYGON((131.7 33.2,131.7 33.3,131.8 33.3,131.8 33.2,131.7 33.2))"
1017,131.8,33.2,"POLYGON((131.8 33.2,131.8 33.3,131.9 33.3,131.9 33.2,131.8 33.2))"
1032,130.8,33.3,"POLYGON((130.8 33.3,130.8 33.4,130.9 33.4,130.9 33.3,130.8 33.3))"
7402,130.9,33.3,"POLYGON((130.9 33.3,130.9 33.4,131.0 33.4,131.0 33.3,130.9 33.3))"
234,131.1,33.3,"POLYGON((131.1 33.3,131.1 33.4,131.2 33.4,131.2 33.3,131.1 33.3))"
4251,131.4,33.3,"POLYGON((131.4 33.3,131.4 33.4,131.5 33.4,131.5 33.3,131.4 33.3))"
4692,131.5,33.3,"POLYGON((131.5 33.3,131.5 33.4,131.6 33.4,131.6 33.3,131.5 33.3))"
532,131.6,33.3,"POLYGON((131.6 33.3,131.6 33.4,131.7 33.4,131.7 33.3,131.6 33.3))"
1162,131.5,33.4,"POLYGON((131.5 33.4,131.5 33.5,131.6 33.5,131.6 33.4,131.5 33.4))"
4219,131.6,33.4,"POLYGON((131.6 33.4,131.6 33.5,131.7 33.5,131.7 33.4,131.6 33.4))"
198,131.7,33.4,"POLYGON((131.7 33.4,131.7 33.5,131.8 33.5,131.8 33.4,131.7 33.4))"
2592,131.1,33.5,"POLYGON((131.1 33.5,131.1 33.6,131.2 33.6,131.2 33.5,131.1 33.5))"
8608,131.2,33.5,"POLYGON((131.2 33.5,131.2 33.6,131.3 33.6,131.3 33.5,131.2 33.5))"
10117,131.3,33.5,"POLYGON((131.3 33.5,131.3 33.6,131.4 33.6,131.4 33.5,131.3 33.5))"
4866,131.4,33.5,"POLYGON((131.4 33.5,131.4 33.6,131.5 33.6,131.5 33.5,131.4 33.5))"
160,131.5,33.5,"POLYGON((131.5 33.5,131.5 33.6,131.6 33.6,131.6 33.5,131.5 33.5))"
1298,131.7,33.5,"POLYGON((131.7 33.5,131.7 33.6,131.8 33.6,131.8 33.5,131.7 33.5))"
2512,131.1,33.6,"POLYGON((131.1 33.6,131.1 33.7,131.2 33.7,131.2 33.6,131.1 33.6))"
484,131.2,33.6,"POLYGON((131.2 33.6,131.2 33.7,131.3 33.7,131.3 33.6,131.2 33.6))"
