count,lon,lat,area
668,133.4,34.4,"POLYGON((133.4 34.4,133.4 34.5,133.5 34.5,133.5 34.4,133.4 34.4))"
8540,133.5,34.4,"POLYGON((133.5 34.4,133.5 34.5,133.6 34.5,133.6 34.4,133.5 34.4))"
341,133.6,34.4,"POLYGON((133.6 34.4,133.6 34.5,133.7 34.5,133.7 34.4,133.6 34.4))"
2051,133.7,34.4,"POLYGON((133.7 34.4,133.7 34.5,133.8 34.5,133.8 34.4,133.7 34.4))"
3185,133.8,34.4,"POLYGON((133.8 34.4,133.8 34.5,133.9 34.5,133.9 34.4,133.8 34.4))"
1438,133.9,34.4,"POLYGON((133.9 34.4,133.9 34.5,134.0 34.5,134.0 34.4,133.9 34.4))"
8908,133.4,34.5,"POLYGON((133.4 34.5,133.4 34.6,133.5 34.6,133.5 34.5,133.4 34.5))"
14518,133.5,34.5,"POLYGON((133.5 34.5,133.5 34.6,133.6 34.6,133.6 34.5,133.5 34.5))"
14200,133.6,34.5,"POLYGON((133.6 34.5,133.6 34.6,133.7 34.6,133.7 34.5,133.6 34.5))"
17275,133.7,34.5,"POLYGON((133.7 34.5,133.7 34.6,133.8 34.6,133.8 34.5,133.7 34.5))"
11784,133.8,34.5,"POLYGON((133.8 34.5,133.8 34.6,133.9 34.6,133.9 34.5,133.8 34.5))"
6053,133.9,34.5,"POLYGON((133.9 34.5,133.9 34.6,134.0 34.6,134.0 34.5,133.9 34.5))"
2025,134.0,34.5,"POLYGON((134.0 34.5,134.0 34.6,134.1 34.6,134.1 34.5,134.0 34.5))"
166,134.1,34.5,"POLYGON((134.1 34.5,134.1 34.6,134.2 34.6,134.2 34.5,134.1 34.5))"
17,133.3,34.6,"POLYGON((133.3 34.6,133.3 34.7,133.4 34.7,133.4 34.6,133.3 34.6))"
3075,133.4,34.6,"POLYGON((133.4 34.6,133.4 34.7,133.5 34.7,133.5 34.6,133.4 34.6))"
4406,133.5,34.6,"POLYGON((133.5 34.6,133.5 34.7,133.6 34.7,133.6 34.6,133.5 34.6))"
5227,133.6,34.6,"POLYGON((133.6 34.6,133.6 34.7,133.7 34.7,133.7 34.6,133.6 34.6))"
19295,133.7,34.6,"POLYGON((133.7 34.6,133.7 34.7,133.8 34.7,133.8 34.6,133.7 34.6))"
19929,133.8,34.6,"POLYGON((133.8 34.6,133.8 34.7,133.9 34.7,133.9 34.6,133.8 34.6))"
19731,133.9,34.6,"POLYGON((133.9 34.6,133.9 34.7,134.0 34.7,134.0 34.6,133.9 34.6))"
8725,134.0,34.6,"POLYGON((134.0 34.6,134.0 34.7,134.1 34.7,134.1 34.6,134.0 34.6))"
321,134.1,34.6,"POLYGON((134.1 34.6,134.1 34.7,134.2 34.7,134.2 34.6,134.1 34.6))"
1784,133.5,34.7,"POLYGON((133.5 34.7,133.5 34.8,133.6 34.8,133.6 34.7,133.5 34.7))"
3820,133.6,34.7,"POLYGON((133.6 34.7,133.6 34.8,133.7 34.8,133.7 34.7,133.6 34.7))"
2766,133.7,34.7,"POLYGON((133.7 34.7,133.7 34.8,133.8 34.8,133.8 34.7,133.7 34.7))"
3345,133.8,34.7,"POLYGON((133.8 34.7,133.8 34.8,133.9 34.8,133.9 34.7,133.8 34.7))"
3660,133.9,34.7,"POLYGON((133.9 34.7,133.9 34.8,134.0 34.8,134.0 34.7,133.9 34.7))"
8252,134.0,34.7,"POLYGON((134.0 34.7,134.0 34.8,134.1 34.8,134.1 34.7,134.0 34.7))"
5923,134.1,34.7,"POLYGON((134.1 34.7,134.1 34.8,134.2 34.8,134.2 34.7,134.1 34.7))"
4496,134.2,34.7,"POLYGON((134.2 34.7,134.2 34.8,134.3 34.8,134.3 34.7,134.2 34.7))"
95,134.3,34.7,"POLYGON((134.3 34.7,134.3 34.8,134.4 34.8,134.4 34.7,134.3 34.7))"
531,133.6,34.8,"POLYGON((133.6 34.8,133.6 34.9,133.7 34.9,133.7 34.8,133.6 34.8))"
1250,133.7,34.8,"POLYGON((133.7 34.8,133.7 34.9,133.8 34.9,133.8 34.8,133.7 34.8))"
32,133.8,34.8,"POLYGON((133.8 34.8,133.8 34.9,133.9 34.9,133.9 34.8,133.8 34.8))"
338,134.0,34.8,"POLYGON((134.0 34.8,134.0 34.9,134.1 34.9,134.1 34.8,134.0 34.8))"
2133,134.1,34.8,"POLYGON((134.1 34.8,134.1 34.9,134.2 34.9,134.2 34.8,134.1 34.8))"
564,134.2,34.8,"POLYGON((134.2 34.8,134.2 34.9,134.3 34.9,134.3 34.8,134.2 34.8))"
3283,133.4,34.9,"POLYGON((133.4 34.9,133.4 35.0,133.5 35.0,133.5 34.9,133.4 34.9))"
105,133.6,34.9,"POLYGON((133.6 34.9,133.6 35.0,133.7 35.0,133.7 34.9,133.6 34.9))"
