count,lon,lat,area
24,135.8,34.8,"POLYGON((135.8 34.8,135.8 34.9,135.9 34.9,135.9 34.8,135.8 34.8))"
73,135.9,34.8,"POLYGON((135.9 34.8,135.9 34.9,136.0 34.9,136.0 34.8,135.9 34.8))"
1415,136.0,34.8,"POLYGON((136.0 34.8,136.0 34.9,136.1 34.9,136.1 34.8,136.0 34.8))"
465,136.1,34.8,"POLYGON((136.1 34.8,136.1 34.9,136.2 34.9,136.2 34.8,136.1 34.8))"
1295,136.2,34.8,"POLYGON((136.2 34.8,136.2 34.9,136.3 34.9,136.3 34.8,136.2 34.8))"
10,136.3,34.8,"POLYGON((136.3 34.8,136.3 34.9,136.4 34.9,136.4 34.8,136.3 34.8))"
1800,135.8,34.9,"POLYGON((135.8 34.9,135.8 35.0,135.9 35.0,135.9 34.9,135.8 34.9))"
6161,135.9,34.9,"POLYGON((135.9 34.9,135.9 35.0,136.0 35.0,136.0 34.9,135.9 34.9))"
1758,136.0,34.9,"POLYGON((136.0 34.9,136.0 35.0,136.1 35.0,136.1 34.9,136.0 34.9))"
8383,136.1,34.9,"POLYGON((136.1 34.9,136.1 35.0,136.2 35.0,136.2 34.9,136.1 34.9))"
5205,136.2,34.9,"POLYGON((136.2 34.9,136.2 35.0,136.3 35.0,136.3 34.9,136.2 34.9))"
72,136.3,34.9,"POLYGON((136.3 34.9,136.3 35.0,136.4 35.0,136.4 34.9,136.3 34.9))"
3359,135.8,35.0,"POLYGON((135.8 35.0,135.8 35.1,135.9 35.1,135.9 35.0,135.8 35.0))"
18567,135.9,35.0,"POLYGON((135.9 35.0,135.9 35.1,136.0 35.1,136.0 35.0,135.9 35.0))"
12638,136.0,35.0,"POLYGON((136.0 35.0,136.0 35.1,136.1 35.1,136.1 35.0,136.0 35.0))"
7664,136.1,35.0,"POLYGON((136.1 35.0,136.1 35.1,136.2 35.1,136.2 35.0,136.1 35.0))"
7304,136.2,35.0,"POLYGON((136.2 35.0,136.2 35.1,136.3 35.1,136.3 35.0,136.2 35.0))"
110,136.3,35.0,"POLYGON((136.3 35.0,136.3 35.1,136.4 35.1,136.4 35.0,136.3 35.0))"
1707,135.8,35.1,"POLYGON((135.8 35.1,135.8 35.2,135.9 35.2,135.9 35.1,135.8 35.1))"
5326,135.9,35.1,"POLYGON((135.9 35.1,135.9 35.2,136.0 35.2,136.0 35.1,135.9 35.1))"
9248,136.0,35.1,"POLYGON((136.0 35.1,136.0 35.2,136.1 35.2,136.1 35.1,136.0 35.1))"
14391,136.1,35.1,"POLYGON((136.1 35.1,136.1 35.2,136.2 35.2,136.2 35.1,136.1 35.1))"
10735,136.2,35.1,"POLYGON((136.2 35.1,136.2 35.2,136.3 35.2,136.3 35.1,136.2 35.1))"
5,136.3,35.1,"POLYGON((136.3 35.1,136.3 35.2,136.4 35.2,136.4 35.1,136.3 35.1))"
1814,135.9,35.2,"POLYGON((135.9 35.2,135.9 35.3,136.0 35.3,136.0 35.2,135.9 35.2))"
568,136.0,35.2,"POLYGON((136.0 35.2,136.0 35.3,136.1 35.3,136.1 35.2,136.0 35.2))"
3441,136.1,35.2,"POLYGON((136.1 35.2,136.1 35.3,136.2 35.3,136.2 35.2,136.1 35.2))"
16420,136.2,35.2,"POLYGON((136.2 35.2,136.2 35.3,136.3 35.3,136.3 35.2,136.2 35.2))"
466,136.3,35.2,"POLYGON((136.3 35.2,136.3 35.3,136.4 35.3,136.4 35.2,136.3 35.2))"
789,135.9,35.3,"POLYGON((135.9 35.3,135.9 35.4,136.0 35.4,136.0 35.3,135.9 35.3))"
5874,136.0,35.3,"POLYGON((136.0 35.3,136.0 35.4,136.1 35.4,136.1 35.3,136.0 35.3))"
9686,136.2,35.3,"POLYGON((136.2 35.3,136.2 35.4,136.3 35.4,136.3 35.3,136.2 35.3))"
8854,136.3,35.3,"POLYGON((136.3 35.3,136.3 35.4,136.4 35.4,136.4 35.3,136.3 35.3))"
647,136.4,35.3,"POLYGON((136.4 35.3,136.4 35.4,136.5 35.4,136.5 35.3,136.4 35.3))"
227,135.9,35.4,"POLYGON((135.9 35.4,135.9 35.5,136.0 35.5,136.0 35.4,135.9 35.4))"
3326,136.0,35.4,"POLYGON((136.0 35.4,136.0 35.5,136.1 35.5,136.1 35.4,136.0 35.4))"
291,136.1,35.4,"POLYGON((136.1 35.4,136.1 35.5,136.2 35.5,136.2 35.4,136.1 35.4))"
10087,136.2,35.4,"POLYGON((136.2 35.4,136.2 35.5,136.3 35.5,136.3 35.4,136.2 35.4))"
3482,136.3,35.4,"POLYGON((136.3 35.4,136.3 35.5,136.4 35.5,136.4 35.4,136.3 35.4))"
98,136.1,35.5,"POLYGON((136.1 35.5,136.1 35.6,136.2 35.6,136.2 35.5,136.1 35.5))"
1181,136.2,35.5,"POLYGON((136.2 35.5,136.2 35.6,136.3 35.6,136.3 35.5,136.2 35.5))"
