count,lon,lat,area
16,134.3,33.6,"POLYGON((134.3 33.6,134.3 33.7,134.4 33.7,134.4 33.6,134.3 33.6))"
1368,134.4,33.6,"POLYGON((134.4 33.6,134.4 33.7,134.5 33.7,134.5 33.6,134.4 33.6))"
3,134.4,33.7,"POLYGON((134.4 33.7,134.4 33.8,134.5 33.8,134.5 33.7,134.4 33.7))"
1003,134.5,33.7,"POLYGON((134.5 33.7,134.5 33.8,134.6 33.8,134.6 33.7,134.5 33.7))"
8,134.5,33.8,"POLYGON((134.5 33.8,134.5 33.9,134.6 33.9,134.6 33.8,134.5 33.8))"
2165,134.6,33.8,"POLYGON((134.6 33.8,134.6 33.9,134.7 33.9,134.7 33.8,134.6 33.8))"
31,133.7,33.9,"POLYGON((133.7 33.9,133.7 34.0,133.8 34.0,133.8 33.9,133.7 33.9))"
18,134.4,33.9,"POLYGON((134.4 33.9,134.4 34.0,134.5 34.0,134.5 33.9,134.4 33.9))"
2465,134.5,33.9,"POLYGON((134.5 33.9,134.5 34.0,134.6 34.0,134.6 33.9,134.5 33.9))"
11323,134.6,33.9,"POLYGON((134.6 33.9,134.6 34.0,134.7 34.0,134.7 33.9,134.6 33.9))"
786,133.7,34.0,"POLYGON((133.7 34.0,133.7 34.1,133.8 34.1,133.8 34.0,133.7 34.0))"
1794,133.8,34.0,"POLYGON((133.8 34.0,133.8 34.1,133.9 34.1,133.9 34.0,133.8 34.0))"
1263,134.0,34.0,"POLYGON((134.0 34.0,134.0 34.1,134.1 34.1,134.1 34.0,134.0 34.0))"
3178,134.1,34.0,"POLYGON((134.1 34.0,134.1 34.1,134.2 34.1,134.2 34.0,134.1 34.0))"
4744,134.3,34.0,"POLYGON((134.3 34.0,134.3 34.1,134.4 34.1,134.4 34.0,134.3 34.0))"
12306,134.4,34.0,"POLYGON((134.4 34.0,134.4 34.1,134.5 34.1,134.5 34.0,134.4 34.0))"
20663,134.5,34.0,"POLYGON((134.5 34.0,134.5 34.1,134.6 34.1,134.6 34.0,134.5 34.0))"
195,134.6,34.0,"POLYGON((134.6 34.0,134.6 34.1,134.7 34.1,134.7 34.0,134.6 34.0))"
72,134.1,34.1,"POLYGON((134.1 34.1,134.1 34.2,134.2 34.2,134.2 34.1,134.1 34.1))"
2877,134.4,34.1,"POLYGON((134.4 34.1,134.4 34.2,134.5 34.2,134.5 34.1,134.4 34.1))"
12945,134.5,34.1,"POLYGON((134.5 34.1,134.5 34.2,134.6 34.2,134.6 34.1,134.5 34.1))"
5444,134.6,34.1,"POLYGON((134.6 34.1,134.6 34.2,134.7 34.2,134.7 34.1,134.6 34.1))"
241,134.4,34.2,"POLYGON((134.4 34.2,134.4 34.3,134.5 34.3,134.5 34.2,134.4 34.2))"
2288,134.5,34.2,"POLYGON((134.5 34.2,134.5 34.3,134.6 34.3,134.6 34.2,134.5 34.2))"
656,134.6,34.2,"POLYGON((134.6 34.2,134.6 34.3,134.7 34.3,134.7 34.2,134.6 34.2))"
