count,lon,lat,area
91,7.0,57.9,"POLYGON((7.0 57.9,7.0 58.0,7.1 58.0,7.1 57.9,7.0 57.9))"
22,7.3,57.9,"POLYGON((7.3 57.9,7.3 58.0,7.4 58.0,7.4 57.9,7.3 57.9))"
2,7.4,57.9,"POLYGON((7.4 57.9,7.4 58.0,7.5 58.0,7.5 57.9,7.4 57.9))"
390,7.5,57.9,"POLYGON((7.5 57.9,7.5 58.0,7.6 58.0,7.6 57.9,7.5 57.9))"
8,7.6,57.9,"POLYGON((7.6 57.9,7.6 58.0,7.7 58.0,7.7 57.9,7.6 57.9))"
234,6.5,58.0,"POLYGON((6.5 58.0,6.5 58.1,6.6 58.1,6.6 58.0,6.5 58.0))"
574,6.6,58.0,"POLYGON((6.6 58.0,6.6 58.1,6.7 58.1,6.7 58.0,6.6 58.0))"
1437,6.7,58.0,"POLYGON((6.7 58.0,6.7 58.1,6.8 58.1,6.8 58.0,6.7 58.0))"
607,6.8,58.0,"POLYGON((6.8 58.0,6.8 58.1,6.9 58.1,6.9 58.0,6.8 58.0))"
139,7.0,58.0,"POLYGON((7.0 58.0,7.0 58.1,7.1 58.1,7.1 58.0,7.0 58.0))"
239,7.1,58.0,"POLYGON((7.1 58.0,7.1 58.1,7.2 58.1,7.2 58.0,7.1 58.0))"
717,7.2,58.0,"POLYGON((7.2 58.0,7.2 58.1,7.3 58.1,7.3 58.0,7.2 58.0))"
1002,7.3,58.0,"POLYGON((7.3 58.0,7.3 58.1,7.4 58.1,7.4 58.0,7.3 58.0))"
5253,7.4,58.0,"POLYGON((7.4 58.0,7.4 58.1,7.5 58.1,7.5 58.0,7.4 58.0))"
1395,7.5,58.0,"POLYGON((7.5 58.0,7.5 58.1,7.6 58.1,7.6 58.0,7.5 58.0))"
1089,7.6,58.0,"POLYGON((7.6 58.0,7.6 58.1,7.7 58.1,7.7 58.0,7.6 58.0))"
1594,7.7,58.0,"POLYGON((7.7 58.0,7.7 58.1,7.8 58.1,7.8 58.0,7.7 58.0))"
2850,7.8,58.0,"POLYGON((7.8 58.0,7.8 58.1,7.9 58.1,7.9 58.0,7.8 58.0))"
909,7.9,58.0,"POLYGON((7.9 58.0,7.9 58.1,8.0 58.1,8.0 58.0,7.9 58.0))"
854,8.0,58.0,"POLYGON((8.0 58.0,8.0 58.1,8.1 58.1,8.1 58.0,8.0 58.0))"
222,6.5,58.1,"POLYGON((6.5 58.1,6.5 58.2,6.6 58.2,6.6 58.1,6.5 58.1))"
235,6.6,58.1,"POLYGON((6.6 58.1,6.6 58.2,6.7 58.2,6.7 58.1,6.6 58.1))"
342,6.7,58.1,"POLYGON((6.7 58.1,6.7 58.2,6.8 58.2,6.8 58.1,6.7 58.1))"
8,6.8,58.1,"POLYGON((6.8 58.1,6.8 58.2,6.9 58.2,6.9 58.1,6.8 58.1))"
62,6.9,58.1,"POLYGON((6.9 58.1,6.9 58.2,7.0 58.2,7.0 58.1,6.9 58.1))"
2323,7.0,58.1,"POLYGON((7.0 58.1,7.0 58.2,7.1 58.2,7.1 58.1,7.0 58.1))"
476,7.1,58.1,"POLYGON((7.1 58.1,7.1 58.2,7.2 58.2,7.2 58.1,7.1 58.1))"
65,7.2,58.1,"POLYGON((7.2 58.1,7.2 58.2,7.3 58.2,7.3 58.1,7.2 58.1))"
60,7.3,58.1,"POLYGON((7.3 58.1,7.3 58.2,7.4 58.2,7.4 58.1,7.3 58.1))"
93,7.4,58.1,"POLYGON((7.4 58.1,7.4 58.2,7.5 58.2,7.5 58.1,7.4 58.1))"
324,7.5,58.1,"POLYGON((7.5 58.1,7.5 58.2,7.6 58.2,7.6 58.1,7.5 58.1))"
118,7.6,58.1,"POLYGON((7.6 58.1,7.6 58.2,7.7 58.2,7.7 58.1,7.6 58.1))"
510,7.7,58.1,"POLYGON((7.7 58.1,7.7 58.2,7.8 58.2,7.8 58.1,7.7 58.1))"
2110,7.8,58.1,"POLYGON((7.8 58.1,7.8 58.2,7.9 58.2,7.9 58.1,7.8 58.1))"
12936,7.9,58.1,"POLYGON((7.9 58.1,7.9 58.2,8.0 58.2,8.0 58.1,7.9 58.1))"
11223,8.0,58.1,"POLYGON((8.0 58.1,8.0 58.2,8.1 58.2,8.1 58.1,8.0 58.1))"
1051,8.1,58.1,"POLYGON((8.1 58.1,8.1 58.2,8.2 58.2,8.2 58.1,8.1 58.1))"
194,8.2,58.1,"POLYGON((8.2 58.1,8.2 58.2,8.3 58.2,8.3 58.1,8.2 58.1))"
59,8.3,58.1,"POLYGON((8.3 58.1,8.3 58.2,8.4 58.2,8.4 58.1,8.3 58.1))"
32,6.3,58.2,"POLYGON((6.3 58.2,6.3 58.3,6.4 58.3,6.4 58.2,6.3 58.2))"
227,6.4,58.2,"POLYGON((6.4 58.2,6.4 58.3,6.5 58.3,6.5 58.2,6.4 58.2))"
778,6.5,58.2,"POLYGON((6.5 58.2,6.5 58.3,6.6 58.3,6.6 58.2,6.5 58.2))"
2286,6.6,58.2,"POLYGON((6.6 58.2,6.6 58.3,6.7 58.3,6.7 58.2,6.6 58.2))"
117,6.7,58.2,"POLYGON((6.7 58.2,6.7 58.3,6.8 58.3,6.8 58.2,6.7 58.2))"
116,6.8,58.2,"POLYGON((6.8 58.2,6.8 58.3,6.9 58.3,6.9 58.2,6.8 58.2))"
204,6.9,58.2,"POLYGON((6.9 58.2,6.9 58.3,7.0 58.3,7.0 58.2,6.9 58.2))"
96,7.0,58.2,"POLYGON((7.0 58.2,7.0 58.3,7.1 58.3,7.1 58.2,7.0 58.2))"
