count,lon,lat,area
307,18.1,59.4,"POLYGON((18.1 59.4,18.1 59.5,18.2 59.5,18.2 59.4,18.1 59.4))"
4474,18.2,59.4,"POLYGON((18.2 59.4,18.2 59.5,18.3 59.5,18.3 59.4,18.2 59.4))"
7256,18.3,59.4,"POLYGON((18.3 59.4,18.3 59.5,18.4 59.5,18.4 59.4,18.3 59.4))"
1064,18.4,59.4,"POLYGON((18.4 59.4,18.4 59.5,18.5 59.5,18.5 59.4,18.4 59.4))"
1944,18.5,59.4,"POLYGON((18.5 59.4,18.5 59.5,18.6 59.5,18.6 59.4,18.5 59.4))"
232,18.6,59.4,"POLYGON((18.6 59.4,18.6 59.5,18.7 59.5,18.7 59.4,18.6 59.4))"
444,18.7,59.4,"POLYGON((18.7 59.4,18.7 59.5,18.8 59.5,18.8 59.4,18.7 59.4))"
26,18.8,59.4,"POLYGON((18.8 59.4,18.8 59.5,18.9 59.5,18.9 59.4,18.8 59.4))"
2,18.9,59.4,"POLYGON((18.9 59.4,18.9 59.5,19.0 59.5,19.0 59.4,18.9 59.4))"
570,18.2,59.5,"POLYGON((18.2 59.5,18.2 59.6,18.3 59.6,18.3 59.5,18.2 59.5))"
774,18.3,59.5,"POLYGON((18.3 59.5,18.3 59.6,18.4 59.6,18.4 59.5,18.3 59.5))"
696,18.4,59.5,"POLYGON((18.4 59.5,18.4 59.6,18.5 59.6,18.5 59.5,18.4 59.5))"
726,18.5,59.5,"POLYGON((18.5 59.5,18.5 59.6,18.6 59.6,18.6 59.5,18.5 59.5))"
844,18.6,59.5,"POLYGON((18.6 59.5,18.6 59.6,18.7 59.6,18.7 59.5,18.6 59.5))"
424,18.7,59.5,"POLYGON((18.7 59.5,18.7 59.6,18.8 59.6,18.8 59.5,18.7 59.5))"
254,18.8,59.5,"POLYGON((18.8 59.5,18.8 59.6,18.9 59.6,18.9 59.5,18.8 59.5))"
2,18.9,59.5,"POLYGON((18.9 59.5,18.9 59.6,19.0 59.6,19.0 59.5,18.9 59.5))"
