count,lon,lat,area
2154,121.2,23.1,"POLYGON((121.2 23.1,121.2 23.2,121.3 23.2,121.3 23.1,121.2 23.1))"
2011,121.2,23.2,"POLYGON((121.2 23.2,121.2 23.3,121.3 23.3,121.3 23.2,121.2 23.2))"
954,121.3,23.2,"POLYGON((121.3 23.2,121.3 23.3,121.4 23.3,121.4 23.2,121.3 23.2))"
1,121.0,23.3,"POLYGON((121.0 23.3,121.0 23.4,121.1 23.4,121.1 23.3,121.0 23.3))"
2,121.1,23.3,"POLYGON((121.1 23.3,121.1 23.4,121.2 23.4,121.2 23.3,121.1 23.3))"
331,121.2,23.3,"POLYGON((121.2 23.3,121.2 23.4,121.3 23.4,121.3 23.3,121.2 23.3))"
8098,121.3,23.3,"POLYGON((121.3 23.3,121.3 23.4,121.4 23.4,121.4 23.3,121.3 23.3))"
1,121.1,23.4,"POLYGON((121.1 23.4,121.1 23.5,121.2 23.5,121.2 23.4,121.1 23.4))"
5453,121.3,23.4,"POLYGON((121.3 23.4,121.3 23.5,121.4 23.5,121.4 23.4,121.3 23.4))"
757,121.4,23.4,"POLYGON((121.4 23.4,121.4 23.5,121.5 23.5,121.5 23.4,121.4 23.4))"
251,121.5,23.4,"POLYGON((121.5 23.4,121.5 23.5,121.6 23.5,121.6 23.4,121.5 23.4))"
1,121.1,23.5,"POLYGON((121.1 23.5,121.1 23.6,121.2 23.6,121.2 23.5,121.1 23.5))"
2639,121.3,23.5,"POLYGON((121.3 23.5,121.3 23.6,121.4 23.6,121.4 23.5,121.3 23.5))"
143,121.4,23.5,"POLYGON((121.4 23.5,121.4 23.6,121.5 23.6,121.5 23.5,121.4 23.5))"
417,121.5,23.5,"POLYGON((121.5 23.5,121.5 23.6,121.6 23.6,121.6 23.5,121.5 23.5))"
527,121.3,23.6,"POLYGON((121.3 23.6,121.3 23.7,121.4 23.7,121.4 23.6,121.3 23.6))"
4819,121.4,23.6,"POLYGON((121.4 23.6,121.4 23.7,121.5 23.7,121.5 23.6,121.4 23.6))"
705,121.5,23.6,"POLYGON((121.5 23.6,121.5 23.7,121.6 23.7,121.6 23.6,121.5 23.6))"
158,121.3,23.7,"POLYGON((121.3 23.7,121.3 23.8,121.4 23.8,121.4 23.7,121.3 23.7))"
5161,121.4,23.7,"POLYGON((121.4 23.7,121.4 23.8,121.5 23.8,121.5 23.7,121.4 23.7))"
749,121.5,23.7,"POLYGON((121.5 23.7,121.5 23.8,121.6 23.8,121.6 23.7,121.5 23.7))"
2670,121.4,23.8,"POLYGON((121.4 23.8,121.4 23.9,121.5 23.9,121.5 23.8,121.4 23.8))"
4377,121.5,23.8,"POLYGON((121.5 23.8,121.5 23.9,121.6 23.9,121.6 23.8,121.5 23.8))"
88,121.6,23.8,"POLYGON((121.6 23.8,121.6 23.9,121.7 23.9,121.7 23.8,121.6 23.8))"
164,121.4,23.9,"POLYGON((121.4 23.9,121.4 24.0,121.5 24.0,121.5 23.9,121.4 23.9))"
51898,121.5,23.9,"POLYGON((121.5 23.9,121.5 24.0,121.6 24.0,121.6 23.9,121.5 23.9))"
29180,121.6,23.9,"POLYGON((121.6 23.9,121.6 24.0,121.7 24.0,121.7 23.9,121.6 23.9))"
3,121.4,24.0,"POLYGON((121.4 24.0,121.4 24.1,121.5 24.1,121.5 24.0,121.4 24.0))"
2309,121.5,24.0,"POLYGON((121.5 24.0,121.5 24.1,121.6 24.1,121.6 24.0,121.5 24.0))"
11682,121.6,24.0,"POLYGON((121.6 24.0,121.6 24.1,121.7 24.1,121.7 24.0,121.6 24.0))"
4,121.2,24.1,"POLYGON((121.2 24.1,121.2 24.2,121.3 24.2,121.3 24.1,121.2 24.1))"
29,121.3,24.1,"POLYGON((121.3 24.1,121.3 24.2,121.4 24.2,121.4 24.1,121.3 24.1))"
35,121.4,24.1,"POLYGON((121.4 24.1,121.4 24.2,121.5 24.2,121.5 24.1,121.4 24.1))"
11,121.5,24.1,"POLYGON((121.5 24.1,121.5 24.2,121.6 24.2,121.6 24.1,121.5 24.1))"
2674,121.6,24.1,"POLYGON((121.6 24.1,121.6 24.2,121.7 24.2,121.7 24.1,121.6 24.1))"
43,121.4,24.2,"POLYGON((121.4 24.2,121.4 24.3,121.5 24.3,121.5 24.2,121.4 24.2))"
4,121.6,24.2,"POLYGON((121.6 24.2,121.6 24.3,121.7 24.3,121.7 24.2,121.6 24.2))"
174,121.7,24.2,"POLYGON((121.7 24.2,121.7 24.3,121.8 24.3,121.8 24.2,121.7 24.2))"
1,121.6,24.3,"POLYGON((121.6 24.3,121.6 24.4,121.7 24.4,121.7 24.3,121.6 24.3))"
256,121.7,24.3,"POLYGON((121.7 24.3,121.7 24.4,121.8 24.4,121.8 24.3,121.7 24.3))"
