count,lon,lat,area
444,120.8,24.2,"POLYGON((120.8 24.2,120.8 24.3,120.9 24.3,120.9 24.2,120.8 24.2))"
41,120.9,24.2,"POLYGON((120.9 24.2,120.9 24.3,121.0 24.3,121.0 24.2,120.9 24.2))"
1613,120.6,24.3,"POLYGON((120.6 24.3,120.6 24.4,120.7 24.4,120.7 24.3,120.6 24.3))"
2515,120.7,24.3,"POLYGON((120.7 24.3,120.7 24.4,120.8 24.4,120.8 24.3,120.7 24.3))"
5755,120.8,24.3,"POLYGON((120.8 24.3,120.8 24.4,120.9 24.4,120.9 24.3,120.8 24.3))"
483,120.9,24.3,"POLYGON((120.9 24.3,120.9 24.4,121.0 24.4,121.0 24.3,120.9 24.3))"
17629,120.6,24.4,"POLYGON((120.6 24.4,120.6 24.5,120.7 24.5,120.7 24.4,120.6 24.4))"
9651,120.7,24.4,"POLYGON((120.7 24.4,120.7 24.5,120.8 24.5,120.8 24.4,120.7 24.4))"
8211,120.8,24.4,"POLYGON((120.8 24.4,120.8 24.5,120.9 24.5,120.9 24.4,120.8 24.4))"
984,120.9,24.4,"POLYGON((120.9 24.4,120.9 24.5,121.0 24.5,121.0 24.4,120.9 24.4))"
1,121.0,24.4,"POLYGON((121.0 24.4,121.0 24.5,121.1 24.5,121.1 24.4,121.0 24.4))"
1,121.1,24.4,"POLYGON((121.1 24.4,121.1 24.5,121.2 24.5,121.2 24.4,121.1 24.4))"
1,121.2,24.4,"POLYGON((121.2 24.4,121.2 24.5,121.3 24.5,121.3 24.4,121.2 24.4))"
1040,120.6,24.5,"POLYGON((120.6 24.5,120.6 24.6,120.7 24.6,120.7 24.5,120.6 24.5))"
5765,120.7,24.5,"POLYGON((120.7 24.5,120.7 24.6,120.8 24.6,120.8 24.5,120.7 24.5))"
47835,120.8,24.5,"POLYGON((120.8 24.5,120.8 24.6,120.9 24.6,120.9 24.5,120.8 24.5))"
2063,120.9,24.5,"POLYGON((120.9 24.5,120.9 24.6,121.0 24.6,121.0 24.5,120.9 24.5))"
496,121.0,24.5,"POLYGON((121.0 24.5,121.0 24.6,121.1 24.6,121.1 24.5,121.0 24.5))"
18,121.1,24.5,"POLYGON((121.1 24.5,121.1 24.6,121.2 24.6,121.2 24.5,121.1 24.5))"
6322,120.7,24.6,"POLYGON((120.7 24.6,120.7 24.7,120.8 24.7,120.8 24.6,120.7 24.6))"
48861,120.8,24.6,"POLYGON((120.8 24.6,120.8 24.7,120.9 24.7,120.9 24.6,120.8 24.6))"
28613,120.9,24.6,"POLYGON((120.9 24.6,120.9 24.7,121.0 24.7,121.0 24.6,120.9 24.6))"
1171,121.0,24.6,"POLYGON((121.0 24.6,121.0 24.7,121.1 24.7,121.1 24.6,121.0 24.6))"
7487,120.8,24.7,"POLYGON((120.8 24.7,120.8 24.8,120.9 24.8,120.9 24.7,120.8 24.7))"
5746,120.9,24.7,"POLYGON((120.9 24.7,120.9 24.8,121.0 24.8,121.0 24.7,120.9 24.7))"
