count,lon,lat,area
396,-88.2,34.3,"POLYGON((-88.2 34.3,-88.2 34.4,-88.1 34.4,-88.1 34.3,-88.2 34.3))"
674,-88.1,34.3,"POLYGON((-88.1 34.3,-88.1 34.4,-88.0 34.4,-88.0 34.3,-88.1 34.3))"
696,-88.0,34.3,"POLYGON((-88.0 34.3,-88.0 34.4,-87.9 34.4,-87.9 34.3,-88.0 34.3))"
539,-87.9,34.3,"POLYGON((-87.9 34.3,-87.9 34.4,-87.8 34.4,-87.8 34.3,-87.9 34.3))"
1953,-87.8,34.3,"POLYGON((-87.8 34.3,-87.8 34.4,-87.7 34.4,-87.7 34.3,-87.8 34.3))"
1455,-87.7,34.3,"POLYGON((-87.7 34.3,-87.7 34.4,-87.6 34.4,-87.6 34.3,-87.7 34.3))"
628,-87.6,34.3,"POLYGON((-87.6 34.3,-87.6 34.4,-87.5 34.4,-87.5 34.3,-87.6 34.3))"
2247,-88.2,34.4,"POLYGON((-88.2 34.4,-88.2 34.5,-88.1 34.5,-88.1 34.4,-88.2 34.4))"
918,-88.1,34.4,"POLYGON((-88.1 34.4,-88.1 34.5,-88.0 34.5,-88.0 34.4,-88.1 34.4))"
676,-88.0,34.4,"POLYGON((-88.0 34.4,-88.0 34.5,-87.9 34.5,-87.9 34.4,-88.0 34.4))"
739,-87.9,34.4,"POLYGON((-87.9 34.4,-87.9 34.5,-87.8 34.5,-87.8 34.4,-87.9 34.4))"
2340,-87.8,34.4,"POLYGON((-87.8 34.4,-87.8 34.5,-87.7 34.5,-87.7 34.4,-87.8 34.4))"
1054,-87.7,34.4,"POLYGON((-87.7 34.4,-87.7 34.5,-87.6 34.5,-87.6 34.4,-87.7 34.4))"
534,-87.6,34.4,"POLYGON((-87.6 34.4,-87.6 34.5,-87.5 34.5,-87.5 34.4,-87.6 34.4))"
145,-88.2,34.5,"POLYGON((-88.2 34.5,-88.2 34.6,-88.1 34.6,-88.1 34.5,-88.2 34.5))"
352,-88.1,34.5,"POLYGON((-88.1 34.5,-88.1 34.6,-88.0 34.6,-88.0 34.5,-88.1 34.5))"
550,-88.0,34.5,"POLYGON((-88.0 34.5,-88.0 34.6,-87.9 34.6,-87.9 34.5,-88.0 34.5))"
557,-87.9,34.5,"POLYGON((-87.9 34.5,-87.9 34.6,-87.8 34.6,-87.8 34.5,-87.9 34.5))"
4498,-87.8,34.5,"POLYGON((-87.8 34.5,-87.8 34.6,-87.7 34.6,-87.7 34.5,-87.8 34.5))"
1465,-87.7,34.5,"POLYGON((-87.7 34.5,-87.7 34.6,-87.6 34.6,-87.6 34.5,-87.7 34.5))"
465,-87.6,34.5,"POLYGON((-87.6 34.5,-87.6 34.6,-87.5 34.6,-87.5 34.5,-87.6 34.5))"
