count,lon,lat,area
3,-110.5,31.3,"POLYGON((-110.5 31.3,-110.5 31.4,-110.4 31.4,-110.4 31.3,-110.5 31.3))"
8,-110.4,31.3,"POLYGON((-110.4 31.3,-110.4 31.4,-110.3 31.4,-110.3 31.3,-110.4 31.3))"
247,-110.3,31.3,"POLYGON((-110.3 31.3,-110.3 31.4,-110.2 31.4,-110.2 31.3,-110.3 31.3))"
864,-110.2,31.3,"POLYGON((-110.2 31.3,-110.2 31.4,-110.1 31.4,-110.1 31.3,-110.2 31.3))"
114,-110.1,31.3,"POLYGON((-110.1 31.3,-110.1 31.4,-110.0 31.4,-110.0 31.3,-110.1 31.3))"
1327,-110.0,31.3,"POLYGON((-110.0 31.3,-110.0 31.4,-109.9 31.4,-109.9 31.3,-110.0 31.3))"
128,-109.9,31.3,"POLYGON((-109.9 31.3,-109.9 31.4,-109.8 31.4,-109.8 31.3,-109.9 31.3))"
47,-109.8,31.3,"POLYGON((-109.8 31.3,-109.8 31.4,-109.7 31.4,-109.7 31.3,-109.8 31.3))"
169,-109.7,31.3,"POLYGON((-109.7 31.3,-109.7 31.4,-109.6 31.4,-109.6 31.3,-109.7 31.3))"
7362,-109.6,31.3,"POLYGON((-109.6 31.3,-109.6 31.4,-109.5 31.4,-109.5 31.3,-109.6 31.3))"
13,-109.5,31.3,"POLYGON((-109.5 31.3,-109.5 31.4,-109.4 31.4,-109.4 31.3,-109.5 31.3))"
1,-109.4,31.3,"POLYGON((-109.4 31.3,-109.4 31.4,-109.3 31.4,-109.3 31.3,-109.4 31.3))"
5,-109.3,31.3,"POLYGON((-109.3 31.3,-109.3 31.4,-109.2 31.4,-109.2 31.3,-109.3 31.3))"
1,-109.2,31.3,"POLYGON((-109.2 31.3,-109.2 31.4,-109.1 31.4,-109.1 31.3,-109.2 31.3))"
1,-109.1,31.3,"POLYGON((-109.1 31.3,-109.1 31.4,-109.0 31.4,-109.0 31.3,-109.1 31.3))"
59,-110.5,31.4,"POLYGON((-110.5 31.4,-110.5 31.5,-110.4 31.5,-110.4 31.4,-110.5 31.4))"
35,-110.4,31.4,"POLYGON((-110.4 31.4,-110.4 31.5,-110.3 31.5,-110.3 31.4,-110.4 31.4))"
5038,-110.3,31.4,"POLYGON((-110.3 31.4,-110.3 31.5,-110.2 31.5,-110.2 31.4,-110.3 31.4))"
1818,-110.2,31.4,"POLYGON((-110.2 31.4,-110.2 31.5,-110.1 31.5,-110.1 31.4,-110.2 31.4))"
58,-110.1,31.4,"POLYGON((-110.1 31.4,-110.1 31.5,-110.0 31.5,-110.0 31.4,-110.1 31.4))"
1681,-110.0,31.4,"POLYGON((-110.0 31.4,-110.0 31.5,-109.9 31.5,-109.9 31.4,-110.0 31.4))"
1504,-109.9,31.4,"POLYGON((-109.9 31.4,-109.9 31.5,-109.8 31.5,-109.8 31.4,-109.9 31.4))"
113,-109.8,31.4,"POLYGON((-109.8 31.4,-109.8 31.5,-109.7 31.5,-109.7 31.4,-109.8 31.4))"
298,-109.7,31.4,"POLYGON((-109.7 31.4,-109.7 31.5,-109.6 31.5,-109.6 31.4,-109.7 31.4))"
183,-109.6,31.4,"POLYGON((-109.6 31.4,-109.6 31.5,-109.5 31.5,-109.5 31.4,-109.6 31.4))"
63,-109.5,31.4,"POLYGON((-109.5 31.4,-109.5 31.5,-109.4 31.5,-109.4 31.4,-109.5 31.4))"
15,-109.4,31.4,"POLYGON((-109.4 31.4,-109.4 31.5,-109.3 31.5,-109.3 31.4,-109.4 31.4))"
5,-109.2,31.4,"POLYGON((-109.2 31.4,-109.2 31.5,-109.1 31.5,-109.1 31.4,-109.2 31.4))"
4,-110.5,31.5,"POLYGON((-110.5 31.5,-110.5 31.6,-110.4 31.6,-110.4 31.5,-110.5 31.5))"
856,-110.4,31.5,"POLYGON((-110.4 31.5,-110.4 31.6,-110.3 31.6,-110.3 31.5,-110.4 31.5))"
17365,-110.3,31.5,"POLYGON((-110.3 31.5,-110.3 31.6,-110.2 31.6,-110.2 31.5,-110.3 31.5))"
332,-110.2,31.5,"POLYGON((-110.2 31.5,-110.2 31.6,-110.1 31.6,-110.1 31.5,-110.2 31.5))"
85,-110.1,31.5,"POLYGON((-110.1 31.5,-110.1 31.6,-110.0 31.6,-110.0 31.5,-110.1 31.5))"
16,-110.0,31.5,"POLYGON((-110.0 31.5,-110.0 31.6,-109.9 31.6,-109.9 31.5,-110.0 31.5))"
10,-109.9,31.5,"POLYGON((-109.9 31.5,-109.9 31.6,-109.8 31.6,-109.8 31.5,-109.9 31.5))"
172,-109.8,31.5,"POLYGON((-109.8 31.5,-109.8 31.6,-109.7 31.6,-109.7 31.5,-109.8 31.5))"
144,-109.7,31.5,"POLYGON((-109.7 31.5,-109.7 31.6,-109.6 31.6,-109.6 31.5,-109.7 31.5))"
32,-109.6,31.5,"POLYGON((-109.6 31.5,-109.6 31.6,-109.5 31.6,-109.5 31.5,-109.6 31.5))"
32,-109.5,31.5,"POLYGON((-109.5 31.5,-109.5 31.6,-109.4 31.6,-109.4 31.5,-109.5 31.5))"
8,-109.4,31.5,"POLYGON((-109.4 31.5,-109.4 31.6,-109.3 31.6,-109.3 31.5,-109.4 31.5))"
1,-109.2,31.5,"POLYGON((-109.2 31.5,-109.2 31.6,-109.1 31.6,-109.1 31.5,-109.2 31.5))"
2,-109.1,31.5,"POLYGON((-109.1 31.5,-109.1 31.6,-109.0 31.6,-109.0 31.5,-109.1 31.5))"
2,-110.5,31.6,"POLYGON((-110.5 31.6,-110.5 31.7,-110.4 31.7,-110.4 31.6,-110.5 31.6))"
1764,-110.4,31.6,"POLYGON((-110.4 31.6,-110.4 31.7,-110.3 31.7,-110.3 31.6,-110.4 31.6))"
241,-110.3,31.6,"POLYGON((-110.3 31.6,-110.3 31.7,-110.2 31.7,-110.2 31.6,-110.3 31.6))"
16,-110.2,31.6,"POLYGON((-110.2 31.6,-110.2 31.7,-110.1 31.7,-110.1 31.6,-110.2 31.6))"
17,-110.1,31.6,"POLYGON((-110.1 31.6,-110.1 31.7,-110.0 31.7,-110.0 31.6,-110.1 31.6))"
3,-110.0,31.6,"POLYGON((-110.0 31.6,-110.0 31.7,-109.9 31.7,-109.9 31.6,-110.0 31.6))"
12,-109.9,31.6,"POLYGON((-109.9 31.6,-109.9 31.7,-109.8 31.7,-109.8 31.6,-109.9 31.6))"
29,-109.8,31.6,"POLYGON((-109.8 31.6,-109.8 31.7,-109.7 31.7,-109.7 31.6,-109.8 31.6))"
561,-109.7,31.6,"POLYGON((-109.7 31.6,-109.7 31.7,-109.6 31.7,-109.6 31.6,-109.7 31.6))"
6,-109.6,31.6,"POLYGON((-109.6 31.6,-109.6 31.7,-109.5 31.7,-109.5 31.6,-109.6 31.6))"
5,-109.5,31.6,"POLYGON((-109.5 31.6,-109.5 31.7,-109.4 31.7,-109.4 31.6,-109.5 31.6))"
4,-109.4,31.6,"POLYGON((-109.4 31.6,-109.4 31.7,-109.3 31.7,-109.3 31.6,-109.4 31.6))"
5,-109.3,31.6,"POLYGON((-109.3 31.6,-109.3 31.7,-109.2 31.7,-109.2 31.6,-109.3 31.6))"
8,-109.2,31.6,"POLYGON((-109.2 31.6,-109.2 31.7,-109.1 31.7,-109.1 31.6,-109.2 31.6))"
2,-109.1,31.6,"POLYGON((-109.1 31.6,-109.1 31.7,-109.0 31.7,-109.0 31.6,-109.1 31.6))"
804,-110.4,31.7,"POLYGON((-110.4 31.7,-110.4 31.8,-110.3 31.8,-110.3 31.7,-110.4 31.7))"
76,-110.3,31.7,"POLYGON((-110.3 31.7,-110.3 31.8,-110.2 31.8,-110.2 31.7,-110.3 31.7))"
11,-110.2,31.7,"POLYGON((-110.2 31.7,-110.2 31.8,-110.1 31.8,-110.1 31.7,-110.2 31.7))"
1405,-110.1,31.7,"POLYGON((-110.1 31.7,-110.1 31.8,-110.0 31.8,-110.0 31.7,-110.1 31.7))"
5,-110.0,31.7,"POLYGON((-110.0 31.7,-110.0 31.8,-109.9 31.8,-109.9 31.7,-110.0 31.7))"
108,-109.9,31.7,"POLYGON((-109.9 31.7,-109.9 31.8,-109.8 31.8,-109.8 31.7,-109.9 31.7))"
84,-109.8,31.7,"POLYGON((-109.8 31.7,-109.8 31.8,-109.7 31.8,-109.7 31.7,-109.8 31.7))"
112,-109.7,31.7,"POLYGON((-109.7 31.7,-109.7 31.8,-109.6 31.8,-109.6 31.7,-109.7 31.7))"
8,-109.6,31.7,"POLYGON((-109.6 31.7,-109.6 31.8,-109.5 31.8,-109.5 31.7,-109.6 31.7))"
6,-109.5,31.7,"POLYGON((-109.5 31.7,-109.5 31.8,-109.4 31.8,-109.4 31.7,-109.5 31.7))"
2,-109.4,31.7,"POLYGON((-109.4 31.7,-109.4 31.8,-109.3 31.8,-109.3 31.7,-109.4 31.7))"
1,-109.3,31.7,"POLYGON((-109.3 31.7,-109.3 31.8,-109.2 31.8,-109.2 31.7,-109.3 31.7))"
14,-109.2,31.7,"POLYGON((-109.2 31.7,-109.2 31.8,-109.1 31.8,-109.1 31.7,-109.2 31.7))"
55,-109.1,31.7,"POLYGON((-109.1 31.7,-109.1 31.8,-109.0 31.8,-109.0 31.7,-109.1 31.7))"
5,-110.4,31.8,"POLYGON((-110.4 31.8,-110.4 31.9,-110.3 31.9,-110.3 31.8,-110.4 31.8))"
503,-110.3,31.8,"POLYGON((-110.3 31.8,-110.3 31.9,-110.2 31.9,-110.2 31.8,-110.3 31.8))"
51,-110.2,31.8,"POLYGON((-110.2 31.8,-110.2 31.9,-110.1 31.9,-110.1 31.8,-110.2 31.8))"
26,-110.1,31.8,"POLYGON((-110.1 31.8,-110.1 31.9,-110.0 31.9,-110.0 31.8,-110.1 31.8))"
14,-110.0,31.8,"POLYGON((-110.0 31.8,-110.0 31.9,-109.9 31.9,-109.9 31.8,-110.0 31.8))"
18,-109.9,31.8,"POLYGON((-109.9 31.8,-109.9 31.9,-109.8 31.9,-109.8 31.8,-109.9 31.8))"
12,-109.8,31.8,"POLYGON((-109.8 31.8,-109.8 31.9,-109.7 31.9,-109.7 31.8,-109.8 31.8))"
385,-109.7,31.8,"POLYGON((-109.7 31.8,-109.7 31.9,-109.6 31.9,-109.6 31.8,-109.7 31.8))"
112,-109.6,31.8,"POLYGON((-109.6 31.8,-109.6 31.9,-109.5 31.9,-109.5 31.8,-109.6 31.8))"
64,-109.5,31.8,"POLYGON((-109.5 31.8,-109.5 31.9,-109.4 31.9,-109.4 31.8,-109.5 31.8))"
21,-109.4,31.8,"POLYGON((-109.4 31.8,-109.4 31.9,-109.3 31.9,-109.3 31.8,-109.4 31.8))"
14,-109.3,31.8,"POLYGON((-109.3 31.8,-109.3 31.9,-109.2 31.9,-109.2 31.8,-109.3 31.8))"
35,-109.2,31.8,"POLYGON((-109.2 31.8,-109.2 31.9,-109.1 31.9,-109.1 31.8,-109.2 31.8))"
67,-109.1,31.8,"POLYGON((-109.1 31.8,-109.1 31.9,-109.0 31.9,-109.0 31.8,-109.1 31.8))"
1020,-110.5,31.9,"POLYGON((-110.5 31.9,-110.5 32.0,-110.4 32.0,-110.4 31.9,-110.5 31.9))"
2235,-110.4,31.9,"POLYGON((-110.4 31.9,-110.4 32.0,-110.3 32.0,-110.3 31.9,-110.4 31.9))"
2857,-110.3,31.9,"POLYGON((-110.3 31.9,-110.3 32.0,-110.2 32.0,-110.2 31.9,-110.3 31.9))"
20,-110.2,31.9,"POLYGON((-110.2 31.9,-110.2 32.0,-110.1 32.0,-110.1 31.9,-110.2 31.9))"
38,-110.1,31.9,"POLYGON((-110.1 31.9,-110.1 32.0,-110.0 32.0,-110.0 31.9,-110.1 31.9))"
166,-110.0,31.9,"POLYGON((-110.0 31.9,-110.0 32.0,-109.9 32.0,-109.9 31.9,-110.0 31.9))"
1087,-109.9,31.9,"POLYGON((-109.9 31.9,-109.9 32.0,-109.8 32.0,-109.8 31.9,-109.9 31.9))"
91,-109.8,31.9,"POLYGON((-109.8 31.9,-109.8 32.0,-109.7 32.0,-109.7 31.9,-109.8 31.9))"
40,-109.7,31.9,"POLYGON((-109.7 31.9,-109.7 32.0,-109.6 32.0,-109.6 31.9,-109.7 31.9))"
16,-109.6,31.9,"POLYGON((-109.6 31.9,-109.6 32.0,-109.5 32.0,-109.5 31.9,-109.6 31.9))"
6,-109.5,31.9,"POLYGON((-109.5 31.9,-109.5 32.0,-109.4 32.0,-109.4 31.9,-109.5 31.9))"
5,-109.4,31.9,"POLYGON((-109.4 31.9,-109.4 32.0,-109.3 32.0,-109.3 31.9,-109.4 31.9))"
54,-109.3,31.9,"POLYGON((-109.3 31.9,-109.3 32.0,-109.2 32.0,-109.2 31.9,-109.3 31.9))"
156,-109.2,31.9,"POLYGON((-109.2 31.9,-109.2 32.0,-109.1 32.0,-109.1 31.9,-109.2 31.9))"
14,-109.1,31.9,"POLYGON((-109.1 31.9,-109.1 32.0,-109.0 32.0,-109.0 31.9,-109.1 31.9))"
5,-110.5,32.0,"POLYGON((-110.5 32.0,-110.5 32.1,-110.4 32.1,-110.4 32.0,-110.5 32.0))"
273,-110.4,32.0,"POLYGON((-110.4 32.0,-110.4 32.1,-110.3 32.1,-110.3 32.0,-110.4 32.0))"
171,-110.3,32.0,"POLYGON((-110.3 32.0,-110.3 32.1,-110.2 32.1,-110.2 32.0,-110.3 32.0))"
5,-110.2,32.0,"POLYGON((-110.2 32.0,-110.2 32.1,-110.1 32.1,-110.1 32.0,-110.2 32.0))"
215,-110.1,32.0,"POLYGON((-110.1 32.0,-110.1 32.1,-110.0 32.1,-110.0 32.0,-110.1 32.0))"
227,-110.0,32.0,"POLYGON((-110.0 32.0,-110.0 32.1,-109.9 32.1,-109.9 32.0,-110.0 32.0))"
169,-109.9,32.0,"POLYGON((-109.9 32.0,-109.9 32.1,-109.8 32.1,-109.8 32.0,-109.9 32.0))"
146,-109.8,32.0,"POLYGON((-109.8 32.0,-109.8 32.1,-109.7 32.1,-109.7 32.0,-109.8 32.0))"
34,-109.7,32.0,"POLYGON((-109.7 32.0,-109.7 32.1,-109.6 32.1,-109.6 32.0,-109.7 32.0))"
2,-109.6,32.0,"POLYGON((-109.6 32.0,-109.6 32.1,-109.5 32.1,-109.5 32.0,-109.6 32.0))"
18,-109.5,32.0,"POLYGON((-109.5 32.0,-109.5 32.1,-109.4 32.1,-109.4 32.0,-109.5 32.0))"
27,-109.4,32.0,"POLYGON((-109.4 32.0,-109.4 32.1,-109.3 32.1,-109.3 32.0,-109.4 32.0))"
4,-109.3,32.0,"POLYGON((-109.3 32.0,-109.3 32.1,-109.2 32.1,-109.2 32.0,-109.3 32.0))"
2,-109.2,32.0,"POLYGON((-109.2 32.0,-109.2 32.1,-109.1 32.1,-109.1 32.0,-109.2 32.0))"
4,-109.1,32.0,"POLYGON((-109.1 32.0,-109.1 32.1,-109.0 32.1,-109.0 32.0,-109.1 32.0))"
36,-110.4,32.1,"POLYGON((-110.4 32.1,-110.4 32.2,-110.3 32.2,-110.3 32.1,-110.4 32.1))"
22,-110.3,32.1,"POLYGON((-110.3 32.1,-110.3 32.2,-110.2 32.2,-110.2 32.1,-110.3 32.1))"
7,-110.2,32.1,"POLYGON((-110.2 32.1,-110.2 32.2,-110.1 32.2,-110.1 32.1,-110.2 32.1))"
1,-110.1,32.1,"POLYGON((-110.1 32.1,-110.1 32.2,-110.0 32.2,-110.0 32.1,-110.1 32.1))"
81,-110.0,32.1,"POLYGON((-110.0 32.1,-110.0 32.2,-109.9 32.2,-109.9 32.1,-110.0 32.1))"
75,-109.8,32.1,"POLYGON((-109.8 32.1,-109.8 32.2,-109.7 32.2,-109.7 32.1,-109.8 32.1))"
117,-109.7,32.1,"POLYGON((-109.7 32.1,-109.7 32.2,-109.6 32.2,-109.6 32.1,-109.7 32.1))"
49,-109.6,32.1,"POLYGON((-109.6 32.1,-109.6 32.2,-109.5 32.2,-109.5 32.1,-109.6 32.1))"
20,-109.5,32.1,"POLYGON((-109.5 32.1,-109.5 32.2,-109.4 32.2,-109.4 32.1,-109.5 32.1))"
3,-109.4,32.1,"POLYGON((-109.4 32.1,-109.4 32.2,-109.3 32.2,-109.3 32.1,-109.4 32.1))"
6,-109.3,32.1,"POLYGON((-109.3 32.1,-109.3 32.2,-109.2 32.2,-109.2 32.1,-109.3 32.1))"
17,-109.2,32.1,"POLYGON((-109.2 32.1,-109.2 32.2,-109.1 32.2,-109.1 32.1,-109.2 32.1))"
2,-110.5,32.2,"POLYGON((-110.5 32.2,-110.5 32.3,-110.4 32.3,-110.4 32.2,-110.5 32.2))"
65,-110.4,32.2,"POLYGON((-110.4 32.2,-110.4 32.3,-110.3 32.3,-110.3 32.2,-110.4 32.2))"
2,-110.3,32.2,"POLYGON((-110.3 32.2,-110.3 32.3,-110.2 32.3,-110.2 32.2,-110.3 32.2))"
1,-110.2,32.2,"POLYGON((-110.2 32.2,-110.2 32.3,-110.1 32.3,-110.1 32.2,-110.2 32.2))"
8,-110.1,32.2,"POLYGON((-110.1 32.2,-110.1 32.3,-110.0 32.3,-110.0 32.2,-110.1 32.2))"
57,-110.0,32.2,"POLYGON((-110.0 32.2,-110.0 32.3,-109.9 32.3,-109.9 32.2,-110.0 32.2))"
2500,-109.9,32.2,"POLYGON((-109.9 32.2,-109.9 32.3,-109.8 32.3,-109.8 32.2,-109.9 32.2))"
22,-109.8,32.2,"POLYGON((-109.8 32.2,-109.8 32.3,-109.7 32.3,-109.7 32.2,-109.8 32.2))"
2,-109.7,32.2,"POLYGON((-109.7 32.2,-109.7 32.3,-109.6 32.3,-109.6 32.2,-109.7 32.2))"
3,-109.6,32.2,"POLYGON((-109.6 32.2,-109.6 32.3,-109.5 32.3,-109.5 32.2,-109.6 32.2))"
18,-109.5,32.2,"POLYGON((-109.5 32.2,-109.5 32.3,-109.4 32.3,-109.4 32.2,-109.5 32.2))"
12,-109.4,32.2,"POLYGON((-109.4 32.2,-109.4 32.3,-109.3 32.3,-109.3 32.2,-109.4 32.2))"
215,-109.3,32.2,"POLYGON((-109.3 32.2,-109.3 32.3,-109.2 32.3,-109.2 32.2,-109.3 32.2))"
73,-109.2,32.2,"POLYGON((-109.2 32.2,-109.2 32.3,-109.1 32.3,-109.1 32.2,-109.2 32.2))"
2,-109.1,32.2,"POLYGON((-109.1 32.2,-109.1 32.3,-109.0 32.3,-109.0 32.2,-109.1 32.2))"
20,-110.5,32.3,"POLYGON((-110.5 32.3,-110.5 32.4,-110.4 32.4,-110.4 32.3,-110.5 32.3))"
22,-110.4,32.3,"POLYGON((-110.4 32.3,-110.4 32.4,-110.3 32.4,-110.3 32.3,-110.4 32.3))"
5,-110.3,32.3,"POLYGON((-110.3 32.3,-110.3 32.4,-110.2 32.4,-110.2 32.3,-110.3 32.3))"
5,-110.2,32.3,"POLYGON((-110.2 32.3,-110.2 32.4,-110.1 32.4,-110.1 32.3,-110.2 32.3))"
2,-110.1,32.3,"POLYGON((-110.1 32.3,-110.1 32.4,-110.0 32.4,-110.0 32.3,-110.1 32.3))"
134,-110.0,32.3,"POLYGON((-110.0 32.3,-110.0 32.4,-109.9 32.4,-109.9 32.3,-110.0 32.3))"
287,-109.9,32.3,"POLYGON((-109.9 32.3,-109.9 32.4,-109.8 32.4,-109.8 32.3,-109.9 32.3))"
38,-109.8,32.3,"POLYGON((-109.8 32.3,-109.8 32.4,-109.7 32.4,-109.7 32.3,-109.8 32.3))"
4,-109.7,32.3,"POLYGON((-109.7 32.3,-109.7 32.4,-109.6 32.4,-109.6 32.3,-109.7 32.3))"
18,-109.6,32.3,"POLYGON((-109.6 32.3,-109.6 32.4,-109.5 32.4,-109.5 32.3,-109.6 32.3))"
352,-109.5,32.3,"POLYGON((-109.5 32.3,-109.5 32.4,-109.4 32.4,-109.4 32.3,-109.5 32.3))"
1,-109.2,32.3,"POLYGON((-109.2 32.3,-109.2 32.4,-109.1 32.4,-109.1 32.3,-109.2 32.3))"
307,-110.0,32.4,"POLYGON((-110.0 32.4,-110.0 32.5,-109.9 32.5,-109.9 32.4,-110.0 32.4))"
