count,lon,lat,area
2,-119.9,38.3,"POLYGON((-119.9 38.3,-119.9 38.4,-119.8 38.4,-119.8 38.3,-119.9 38.3))"
2,-119.7,38.3,"POLYGON((-119.7 38.3,-119.7 38.4,-119.6 38.4,-119.6 38.3,-119.7 38.3))"
1,-119.6,38.3,"POLYGON((-119.6 38.3,-119.6 38.4,-119.5 38.4,-119.5 38.3,-119.6 38.3))"
734,-120.1,38.4,"POLYGON((-120.1 38.4,-120.1 38.5,-120.0 38.5,-120.0 38.4,-120.1 38.4))"
16,-120.0,38.4,"POLYGON((-120.0 38.4,-120.0 38.5,-119.9 38.5,-119.9 38.4,-120.0 38.4))"
4,-119.9,38.4,"POLYGON((-119.9 38.4,-119.9 38.5,-119.8 38.5,-119.8 38.4,-119.9 38.4))"
6,-119.8,38.4,"POLYGON((-119.8 38.4,-119.8 38.5,-119.7 38.5,-119.7 38.4,-119.8 38.4))"
7,-119.7,38.4,"POLYGON((-119.7 38.4,-119.7 38.5,-119.6 38.5,-119.6 38.4,-119.7 38.4))"
1,-119.6,38.4,"POLYGON((-119.6 38.4,-119.6 38.5,-119.5 38.5,-119.5 38.4,-119.6 38.4))"
3,-120.1,38.5,"POLYGON((-120.1 38.5,-120.1 38.6,-120.0 38.6,-120.0 38.5,-120.1 38.5))"
24,-120.0,38.5,"POLYGON((-120.0 38.5,-120.0 38.6,-119.9 38.6,-119.9 38.5,-120.0 38.5))"
17,-119.9,38.5,"POLYGON((-119.9 38.5,-119.9 38.6,-119.8 38.6,-119.8 38.5,-119.9 38.5))"
4,-119.8,38.5,"POLYGON((-119.8 38.5,-119.8 38.6,-119.7 38.6,-119.7 38.5,-119.8 38.5))"
25,-119.7,38.5,"POLYGON((-119.7 38.5,-119.7 38.6,-119.6 38.6,-119.6 38.5,-119.7 38.5))"
4,-119.6,38.5,"POLYGON((-119.6 38.5,-119.6 38.6,-119.5 38.6,-119.5 38.5,-119.6 38.5))"
274,-120.1,38.6,"POLYGON((-120.1 38.6,-120.1 38.7,-120.0 38.7,-120.0 38.6,-120.1 38.6))"
36,-120.0,38.6,"POLYGON((-120.0 38.6,-120.0 38.7,-119.9 38.7,-119.9 38.6,-120.0 38.6))"
133,-119.9,38.6,"POLYGON((-119.9 38.6,-119.9 38.7,-119.8 38.7,-119.8 38.6,-119.9 38.6))"
234,-119.8,38.6,"POLYGON((-119.8 38.6,-119.8 38.7,-119.7 38.7,-119.7 38.6,-119.8 38.6))"
27,-119.7,38.6,"POLYGON((-119.7 38.6,-119.7 38.7,-119.6 38.7,-119.6 38.6,-119.7 38.6))"
42,-120.1,38.7,"POLYGON((-120.1 38.7,-120.1 38.8,-120.0 38.8,-120.0 38.7,-120.1 38.7))"
73,-120.0,38.7,"POLYGON((-120.0 38.7,-120.0 38.8,-119.9 38.8,-119.9 38.7,-120.0 38.7))"
243,-119.9,38.7,"POLYGON((-119.9 38.7,-119.9 38.8,-119.8 38.8,-119.8 38.7,-119.9 38.7))"
50,-119.8,38.7,"POLYGON((-119.8 38.7,-119.8 38.8,-119.7 38.8,-119.7 38.7,-119.8 38.7))"
35,-119.7,38.7,"POLYGON((-119.7 38.7,-119.7 38.8,-119.6 38.8,-119.6 38.7,-119.7 38.7))"
4,-120.0,38.8,"POLYGON((-120.0 38.8,-120.0 38.9,-119.9 38.9,-119.9 38.8,-120.0 38.8))"
94,-119.9,38.8,"POLYGON((-119.9 38.8,-119.9 38.9,-119.8 38.9,-119.8 38.8,-119.9 38.8))"
209,-119.8,38.8,"POLYGON((-119.8 38.8,-119.8 38.9,-119.7 38.9,-119.7 38.8,-119.8 38.8))"
1,-120.0,38.9,"POLYGON((-120.0 38.9,-120.0 39.0,-119.9 39.0,-119.9 38.9,-120.0 38.9))"
