count,lon,lat,area
693,-117.2,32.5,"POLYGON((-117.2 32.5,-117.2 32.6,-117.1 32.6,-117.1 32.5,-117.2 32.5))"
24608,-117.1,32.5,"POLYGON((-117.1 32.5,-117.1 32.6,-117.0 32.6,-117.0 32.5,-117.1 32.5))"
1511,-117.0,32.5,"POLYGON((-117.0 32.5,-117.0 32.6,-116.9 32.6,-116.9 32.5,-117.0 32.5))"
8,-117.3,32.6,"POLYGON((-117.3 32.6,-117.3 32.7,-117.2 32.7,-117.2 32.6,-117.3 32.6))"
5838,-117.2,32.6,"POLYGON((-117.2 32.6,-117.2 32.7,-117.1 32.7,-117.1 32.6,-117.2 32.6))"
15863,-117.1,32.6,"POLYGON((-117.1 32.6,-117.1 32.7,-117.0 32.7,-117.0 32.6,-117.1 32.6))"
5,-117.0,32.6,"POLYGON((-117.0 32.6,-117.0 32.7,-116.9 32.7,-116.9 32.6,-117.0 32.6))"
1,-116.6,32.6,"POLYGON((-116.6 32.6,-116.6 32.7,-116.5 32.7,-116.5 32.6,-116.6 32.6))"
34007,-117.3,32.7,"POLYGON((-117.3 32.7,-117.3 32.8,-117.2 32.8,-117.2 32.7,-117.3 32.7))"
108433,-117.2,32.7,"POLYGON((-117.2 32.7,-117.2 32.8,-117.1 32.8,-117.1 32.7,-117.2 32.7))"
52022,-117.1,32.7,"POLYGON((-117.1 32.7,-117.1 32.8,-117.0 32.8,-117.0 32.7,-117.1 32.7))"
50807,-117.3,32.8,"POLYGON((-117.3 32.8,-117.3 32.9,-117.2 32.9,-117.2 32.8,-117.3 32.8))"
28806,-117.2,32.8,"POLYGON((-117.2 32.8,-117.2 32.9,-117.1 32.9,-117.1 32.8,-117.2 32.8))"
15713,-117.1,32.8,"POLYGON((-117.1 32.8,-117.1 32.9,-117.0 32.9,-117.0 32.8,-117.1 32.8))"
4,-117.0,32.8,"POLYGON((-117.0 32.8,-117.0 32.9,-116.9 32.9,-116.9 32.8,-117.0 32.8))"
19604,-117.3,32.9,"POLYGON((-117.3 32.9,-117.3 33.0,-117.2 33.0,-117.2 32.9,-117.3 32.9))"
49773,-117.2,32.9,"POLYGON((-117.2 32.9,-117.2 33.0,-117.1 33.0,-117.1 32.9,-117.2 32.9))"
21306,-117.1,32.9,"POLYGON((-117.1 32.9,-117.1 33.0,-117.0 33.0,-117.0 32.9,-117.1 32.9))"
16,-117.0,32.9,"POLYGON((-117.0 32.9,-117.0 33.0,-116.9 33.0,-116.9 32.9,-117.0 32.9))"
3281,-117.2,33.0,"POLYGON((-117.2 33.0,-117.2 33.1,-117.1 33.1,-117.1 33.0,-117.2 33.0))"
15513,-117.1,33.0,"POLYGON((-117.1 33.0,-117.1 33.1,-117.0 33.1,-117.0 33.0,-117.1 33.0))"
53,-117.0,33.0,"POLYGON((-117.0 33.0,-117.0 33.1,-116.9 33.1,-116.9 33.0,-117.0 33.0))"
14,-117.1,33.1,"POLYGON((-117.1 33.1,-117.1 33.2,-117.0 33.2,-117.0 33.1,-117.1 33.1))"
2,-117.0,33.1,"POLYGON((-117.0 33.1,-117.0 33.2,-116.9 33.2,-116.9 33.1,-117.0 33.1))"
