count,lon,lat,area
25,-117.7,33.3,"POLYGON((-117.7 33.3,-117.7 33.4,-117.6 33.4,-117.6 33.3,-117.7 33.3))"
401,-117.6,33.3,"POLYGON((-117.6 33.3,-117.6 33.4,-117.5 33.4,-117.5 33.3,-117.6 33.3))"
6504,-117.8,33.4,"POLYGON((-117.8 33.4,-117.8 33.5,-117.7 33.5,-117.7 33.4,-117.8 33.4))"
26482,-117.7,33.4,"POLYGON((-117.7 33.4,-117.7 33.5,-117.6 33.5,-117.6 33.4,-117.7 33.4))"
5492,-117.6,33.4,"POLYGON((-117.6 33.4,-117.6 33.5,-117.5 33.5,-117.5 33.4,-117.6 33.4))"
6580,-117.9,33.5,"POLYGON((-117.9 33.5,-117.9 33.6,-117.8 33.6,-117.8 33.5,-117.9 33.5))"
26055,-117.8,33.5,"POLYGON((-117.8 33.5,-117.8 33.6,-117.7 33.6,-117.7 33.5,-117.8 33.5))"
33272,-117.7,33.5,"POLYGON((-117.7 33.5,-117.7 33.6,-117.6 33.6,-117.6 33.5,-117.7 33.5))"
3604,-117.6,33.5,"POLYGON((-117.6 33.5,-117.6 33.6,-117.5 33.6,-117.5 33.5,-117.6 33.5))"
13,-117.5,33.5,"POLYGON((-117.5 33.5,-117.5 33.6,-117.4 33.6,-117.4 33.5,-117.5 33.5))"
7777,-118.1,33.6,"POLYGON((-118.1 33.6,-118.1 33.7,-118.0 33.7,-118.0 33.6,-118.1 33.6))"
50964,-118.0,33.6,"POLYGON((-118.0 33.6,-118.0 33.7,-117.9 33.7,-117.9 33.6,-118.0 33.6))"
35293,-117.9,33.6,"POLYGON((-117.9 33.6,-117.9 33.7,-117.8 33.7,-117.8 33.6,-117.9 33.6))"
20158,-117.8,33.6,"POLYGON((-117.8 33.6,-117.8 33.7,-117.7 33.7,-117.7 33.6,-117.8 33.6))"
40815,-117.7,33.6,"POLYGON((-117.7 33.6,-117.7 33.7,-117.6 33.7,-117.6 33.6,-117.7 33.6))"
8577,-117.6,33.6,"POLYGON((-117.6 33.6,-117.6 33.7,-117.5 33.7,-117.5 33.6,-117.6 33.6))"
51,-117.5,33.6,"POLYGON((-117.5 33.6,-117.5 33.7,-117.4 33.7,-117.4 33.6,-117.5 33.6))"
1735,-118.2,33.7,"POLYGON((-118.2 33.7,-118.2 33.8,-118.1 33.8,-118.1 33.7,-118.2 33.7))"
43003,-118.1,33.7,"POLYGON((-118.1 33.7,-118.1 33.8,-118.0 33.8,-118.0 33.7,-118.1 33.7))"
66810,-118.0,33.7,"POLYGON((-118.0 33.7,-118.0 33.8,-117.9 33.8,-117.9 33.7,-118.0 33.7))"
59307,-117.9,33.7,"POLYGON((-117.9 33.7,-117.9 33.8,-117.8 33.8,-117.8 33.7,-117.9 33.7))"
30434,-117.8,33.7,"POLYGON((-117.8 33.7,-117.8 33.8,-117.7 33.8,-117.7 33.7,-117.8 33.7))"
1447,-117.7,33.7,"POLYGON((-117.7 33.7,-117.7 33.8,-117.6 33.8,-117.6 33.7,-117.7 33.7))"
169,-117.6,33.7,"POLYGON((-117.6 33.7,-117.6 33.8,-117.5 33.8,-117.5 33.7,-117.6 33.7))"
2,-117.5,33.7,"POLYGON((-117.5 33.7,-117.5 33.8,-117.4 33.8,-117.4 33.7,-117.5 33.7))"
30869,-118.1,33.8,"POLYGON((-118.1 33.8,-118.1 33.9,-118.0 33.9,-118.0 33.8,-118.1 33.8))"
59008,-118.0,33.8,"POLYGON((-118.0 33.8,-118.0 33.9,-117.9 33.9,-117.9 33.8,-118.0 33.8))"
48998,-117.9,33.8,"POLYGON((-117.9 33.8,-117.9 33.9,-117.8 33.9,-117.8 33.8,-117.9 33.8))"
28035,-117.8,33.8,"POLYGON((-117.8 33.8,-117.8 33.9,-117.7 33.9,-117.7 33.8,-117.8 33.8))"
381,-117.7,33.8,"POLYGON((-117.7 33.8,-117.7 33.9,-117.6 33.9,-117.6 33.8,-117.7 33.8))"
20131,-118.0,33.9,"POLYGON((-118.0 33.9,-118.0 34.0,-117.9 34.0,-117.9 33.9,-118.0 33.9))"
13857,-117.9,33.9,"POLYGON((-117.9 33.9,-117.9 34.0,-117.8 34.0,-117.8 33.9,-117.9 33.9))"
1462,-117.8,33.9,"POLYGON((-117.8 33.9,-117.8 34.0,-117.7 34.0,-117.7 33.9,-117.8 33.9))"
