count,lon,lat,area
1,-121.6,36.8,"POLYGON((-121.6 36.8,-121.6 36.9,-121.5 36.9,-121.5 36.8,-121.6 36.8))"
12,-121.8,36.9,"POLYGON((-121.8 36.9,-121.8 37.0,-121.7 37.0,-121.7 36.9,-121.8 36.9))"
239,-121.7,36.9,"POLYGON((-121.7 36.9,-121.7 37.0,-121.6 37.0,-121.6 36.9,-121.7 36.9))"
3242,-121.6,36.9,"POLYGON((-121.6 36.9,-121.6 37.0,-121.5 37.0,-121.5 36.9,-121.6 36.9))"
106,-121.5,36.9,"POLYGON((-121.5 36.9,-121.5 37.0,-121.4 37.0,-121.4 36.9,-121.5 36.9))"
76,-121.4,36.9,"POLYGON((-121.4 36.9,-121.4 37.0,-121.3 37.0,-121.3 36.9,-121.4 36.9))"
26,-121.3,36.9,"POLYGON((-121.3 36.9,-121.3 37.0,-121.2 37.0,-121.2 36.9,-121.3 36.9))"
33,-121.9,37.0,"POLYGON((-121.9 37.0,-121.9 37.1,-121.8 37.1,-121.8 37.0,-121.9 37.0))"
465,-121.8,37.0,"POLYGON((-121.8 37.0,-121.8 37.1,-121.7 37.1,-121.7 37.0,-121.8 37.0))"
7177,-121.7,37.0,"POLYGON((-121.7 37.0,-121.7 37.1,-121.6 37.1,-121.6 37.0,-121.7 37.0))"
10572,-121.6,37.0,"POLYGON((-121.6 37.0,-121.6 37.1,-121.5 37.1,-121.5 37.0,-121.6 37.0))"
139,-121.5,37.0,"POLYGON((-121.5 37.0,-121.5 37.1,-121.4 37.1,-121.4 37.0,-121.5 37.0))"
99,-121.4,37.0,"POLYGON((-121.4 37.0,-121.4 37.1,-121.3 37.1,-121.3 37.0,-121.4 37.0))"
74,-121.3,37.0,"POLYGON((-121.3 37.0,-121.3 37.1,-121.2 37.1,-121.2 37.0,-121.3 37.0))"
301,-122.1,37.1,"POLYGON((-122.1 37.1,-122.1 37.2,-122.0 37.2,-122.0 37.1,-122.1 37.1))"
2006,-122.0,37.1,"POLYGON((-122.0 37.1,-122.0 37.2,-121.9 37.2,-121.9 37.1,-122.0 37.1))"
1580,-121.9,37.1,"POLYGON((-121.9 37.1,-121.9 37.2,-121.8 37.2,-121.8 37.1,-121.9 37.1))"
784,-121.8,37.1,"POLYGON((-121.8 37.1,-121.8 37.2,-121.7 37.2,-121.7 37.1,-121.8 37.1))"
13982,-121.7,37.1,"POLYGON((-121.7 37.1,-121.7 37.2,-121.6 37.2,-121.6 37.1,-121.7 37.1))"
1131,-121.6,37.1,"POLYGON((-121.6 37.1,-121.6 37.2,-121.5 37.2,-121.5 37.1,-121.6 37.1))"
34,-121.5,37.1,"POLYGON((-121.5 37.1,-121.5 37.2,-121.4 37.2,-121.4 37.1,-121.5 37.1))"
59,-121.4,37.1,"POLYGON((-121.4 37.1,-121.4 37.2,-121.3 37.2,-121.3 37.1,-121.4 37.1))"
41,-121.3,37.1,"POLYGON((-121.3 37.1,-121.3 37.2,-121.2 37.2,-121.2 37.1,-121.3 37.1))"
185,-122.2,37.2,"POLYGON((-122.2 37.2,-122.2 37.3,-122.1 37.3,-122.1 37.2,-122.2 37.2))"
13996,-122.1,37.2,"POLYGON((-122.1 37.2,-122.1 37.3,-122.0 37.3,-122.0 37.2,-122.1 37.2))"
57172,-122.0,37.2,"POLYGON((-122.0 37.2,-122.0 37.3,-121.9 37.3,-121.9 37.2,-122.0 37.2))"
67147,-121.9,37.2,"POLYGON((-121.9 37.2,-121.9 37.3,-121.8 37.3,-121.8 37.2,-121.9 37.2))"
17066,-121.8,37.2,"POLYGON((-121.8 37.2,-121.8 37.3,-121.7 37.3,-121.7 37.2,-121.8 37.2))"
81,-121.7,37.2,"POLYGON((-121.7 37.2,-121.7 37.3,-121.6 37.3,-121.6 37.2,-121.7 37.2))"
98,-121.6,37.2,"POLYGON((-121.6 37.2,-121.6 37.3,-121.5 37.3,-121.5 37.2,-121.6 37.2))"
61,-121.5,37.2,"POLYGON((-121.5 37.2,-121.5 37.3,-121.4 37.3,-121.4 37.2,-121.5 37.2))"
5,-122.3,37.3,"POLYGON((-122.3 37.3,-122.3 37.4,-122.2 37.4,-122.2 37.3,-122.3 37.3))"
10434,-122.2,37.3,"POLYGON((-122.2 37.3,-122.2 37.4,-122.1 37.4,-122.1 37.3,-122.2 37.3))"
68289,-122.1,37.3,"POLYGON((-122.1 37.3,-122.1 37.4,-122.0 37.4,-122.0 37.3,-122.1 37.3))"
62605,-122.0,37.3,"POLYGON((-122.0 37.3,-122.0 37.4,-121.9 37.4,-121.9 37.3,-122.0 37.3))"
79559,-121.9,37.3,"POLYGON((-121.9 37.3,-121.9 37.4,-121.8 37.4,-121.8 37.3,-121.9 37.3))"
14717,-121.8,37.3,"POLYGON((-121.8 37.3,-121.8 37.4,-121.7 37.4,-121.7 37.3,-121.8 37.3))"
92,-121.7,37.3,"POLYGON((-121.7 37.3,-121.7 37.4,-121.6 37.4,-121.6 37.3,-121.7 37.3))"
137,-121.6,37.3,"POLYGON((-121.6 37.3,-121.6 37.4,-121.5 37.4,-121.5 37.3,-121.6 37.3))"
125,-121.5,37.3,"POLYGON((-121.5 37.3,-121.5 37.4,-121.4 37.4,-121.4 37.3,-121.5 37.3))"
24080,-122.2,37.4,"POLYGON((-122.2 37.4,-122.2 37.5,-122.1 37.5,-122.1 37.4,-122.2 37.4))"
6951,-122.1,37.4,"POLYGON((-122.1 37.4,-122.1 37.5,-122.0 37.5,-122.0 37.4,-122.1 37.4))"
13058,-122.0,37.4,"POLYGON((-122.0 37.4,-122.0 37.5,-121.9 37.5,-121.9 37.4,-122.0 37.4))"
19185,-121.9,37.4,"POLYGON((-121.9 37.4,-121.9 37.5,-121.8 37.5,-121.8 37.4,-121.9 37.4))"
125,-121.8,37.4,"POLYGON((-121.8 37.4,-121.8 37.5,-121.7 37.5,-121.7 37.4,-121.8 37.4))"
65,-121.7,37.4,"POLYGON((-121.7 37.4,-121.7 37.5,-121.6 37.5,-121.6 37.4,-121.7 37.4))"
71,-121.6,37.4,"POLYGON((-121.6 37.4,-121.6 37.5,-121.5 37.5,-121.5 37.4,-121.6 37.4))"
55,-121.5,37.4,"POLYGON((-121.5 37.4,-121.5 37.5,-121.4 37.5,-121.4 37.4,-121.5 37.4))"
