count,lon,lat,area
160,-119.3,35.7,"POLYGON((-119.3 35.7,-119.3 35.8,-119.2 35.8,-119.2 35.7,-119.3 35.7))"
782,-119.2,35.7,"POLYGON((-119.2 35.7,-119.2 35.8,-119.1 35.8,-119.1 35.7,-119.2 35.7))"
38,-119.1,35.7,"POLYGON((-119.1 35.7,-119.1 35.8,-119.0 35.8,-119.0 35.7,-119.1 35.7))"
2,-118.9,35.7,"POLYGON((-118.9 35.7,-118.9 35.8,-118.8 35.8,-118.8 35.7,-118.9 35.7))"
18,-118.8,35.7,"POLYGON((-118.8 35.7,-118.8 35.8,-118.7 35.8,-118.7 35.7,-118.8 35.7))"
2,-118.6,35.7,"POLYGON((-118.6 35.7,-118.6 35.8,-118.5 35.8,-118.5 35.7,-118.6 35.7))"
34,-119.6,35.8,"POLYGON((-119.6 35.8,-119.6 35.9,-119.5 35.9,-119.5 35.8,-119.6 35.8))"
760,-119.5,35.8,"POLYGON((-119.5 35.8,-119.5 35.9,-119.4 35.9,-119.4 35.8,-119.5 35.8))"
396,-119.4,35.8,"POLYGON((-119.4 35.8,-119.4 35.9,-119.3 35.9,-119.3 35.8,-119.4 35.8))"
4724,-119.3,35.8,"POLYGON((-119.3 35.8,-119.3 35.9,-119.2 35.9,-119.2 35.8,-119.3 35.8))"
630,-119.2,35.8,"POLYGON((-119.2 35.8,-119.2 35.9,-119.1 35.9,-119.1 35.8,-119.2 35.8))"
436,-119.1,35.8,"POLYGON((-119.1 35.8,-119.1 35.9,-119.0 35.9,-119.0 35.8,-119.1 35.8))"
86,-119.0,35.8,"POLYGON((-119.0 35.8,-119.0 35.9,-118.9 35.9,-118.9 35.8,-119.0 35.8))"
40,-118.9,35.8,"POLYGON((-118.9 35.8,-118.9 35.9,-118.8 35.9,-118.8 35.8,-118.9 35.8))"
44,-118.8,35.8,"POLYGON((-118.8 35.8,-118.8 35.9,-118.7 35.9,-118.7 35.8,-118.8 35.8))"
1096,-118.7,35.8,"POLYGON((-118.7 35.8,-118.7 35.9,-118.6 35.9,-118.6 35.8,-118.7 35.8))"
6,-118.6,35.8,"POLYGON((-118.6 35.8,-118.6 35.9,-118.5 35.9,-118.5 35.8,-118.6 35.8))"
2,-118.5,35.8,"POLYGON((-118.5 35.8,-118.5 35.9,-118.4 35.9,-118.4 35.8,-118.5 35.8))"
8,-118.1,35.8,"POLYGON((-118.1 35.8,-118.1 35.9,-118.0 35.9,-118.0 35.8,-118.1 35.8))"
22,-119.6,35.9,"POLYGON((-119.6 35.9,-119.6 36.0,-119.5 36.0,-119.5 35.9,-119.6 35.9))"
118,-119.5,35.9,"POLYGON((-119.5 35.9,-119.5 36.0,-119.4 36.0,-119.4 35.9,-119.5 35.9))"
388,-119.4,35.9,"POLYGON((-119.4 35.9,-119.4 36.0,-119.3 36.0,-119.3 35.9,-119.4 35.9))"
3510,-119.3,35.9,"POLYGON((-119.3 35.9,-119.3 36.0,-119.2 36.0,-119.2 35.9,-119.3 35.9))"
240,-119.2,35.9,"POLYGON((-119.2 35.9,-119.2 36.0,-119.1 36.0,-119.1 35.9,-119.2 35.9))"
3576,-119.1,35.9,"POLYGON((-119.1 35.9,-119.1 36.0,-119.0 36.0,-119.0 35.9,-119.1 35.9))"
864,-119.0,35.9,"POLYGON((-119.0 35.9,-119.0 36.0,-118.9 36.0,-118.9 35.9,-119.0 35.9))"
18,-118.9,35.9,"POLYGON((-118.9 35.9,-118.9 36.0,-118.8 36.0,-118.8 35.9,-118.9 35.9))"
4,-118.6,35.9,"POLYGON((-118.6 35.9,-118.6 36.0,-118.5 36.0,-118.5 35.9,-118.6 35.9))"
4,-118.5,35.9,"POLYGON((-118.5 35.9,-118.5 36.0,-118.4 36.0,-118.4 35.9,-118.5 35.9))"
12,-118.2,35.9,"POLYGON((-118.2 35.9,-118.2 36.0,-118.1 36.0,-118.1 35.9,-118.2 35.9))"
40,-118.1,35.9,"POLYGON((-118.1 35.9,-118.1 36.0,-118.0 36.0,-118.0 35.9,-118.1 35.9))"
30,-119.6,36.0,"POLYGON((-119.6 36.0,-119.6 36.1,-119.5 36.1,-119.5 36.0,-119.6 36.0))"
196,-119.5,36.0,"POLYGON((-119.5 36.0,-119.5 36.1,-119.4 36.1,-119.4 36.0,-119.5 36.0))"
2260,-119.4,36.0,"POLYGON((-119.4 36.0,-119.4 36.1,-119.3 36.1,-119.3 36.0,-119.4 36.0))"
1104,-119.3,36.0,"POLYGON((-119.3 36.0,-119.3 36.1,-119.2 36.1,-119.2 36.0,-119.3 36.0))"
3268,-119.2,36.0,"POLYGON((-119.2 36.0,-119.2 36.1,-119.1 36.1,-119.1 36.0,-119.2 36.0))"
39542,-119.1,36.0,"POLYGON((-119.1 36.0,-119.1 36.1,-119.0 36.1,-119.0 36.0,-119.1 36.0))"
6118,-119.0,36.0,"POLYGON((-119.0 36.0,-119.0 36.1,-118.9 36.1,-118.9 36.0,-119.0 36.0))"
1800,-118.9,36.0,"POLYGON((-118.9 36.0,-118.9 36.1,-118.8 36.1,-118.8 36.0,-118.9 36.0))"
168,-118.8,36.0,"POLYGON((-118.8 36.0,-118.8 36.1,-118.7 36.1,-118.7 36.0,-118.8 36.0))"
4,-118.7,36.0,"POLYGON((-118.7 36.0,-118.7 36.1,-118.6 36.1,-118.6 36.0,-118.7 36.0))"
54,-118.6,36.0,"POLYGON((-118.6 36.0,-118.6 36.1,-118.5 36.1,-118.5 36.0,-118.6 36.0))"
166,-118.2,36.0,"POLYGON((-118.2 36.0,-118.2 36.1,-118.1 36.1,-118.1 36.0,-118.2 36.0))"
34,-118.1,36.0,"POLYGON((-118.1 36.0,-118.1 36.1,-118.0 36.1,-118.0 36.0,-118.1 36.0))"
360,-119.6,36.1,"POLYGON((-119.6 36.1,-119.6 36.2,-119.5 36.2,-119.5 36.1,-119.6 36.1))"
786,-119.5,36.1,"POLYGON((-119.5 36.1,-119.5 36.2,-119.4 36.2,-119.4 36.1,-119.5 36.1))"
11502,-119.4,36.1,"POLYGON((-119.4 36.1,-119.4 36.2,-119.3 36.2,-119.3 36.1,-119.4 36.1))"
