count,lon,lat,area
1,-109.1,39.3,"POLYGON((-109.1 39.3,-109.1 39.4,-109.0 39.4,-109.0 39.3,-109.1 39.3))"
4,-109.0,39.3,"POLYGON((-109.0 39.3,-109.0 39.4,-108.9 39.4,-108.9 39.3,-109.0 39.3))"
5,-108.9,39.3,"POLYGON((-108.9 39.3,-108.9 39.4,-108.8 39.4,-108.8 39.3,-108.9 39.3))"
1,-108.8,39.3,"POLYGON((-108.8 39.3,-108.8 39.4,-108.7 39.4,-108.7 39.3,-108.8 39.3))"
6,-108.6,39.3,"POLYGON((-108.6 39.3,-108.6 39.4,-108.5 39.4,-108.5 39.3,-108.6 39.3))"
10,-108.5,39.3,"POLYGON((-108.5 39.3,-108.5 39.4,-108.4 39.4,-108.4 39.3,-108.5 39.3))"
9,-108.4,39.3,"POLYGON((-108.4 39.3,-108.4 39.4,-108.3 39.4,-108.3 39.3,-108.4 39.3))"
9,-108.3,39.3,"POLYGON((-108.3 39.3,-108.3 39.4,-108.2 39.4,-108.2 39.3,-108.3 39.3))"
35,-108.2,39.3,"POLYGON((-108.2 39.3,-108.2 39.4,-108.1 39.4,-108.1 39.3,-108.2 39.3))"
74,-108.1,39.3,"POLYGON((-108.1 39.3,-108.1 39.4,-108.0 39.4,-108.0 39.3,-108.1 39.3))"
7,-108.0,39.3,"POLYGON((-108.0 39.3,-108.0 39.4,-107.9 39.4,-107.9 39.3,-108.0 39.3))"
2,-107.9,39.3,"POLYGON((-107.9 39.3,-107.9 39.4,-107.8 39.4,-107.8 39.3,-107.9 39.3))"
7,-107.8,39.3,"POLYGON((-107.8 39.3,-107.8 39.4,-107.7 39.4,-107.7 39.3,-107.8 39.3))"
26,-107.7,39.3,"POLYGON((-107.7 39.3,-107.7 39.4,-107.6 39.4,-107.6 39.3,-107.7 39.3))"
10,-107.6,39.3,"POLYGON((-107.6 39.3,-107.6 39.4,-107.5 39.4,-107.5 39.3,-107.6 39.3))"
12,-107.5,39.3,"POLYGON((-107.5 39.3,-107.5 39.4,-107.4 39.4,-107.4 39.3,-107.5 39.3))"
70,-107.4,39.3,"POLYGON((-107.4 39.3,-107.4 39.4,-107.3 39.4,-107.3 39.3,-107.4 39.3))"
1785,-107.3,39.3,"POLYGON((-107.3 39.3,-107.3 39.4,-107.2 39.4,-107.2 39.3,-107.3 39.3))"
359,-107.2,39.3,"POLYGON((-107.2 39.3,-107.2 39.4,-107.1 39.4,-107.1 39.3,-107.2 39.3))"
3,-109.1,39.4,"POLYGON((-109.1 39.4,-109.1 39.5,-109.0 39.5,-109.0 39.4,-109.1 39.4))"
6,-109.0,39.4,"POLYGON((-109.0 39.4,-109.0 39.5,-108.9 39.5,-108.9 39.4,-109.0 39.4))"
24,-108.9,39.4,"POLYGON((-108.9 39.4,-108.9 39.5,-108.8 39.5,-108.8 39.4,-108.9 39.4))"
