count,lon,lat,area
94,-87.6,30.2,"POLYGON((-87.6 30.2,-87.6 30.3,-87.5 30.3,-87.5 30.2,-87.6 30.2))"
316,-87.5,30.2,"POLYGON((-87.5 30.2,-87.5 30.3,-87.4 30.3,-87.4 30.2,-87.5 30.2))"
3372,-87.5,30.3,"POLYGON((-87.5 30.3,-87.5 30.4,-87.4 30.4,-87.4 30.3,-87.5 30.3))"
6671,-87.4,30.3,"POLYGON((-87.4 30.3,-87.4 30.4,-87.3 30.4,-87.3 30.3,-87.4 30.3))"
1841,-87.3,30.3,"POLYGON((-87.3 30.3,-87.3 30.4,-87.2 30.4,-87.2 30.3,-87.3 30.3))"
1262,-87.2,30.3,"POLYGON((-87.2 30.3,-87.2 30.4,-87.1 30.4,-87.1 30.3,-87.2 30.3))"
420,-87.1,30.3,"POLYGON((-87.1 30.3,-87.1 30.4,-87.0 30.4,-87.0 30.3,-87.1 30.3))"
44,-87.5,30.4,"POLYGON((-87.5 30.4,-87.5 30.5,-87.4 30.5,-87.4 30.4,-87.5 30.4))"
8878,-87.4,30.4,"POLYGON((-87.4 30.4,-87.4 30.5,-87.3 30.5,-87.3 30.4,-87.4 30.4))"
11928,-87.3,30.4,"POLYGON((-87.3 30.4,-87.3 30.5,-87.2 30.5,-87.2 30.4,-87.3 30.4))"
618,-87.2,30.4,"POLYGON((-87.2 30.4,-87.2 30.5,-87.1 30.5,-87.1 30.4,-87.2 30.4))"
138,-87.5,30.5,"POLYGON((-87.5 30.5,-87.5 30.6,-87.4 30.6,-87.4 30.5,-87.5 30.5))"
6771,-87.4,30.5,"POLYGON((-87.4 30.5,-87.4 30.6,-87.3 30.6,-87.3 30.5,-87.4 30.5))"
13212,-87.3,30.5,"POLYGON((-87.3 30.5,-87.3 30.6,-87.2 30.6,-87.2 30.5,-87.3 30.5))"
2807,-87.2,30.5,"POLYGON((-87.2 30.5,-87.2 30.6,-87.1 30.6,-87.1 30.5,-87.2 30.5))"
32,-87.5,30.6,"POLYGON((-87.5 30.6,-87.5 30.7,-87.4 30.7,-87.4 30.6,-87.5 30.6))"
1827,-87.4,30.6,"POLYGON((-87.4 30.6,-87.4 30.7,-87.3 30.7,-87.3 30.6,-87.4 30.6))"
328,-87.3,30.6,"POLYGON((-87.3 30.6,-87.3 30.7,-87.2 30.7,-87.2 30.6,-87.3 30.6))"
25,-87.6,30.7,"POLYGON((-87.6 30.7,-87.6 30.8,-87.5 30.8,-87.5 30.7,-87.6 30.7))"
240,-87.5,30.7,"POLYGON((-87.5 30.7,-87.5 30.8,-87.4 30.8,-87.4 30.7,-87.5 30.7))"
766,-87.4,30.7,"POLYGON((-87.4 30.7,-87.4 30.8,-87.3 30.8,-87.3 30.7,-87.4 30.7))"
122,-87.6,30.8,"POLYGON((-87.6 30.8,-87.6 30.9,-87.5 30.9,-87.5 30.8,-87.6 30.8))"
110,-87.5,30.8,"POLYGON((-87.5 30.8,-87.5 30.9,-87.4 30.9,-87.4 30.8,-87.5 30.8))"
133,-87.4,30.8,"POLYGON((-87.4 30.8,-87.4 30.9,-87.3 30.9,-87.3 30.8,-87.4 30.8))"
113,-87.6,30.9,"POLYGON((-87.6 30.9,-87.6 31.0,-87.5 31.0,-87.5 30.9,-87.6 30.9))"
339,-87.5,30.9,"POLYGON((-87.5 30.9,-87.5 31.0,-87.4 31.0,-87.4 30.9,-87.5 30.9))"
329,-87.4,30.9,"POLYGON((-87.4 30.9,-87.4 31.0,-87.3 31.0,-87.3 30.9,-87.4 30.9))"
341,-87.3,30.9,"POLYGON((-87.3 30.9,-87.3 31.0,-87.2 31.0,-87.2 30.9,-87.3 30.9))"
