count,lon,lat,area
1,-81.2,27.6,"POLYGON((-81.2 27.6,-81.2 27.7,-81.1 27.7,-81.1 27.6,-81.2 27.6))"
1,-81.1,27.6,"POLYGON((-81.1 27.6,-81.1 27.7,-81.0 27.7,-81.0 27.6,-81.1 27.6))"
8,-81.0,27.6,"POLYGON((-81.0 27.6,-81.0 27.7,-80.9 27.7,-80.9 27.6,-81.0 27.6))"
264,-80.9,27.6,"POLYGON((-80.9 27.6,-80.9 27.7,-80.8 27.7,-80.8 27.6,-80.9 27.6))"
4,-81.2,27.7,"POLYGON((-81.2 27.7,-81.2 27.8,-81.1 27.8,-81.1 27.7,-81.2 27.7))"
4,-81.1,27.7,"POLYGON((-81.1 27.7,-81.1 27.8,-81.0 27.8,-81.0 27.7,-81.1 27.7))"
60,-81.0,27.7,"POLYGON((-81.0 27.7,-81.0 27.8,-80.9 27.8,-80.9 27.7,-81.0 27.7))"
26,-80.9,27.7,"POLYGON((-80.9 27.7,-80.9 27.8,-80.8 27.8,-80.8 27.7,-80.9 27.7))"
27,-81.2,27.8,"POLYGON((-81.2 27.8,-81.2 27.9,-81.1 27.9,-81.1 27.8,-81.2 27.8))"
556,-81.1,27.8,"POLYGON((-81.1 27.8,-81.1 27.9,-81.0 27.9,-81.0 27.8,-81.1 27.8))"
98,-81.0,27.8,"POLYGON((-81.0 27.8,-81.0 27.9,-80.9 27.9,-80.9 27.8,-81.0 27.8))"
5,-80.9,27.8,"POLYGON((-80.9 27.8,-80.9 27.9,-80.8 27.9,-80.8 27.8,-80.9 27.8))"
11,-81.3,27.9,"POLYGON((-81.3 27.9,-81.3 28.0,-81.2 28.0,-81.2 27.9,-81.3 27.9))"
41,-81.2,27.9,"POLYGON((-81.2 27.9,-81.2 28.0,-81.1 28.0,-81.1 27.9,-81.2 27.9))"
23,-81.1,27.9,"POLYGON((-81.1 27.9,-81.1 28.0,-81.0 28.0,-81.0 27.9,-81.1 27.9))"
56,-81.0,27.9,"POLYGON((-81.0 27.9,-81.0 28.0,-80.9 28.0,-80.9 27.9,-81.0 27.9))"
11,-80.9,27.9,"POLYGON((-80.9 27.9,-80.9 28.0,-80.8 28.0,-80.8 27.9,-80.9 27.9))"
7,-81.5,28.0,"POLYGON((-81.5 28.0,-81.5 28.1,-81.4 28.1,-81.4 28.0,-81.5 28.0))"
3,-81.4,28.0,"POLYGON((-81.4 28.0,-81.4 28.1,-81.3 28.1,-81.3 28.0,-81.4 28.0))"
51,-81.3,28.0,"POLYGON((-81.3 28.0,-81.3 28.1,-81.2 28.1,-81.2 28.0,-81.3 28.0))"
30,-81.2,28.0,"POLYGON((-81.2 28.0,-81.2 28.1,-81.1 28.1,-81.1 28.0,-81.2 28.0))"
67,-81.1,28.0,"POLYGON((-81.1 28.0,-81.1 28.1,-81.0 28.1,-81.0 28.0,-81.1 28.0))"
119,-81.0,28.0,"POLYGON((-81.0 28.0,-81.0 28.1,-80.9 28.1,-80.9 28.0,-81.0 28.0))"
26,-80.9,28.0,"POLYGON((-80.9 28.0,-80.9 28.1,-80.8 28.1,-80.8 28.0,-80.9 28.0))"
717,-81.6,28.1,"POLYGON((-81.6 28.1,-81.6 28.2,-81.5 28.2,-81.5 28.1,-81.6 28.1))"
14445,-81.5,28.1,"POLYGON((-81.5 28.1,-81.5 28.2,-81.4 28.2,-81.4 28.1,-81.5 28.1))"
762,-81.4,28.1,"POLYGON((-81.4 28.1,-81.4 28.2,-81.3 28.2,-81.3 28.1,-81.4 28.1))"
4544,-81.3,28.1,"POLYGON((-81.3 28.1,-81.3 28.2,-81.2 28.2,-81.2 28.1,-81.3 28.1))"
889,-81.2,28.1,"POLYGON((-81.2 28.1,-81.2 28.2,-81.1 28.2,-81.1 28.1,-81.2 28.1))"
954,-81.1,28.1,"POLYGON((-81.1 28.1,-81.1 28.2,-81.0 28.2,-81.0 28.1,-81.1 28.1))"
167,-81.0,28.1,"POLYGON((-81.0 28.1,-81.0 28.2,-80.9 28.2,-80.9 28.1,-81.0 28.1))"
67,-80.9,28.1,"POLYGON((-80.9 28.1,-80.9 28.2,-80.8 28.2,-80.8 28.1,-80.9 28.1))"
2805,-81.7,28.2,"POLYGON((-81.7 28.2,-81.7 28.3,-81.6 28.3,-81.6 28.2,-81.7 28.2))"
3270,-81.6,28.2,"POLYGON((-81.6 28.2,-81.6 28.3,-81.5 28.3,-81.5 28.2,-81.6 28.2))"
20020,-81.5,28.2,"POLYGON((-81.5 28.2,-81.5 28.3,-81.4 28.3,-81.4 28.2,-81.5 28.2))"
13466,-81.4,28.2,"POLYGON((-81.4 28.2,-81.4 28.3,-81.3 28.3,-81.3 28.2,-81.4 28.2))"
14389,-81.3,28.2,"POLYGON((-81.3 28.2,-81.3 28.3,-81.2 28.3,-81.2 28.2,-81.3 28.2))"
2855,-81.2,28.2,"POLYGON((-81.2 28.2,-81.2 28.3,-81.1 28.3,-81.1 28.2,-81.2 28.2))"
6,-81.1,28.2,"POLYGON((-81.1 28.2,-81.1 28.3,-81.0 28.3,-81.0 28.2,-81.1 28.2))"
18,-81.0,28.2,"POLYGON((-81.0 28.2,-81.0 28.3,-80.9 28.3,-80.9 28.2,-81.0 28.2))"
