count,lon,lat,area
90,-82.5,26.9,"POLYGON((-82.5 26.9,-82.5 27.0,-82.4 27.0,-82.4 26.9,-82.5 26.9))"
9076,-82.4,26.9,"POLYGON((-82.4 26.9,-82.4 27.0,-82.3 27.0,-82.3 26.9,-82.4 26.9))"
3,-82.3,26.9,"POLYGON((-82.3 26.9,-82.3 27.0,-82.2 27.0,-82.2 26.9,-82.3 26.9))"
20813,-82.5,27.0,"POLYGON((-82.5 27.0,-82.5 27.1,-82.4 27.1,-82.4 27.0,-82.5 27.0))"
25676,-82.4,27.0,"POLYGON((-82.4 27.0,-82.4 27.1,-82.3 27.1,-82.3 27.0,-82.4 27.0))"
18677,-82.3,27.0,"POLYGON((-82.3 27.0,-82.3 27.1,-82.2 27.1,-82.2 27.0,-82.3 27.0))"
16597,-82.2,27.0,"POLYGON((-82.2 27.0,-82.2 27.1,-82.1 27.1,-82.1 27.0,-82.2 27.0))"
245,-82.1,27.0,"POLYGON((-82.1 27.0,-82.1 27.1,-82.0 27.1,-82.0 27.0,-82.1 27.0))"
61,-82.6,27.1,"POLYGON((-82.6 27.1,-82.6 27.2,-82.5 27.2,-82.5 27.1,-82.6 27.1))"
27436,-82.5,27.1,"POLYGON((-82.5 27.1,-82.5 27.2,-82.4 27.2,-82.4 27.1,-82.5 27.1))"
5016,-82.4,27.1,"POLYGON((-82.4 27.1,-82.4 27.2,-82.3 27.2,-82.3 27.1,-82.4 27.1))"
949,-82.3,27.1,"POLYGON((-82.3 27.1,-82.3 27.2,-82.2 27.2,-82.2 27.1,-82.3 27.1))"
590,-82.2,27.1,"POLYGON((-82.2 27.1,-82.2 27.2,-82.1 27.2,-82.1 27.1,-82.2 27.1))"
1,-82.1,27.1,"POLYGON((-82.1 27.1,-82.1 27.2,-82.0 27.2,-82.0 27.1,-82.1 27.1))"
29678,-82.6,27.2,"POLYGON((-82.6 27.2,-82.6 27.3,-82.5 27.3,-82.5 27.2,-82.6 27.2))"
36384,-82.5,27.2,"POLYGON((-82.5 27.2,-82.5 27.3,-82.4 27.3,-82.4 27.2,-82.5 27.2))"
1033,-82.4,27.2,"POLYGON((-82.4 27.2,-82.4 27.3,-82.3 27.3,-82.3 27.2,-82.4 27.2))"
73,-82.3,27.2,"POLYGON((-82.3 27.2,-82.3 27.3,-82.2 27.3,-82.2 27.2,-82.3 27.2))"
7,-82.2,27.2,"POLYGON((-82.2 27.2,-82.2 27.3,-82.1 27.3,-82.1 27.2,-82.2 27.2))"
4,-82.1,27.2,"POLYGON((-82.1 27.2,-82.1 27.3,-82.0 27.3,-82.0 27.2,-82.1 27.2))"
4741,-82.7,27.3,"POLYGON((-82.7 27.3,-82.7 27.4,-82.6 27.4,-82.6 27.3,-82.7 27.3))"
46173,-82.6,27.3,"POLYGON((-82.6 27.3,-82.6 27.4,-82.5 27.4,-82.5 27.3,-82.6 27.3))"
36593,-82.5,27.3,"POLYGON((-82.5 27.3,-82.5 27.4,-82.4 27.4,-82.4 27.3,-82.5 27.3))"
1713,-82.4,27.3,"POLYGON((-82.4 27.3,-82.4 27.4,-82.3 27.4,-82.3 27.3,-82.4 27.3))"
512,-82.3,27.3,"POLYGON((-82.3 27.3,-82.3 27.4,-82.2 27.4,-82.2 27.3,-82.3 27.3))"
