count,lon,lat,area
3403,-86.1,30.2,"POLYGON((-86.1 30.2,-86.1 30.3,-86.0 30.3,-86.0 30.2,-86.1 30.2))"
261,-86.0,30.2,"POLYGON((-86.0 30.2,-86.0 30.3,-85.9 30.3,-85.9 30.2,-86.0 30.2))"
7013,-86.4,30.3,"POLYGON((-86.4 30.3,-86.4 30.4,-86.3 30.4,-86.3 30.3,-86.4 30.3))"
6980,-86.3,30.3,"POLYGON((-86.3 30.3,-86.3 30.4,-86.2 30.4,-86.2 30.3,-86.3 30.3))"
5761,-86.2,30.3,"POLYGON((-86.2 30.3,-86.2 30.4,-86.1 30.4,-86.1 30.3,-86.2 30.3))"
1672,-86.1,30.3,"POLYGON((-86.1 30.3,-86.1 30.4,-86.0 30.4,-86.0 30.3,-86.1 30.3))"
2416,-86.4,30.4,"POLYGON((-86.4 30.4,-86.4 30.5,-86.3 30.5,-86.3 30.4,-86.4 30.4))"
815,-86.3,30.4,"POLYGON((-86.3 30.4,-86.3 30.5,-86.2 30.5,-86.2 30.4,-86.3 30.4))"
4038,-86.2,30.4,"POLYGON((-86.2 30.4,-86.2 30.5,-86.1 30.5,-86.1 30.4,-86.2 30.4))"
823,-86.1,30.4,"POLYGON((-86.1 30.4,-86.1 30.5,-86.0 30.5,-86.0 30.4,-86.1 30.4))"
433,-86.0,30.4,"POLYGON((-86.0 30.4,-86.0 30.5,-85.9 30.5,-85.9 30.4,-86.0 30.4))"
59,-85.9,30.4,"POLYGON((-85.9 30.4,-85.9 30.5,-85.8 30.5,-85.8 30.4,-85.9 30.4))"
1,-86.4,30.5,"POLYGON((-86.4 30.5,-86.4 30.6,-86.3 30.6,-86.3 30.5,-86.4 30.5))"
174,-86.3,30.5,"POLYGON((-86.3 30.5,-86.3 30.6,-86.2 30.6,-86.2 30.5,-86.3 30.5))"
1005,-86.2,30.5,"POLYGON((-86.2 30.5,-86.2 30.6,-86.1 30.6,-86.1 30.5,-86.2 30.5))"
267,-86.1,30.5,"POLYGON((-86.1 30.5,-86.1 30.6,-86.0 30.6,-86.0 30.5,-86.1 30.5))"
233,-86.0,30.5,"POLYGON((-86.0 30.5,-86.0 30.6,-85.9 30.6,-85.9 30.5,-86.0 30.5))"
1,-85.9,30.5,"POLYGON((-85.9 30.5,-85.9 30.6,-85.8 30.6,-85.8 30.5,-85.9 30.5))"
3,-86.4,30.6,"POLYGON((-86.4 30.6,-86.4 30.7,-86.3 30.7,-86.3 30.6,-86.4 30.6))"
44,-86.3,30.6,"POLYGON((-86.3 30.6,-86.3 30.7,-86.2 30.7,-86.2 30.6,-86.3 30.6))"
936,-86.2,30.6,"POLYGON((-86.2 30.6,-86.2 30.7,-86.1 30.7,-86.1 30.6,-86.2 30.6))"
558,-86.1,30.6,"POLYGON((-86.1 30.6,-86.1 30.7,-86.0 30.7,-86.0 30.6,-86.1 30.6))"
849,-86.0,30.6,"POLYGON((-86.0 30.6,-86.0 30.7,-85.9 30.7,-85.9 30.6,-86.0 30.6))"
72,-85.9,30.6,"POLYGON((-85.9 30.6,-85.9 30.7,-85.8 30.7,-85.8 30.6,-85.9 30.6))"
1135,-86.4,30.7,"POLYGON((-86.4 30.7,-86.4 30.8,-86.3 30.8,-86.3 30.7,-86.4 30.7))"
1448,-86.3,30.7,"POLYGON((-86.3 30.7,-86.3 30.8,-86.2 30.8,-86.2 30.7,-86.3 30.7))"
6121,-86.2,30.7,"POLYGON((-86.2 30.7,-86.2 30.8,-86.1 30.8,-86.1 30.7,-86.2 30.7))"
1149,-86.1,30.7,"POLYGON((-86.1 30.7,-86.1 30.8,-86.0 30.8,-86.0 30.7,-86.1 30.7))"
14,-86.0,30.7,"POLYGON((-86.0 30.7,-86.0 30.8,-85.9 30.8,-85.9 30.7,-86.0 30.7))"
24,-85.9,30.7,"POLYGON((-85.9 30.7,-85.9 30.8,-85.8 30.8,-85.8 30.7,-85.9 30.7))"
473,-86.4,30.8,"POLYGON((-86.4 30.8,-86.4 30.9,-86.3 30.9,-86.3 30.8,-86.4 30.8))"
666,-86.3,30.8,"POLYGON((-86.3 30.8,-86.3 30.9,-86.2 30.9,-86.2 30.8,-86.3 30.8))"
471,-86.2,30.8,"POLYGON((-86.2 30.8,-86.2 30.9,-86.1 30.9,-86.1 30.8,-86.2 30.8))"
356,-86.1,30.8,"POLYGON((-86.1 30.8,-86.1 30.9,-86.0 30.9,-86.0 30.8,-86.1 30.8))"
949,-86.4,30.9,"POLYGON((-86.4 30.9,-86.4 31.0,-86.3 31.0,-86.3 30.9,-86.4 30.9))"
348,-86.3,30.9,"POLYGON((-86.3 30.9,-86.3 31.0,-86.2 31.0,-86.2 30.9,-86.3 30.9))"
474,-86.2,30.9,"POLYGON((-86.2 30.9,-86.2 31.0,-86.1 31.0,-86.1 30.9,-86.2 30.9))"
384,-86.1,30.9,"POLYGON((-86.1 30.9,-86.1 31.0,-86.0 31.0,-86.0 30.9,-86.1 30.9))"
