count,lon,lat,area
2,-82.3,31.0,"POLYGON((-82.3 31.0,-82.3 31.1,-82.2 31.1,-82.2 31.0,-82.3 31.0))"
28,-82.2,31.0,"POLYGON((-82.2 31.0,-82.2 31.1,-82.1 31.1,-82.1 31.0,-82.2 31.0))"
105,-82.1,31.0,"POLYGON((-82.1 31.0,-82.1 31.1,-82.0 31.1,-82.0 31.0,-82.1 31.0))"
285,-82.0,31.0,"POLYGON((-82.0 31.0,-82.0 31.1,-81.9 31.1,-81.9 31.0,-82.0 31.0))"
8,-81.9,31.0,"POLYGON((-81.9 31.0,-81.9 31.1,-81.8 31.1,-81.8 31.0,-81.9 31.0))"
671,-82.3,31.1,"POLYGON((-82.3 31.1,-82.3 31.2,-82.2 31.2,-82.2 31.1,-82.3 31.1))"
1275,-82.2,31.1,"POLYGON((-82.2 31.1,-82.2 31.2,-82.1 31.2,-82.1 31.1,-82.2 31.1))"
419,-82.1,31.1,"POLYGON((-82.1 31.1,-82.1 31.2,-82.0 31.2,-82.0 31.1,-82.1 31.1))"
1073,-82.0,31.1,"POLYGON((-82.0 31.1,-82.0 31.2,-81.9 31.2,-81.9 31.1,-82.0 31.1))"
2462,-81.9,31.1,"POLYGON((-81.9 31.1,-81.9 31.2,-81.8 31.2,-81.8 31.1,-81.9 31.1))"
188,-81.8,31.1,"POLYGON((-81.8 31.1,-81.8 31.2,-81.7 31.2,-81.7 31.1,-81.8 31.1))"
737,-82.3,31.2,"POLYGON((-82.3 31.2,-82.3 31.3,-82.2 31.3,-82.2 31.2,-82.3 31.2))"
1247,-82.2,31.2,"POLYGON((-82.2 31.2,-82.2 31.3,-82.1 31.3,-82.1 31.2,-82.2 31.2))"
964,-82.1,31.2,"POLYGON((-82.1 31.2,-82.1 31.3,-82.0 31.3,-82.0 31.2,-82.1 31.2))"
1210,-82.0,31.2,"POLYGON((-82.0 31.2,-82.0 31.3,-81.9 31.3,-81.9 31.2,-82.0 31.2))"
2437,-81.9,31.2,"POLYGON((-81.9 31.2,-81.9 31.3,-81.8 31.3,-81.8 31.2,-81.9 31.2))"
1459,-81.8,31.2,"POLYGON((-81.8 31.2,-81.8 31.3,-81.7 31.3,-81.7 31.2,-81.8 31.2))"
176,-82.1,31.3,"POLYGON((-82.1 31.3,-82.1 31.4,-82.0 31.4,-82.0 31.3,-82.1 31.3))"
966,-82.0,31.3,"POLYGON((-82.0 31.3,-82.0 31.4,-81.9 31.4,-81.9 31.3,-82.0 31.3))"
227,-81.9,31.3,"POLYGON((-81.9 31.3,-81.9 31.4,-81.8 31.4,-81.8 31.3,-81.9 31.3))"
567,-81.8,31.3,"POLYGON((-81.8 31.3,-81.8 31.4,-81.7 31.4,-81.7 31.3,-81.8 31.3))"
