count,lon,lat,area
3603,-84.7,34.0,"POLYGON((-84.7 34.0,-84.7 34.1,-84.6 34.1,-84.6 34.0,-84.7 34.0))"
8337,-84.6,34.0,"POLYGON((-84.6 34.0,-84.6 34.1,-84.5 34.1,-84.5 34.0,-84.6 34.0))"
8365,-84.5,34.0,"POLYGON((-84.5 34.0,-84.5 34.1,-84.4 34.1,-84.4 34.0,-84.5 34.0))"
3413,-84.7,34.1,"POLYGON((-84.7 34.1,-84.7 34.2,-84.6 34.2,-84.6 34.1,-84.7 34.1))"
24241,-84.6,34.1,"POLYGON((-84.6 34.1,-84.6 34.2,-84.5 34.2,-84.5 34.1,-84.6 34.1))"
17938,-84.5,34.1,"POLYGON((-84.5 34.1,-84.5 34.2,-84.4 34.2,-84.4 34.1,-84.5 34.1))"
3046,-84.4,34.1,"POLYGON((-84.4 34.1,-84.4 34.2,-84.3 34.2,-84.3 34.1,-84.4 34.1))"
726,-84.3,34.1,"POLYGON((-84.3 34.1,-84.3 34.2,-84.2 34.2,-84.2 34.1,-84.3 34.1))"
1424,-84.7,34.2,"POLYGON((-84.7 34.2,-84.7 34.3,-84.6 34.3,-84.6 34.2,-84.7 34.2))"
6995,-84.6,34.2,"POLYGON((-84.6 34.2,-84.6 34.3,-84.5 34.3,-84.5 34.2,-84.6 34.2))"
9292,-84.5,34.2,"POLYGON((-84.5 34.2,-84.5 34.3,-84.4 34.3,-84.4 34.2,-84.5 34.2))"
6349,-84.4,34.2,"POLYGON((-84.4 34.2,-84.4 34.3,-84.3 34.3,-84.3 34.2,-84.4 34.2))"
1789,-84.3,34.2,"POLYGON((-84.3 34.2,-84.3 34.3,-84.2 34.3,-84.2 34.2,-84.3 34.2))"
1616,-84.7,34.3,"POLYGON((-84.7 34.3,-84.7 34.4,-84.6 34.4,-84.6 34.3,-84.7 34.3))"
2997,-84.6,34.3,"POLYGON((-84.6 34.3,-84.6 34.4,-84.5 34.4,-84.5 34.3,-84.6 34.3))"
2335,-84.5,34.3,"POLYGON((-84.5 34.3,-84.5 34.4,-84.4 34.4,-84.4 34.3,-84.5 34.3))"
2786,-84.4,34.3,"POLYGON((-84.4 34.3,-84.4 34.4,-84.3 34.4,-84.3 34.3,-84.4 34.3))"
347,-84.3,34.3,"POLYGON((-84.3 34.3,-84.3 34.4,-84.2 34.4,-84.2 34.3,-84.3 34.3))"
50,-84.7,34.4,"POLYGON((-84.7 34.4,-84.7 34.5,-84.6 34.5,-84.6 34.4,-84.7 34.4))"
21,-84.6,34.4,"POLYGON((-84.6 34.4,-84.6 34.5,-84.5 34.5,-84.5 34.4,-84.6 34.4))"
