count,lon,lat,area
173,-82.6,31.4,"POLYGON((-82.6 31.4,-82.6 31.5,-82.5 31.5,-82.5 31.4,-82.6 31.4))"
564,-82.5,31.4,"POLYGON((-82.5 31.4,-82.5 31.5,-82.4 31.5,-82.4 31.4,-82.5 31.4))"
256,-82.4,31.4,"POLYGON((-82.4 31.4,-82.4 31.5,-82.3 31.5,-82.3 31.4,-82.4 31.4))"
6,-82.3,31.4,"POLYGON((-82.3 31.4,-82.3 31.5,-82.2 31.5,-82.2 31.4,-82.3 31.4))"
58,-82.7,31.5,"POLYGON((-82.7 31.5,-82.7 31.6,-82.6 31.6,-82.6 31.5,-82.7 31.5))"
1011,-82.6,31.5,"POLYGON((-82.6 31.5,-82.6 31.6,-82.5 31.6,-82.5 31.5,-82.6 31.5))"
2669,-82.5,31.5,"POLYGON((-82.5 31.5,-82.5 31.6,-82.4 31.6,-82.4 31.5,-82.5 31.5))"
399,-82.4,31.5,"POLYGON((-82.4 31.5,-82.4 31.6,-82.3 31.6,-82.3 31.5,-82.4 31.5))"
159,-82.3,31.5,"POLYGON((-82.3 31.5,-82.3 31.6,-82.2 31.6,-82.2 31.5,-82.3 31.5))"
80,-82.7,31.6,"POLYGON((-82.7 31.6,-82.7 31.7,-82.6 31.7,-82.6 31.6,-82.7 31.6))"
401,-82.6,31.6,"POLYGON((-82.6 31.6,-82.6 31.7,-82.5 31.7,-82.5 31.6,-82.6 31.6))"
365,-82.5,31.6,"POLYGON((-82.5 31.6,-82.5 31.7,-82.4 31.7,-82.4 31.6,-82.5 31.6))"
170,-82.4,31.6,"POLYGON((-82.4 31.6,-82.4 31.7,-82.3 31.7,-82.3 31.6,-82.4 31.6))"
5,-82.6,31.7,"POLYGON((-82.6 31.7,-82.6 31.8,-82.5 31.8,-82.5 31.7,-82.6 31.7))"
3,-82.5,31.7,"POLYGON((-82.5 31.7,-82.5 31.8,-82.4 31.8,-82.4 31.7,-82.5 31.7))"
